group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Medium/Smart,,,,52573909.0,ns,9
K-Means Clustering,Medium/Smart,,,,53406021.0,ns,9
K-Means Clustering,Medium/Smart,,,,52838812.0,ns,9
K-Means Clustering,Medium/Smart,,,,52396806.0,ns,9
K-Means Clustering,Medium/Smart,,,,52244003.0,ns,9
K-Means Clustering,Medium/Smart,,,,52955414.0,ns,9
K-Means Clustering,Medium/Smart,,,,53014715.0,ns,9
K-Means Clustering,Medium/Smart,,,,53347820.0,ns,9
K-Means Clustering,Medium/Smart,,,,52227503.0,ns,9
K-Means Clustering,Medium/Smart,,,,52605009.0,ns,9
K-Means Clustering,Medium/Smart,,,,52626109.0,ns,9
K-Means Clustering,Medium/Smart,,,,51503091.0,ns,9
K-Means Clustering,Medium/Smart,,,,51630793.0,ns,9
K-Means Clustering,Medium/Smart,,,,52676410.0,ns,9
K-Means Clustering,Medium/Smart,,,,52618609.0,ns,9
K-Means Clustering,Medium/Smart,,,,53038015.0,ns,9
K-Means Clustering,Medium/Smart,,,,52245104.0,ns,9
K-Means Clustering,Medium/Smart,,,,51353989.0,ns,9
K-Means Clustering,Medium/Smart,,,,52110001.0,ns,9
K-Means Clustering,Medium/Smart,,,,51130686.0,ns,9
K-Means Clustering,Medium/Smart,,,,51854897.0,ns,9
K-Means Clustering,Medium/Smart,,,,53175418.0,ns,9
K-Means Clustering,Medium/Smart,,,,52480807.0,ns,9
K-Means Clustering,Medium/Smart,,,,52301604.0,ns,9
K-Means Clustering,Medium/Smart,,,,51586393.0,ns,9
K-Means Clustering,Medium/Smart,,,,51178682.0,ns,9
K-Means Clustering,Medium/Smart,,,,52520755.0,ns,9
K-Means Clustering,Medium/Smart,,,,51723743.0,ns,9
K-Means Clustering,Medium/Smart,,,,52322452.0,ns,9
K-Means Clustering,Medium/Smart,,,,51458439.0,ns,9
K-Means Clustering,Medium/Smart,,,,52904261.0,ns,9
K-Means Clustering,Medium/Smart,,,,52745458.0,ns,9
K-Means Clustering,Medium/Smart,,,,52020347.0,ns,9
K-Means Clustering,Medium/Smart,,,,53103163.0,ns,9
K-Means Clustering,Medium/Smart,,,,52856460.0,ns,9
K-Means Clustering,Medium/Smart,,,,52859659.0,ns,9
K-Means Clustering,Medium/Smart,,,,52333751.0,ns,9
K-Means Clustering,Medium/Smart,,,,51703142.0,ns,9
K-Means Clustering,Medium/Smart,,,,51932046.0,ns,9
K-Means Clustering,Medium/Smart,,,,51535741.0,ns,9
K-Means Clustering,Medium/Smart,,,,52507554.0,ns,9
K-Means Clustering,Medium/Smart,,,,52482454.0,ns,9
K-Means Clustering,Medium/Smart,,,,52111849.0,ns,9
K-Means Clustering,Medium/Smart,,,,51291737.0,ns,9
K-Means Clustering,Medium/Smart,,,,52448353.0,ns,9
K-Means Clustering,Medium/Smart,,,,51968347.0,ns,9
K-Means Clustering,Medium/Smart,,,,52514554.0,ns,9
K-Means Clustering,Medium/Smart,,,,52174050.0,ns,9
K-Means Clustering,Medium/Smart,,,,52959461.0,ns,9
K-Means Clustering,Medium/Smart,,,,51952146.0,ns,9
K-Means Clustering,Medium/Smart,,,,51749644.0,ns,9
K-Means Clustering,Medium/Smart,,,,51245236.0,ns,9
K-Means Clustering,Medium/Smart,,,,51531840.0,ns,9
K-Means Clustering,Medium/Smart,,,,51717843.0,ns,9
K-Means Clustering,Medium/Smart,,,,52868160.0,ns,9
K-Means Clustering,Medium/Smart,,,,52797859.0,ns,9
K-Means Clustering,Medium/Smart,,,,52124049.0,ns,9
K-Means Clustering,Medium/Smart,,,,52117949.0,ns,9
K-Means Clustering,Medium/Smart,,,,52750958.0,ns,9
K-Means Clustering,Medium/Smart,,,,52442653.0,ns,9
K-Means Clustering,Medium/Smart,,,,51481540.0,ns,9
K-Means Clustering,Medium/Smart,,,,52391653.0,ns,9
K-Means Clustering,Medium/Smart,,,,52556755.0,ns,9
K-Means Clustering,Medium/Smart,,,,52727858.0,ns,9
K-Means Clustering,Medium/Smart,,,,51155135.0,ns,9
K-Means Clustering,Medium/Smart,,,,50796930.0,ns,9
K-Means Clustering,Medium/Smart,,,,51685242.0,ns,9
K-Means Clustering,Medium/Smart,,,,51019233.0,ns,9
K-Means Clustering,Medium/Smart,,,,51944647.0,ns,9
K-Means Clustering,Medium/Smart,,,,53732472.0,ns,9
K-Means Clustering,Medium/Smart,,,,52590356.0,ns,9
K-Means Clustering,Medium/Smart,,,,52740858.0,ns,9
K-Means Clustering,Medium/Smart,,,,52707158.0,ns,9
K-Means Clustering,Medium/Smart,,,,52931860.0,ns,9
K-Means Clustering,Medium/Smart,,,,52834760.0,ns,9
K-Means Clustering,Medium/Smart,,,,52119249.0,ns,9
K-Means Clustering,Medium/Smart,,,,52238751.0,ns,9
K-Means Clustering,Medium/Smart,,,,52457553.0,ns,9
K-Means Clustering,Medium/Smart,,,,51782144.0,ns,9
