group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Medium/Smart,,,,56125614.0,ns,8
K-Means Clustering,Medium/Smart,,,,55600610.0,ns,8
K-Means Clustering,Medium/Smart,,,,55931613.0,ns,8
K-Means Clustering,Medium/Smart,,,,56133615.0,ns,8
K-Means Clustering,Medium/Smart,,,,56672918.0,ns,8
K-Means Clustering,Medium/Smart,,,,55850712.0,ns,8
K-Means Clustering,Medium/Smart,,,,55999514.0,ns,8
K-Means Clustering,Medium/Smart,,,,56055714.0,ns,8
K-Means Clustering,Medium/Smart,,,,56176015.0,ns,8
K-Means Clustering,Medium/Smart,,,,55689011.0,ns,8
K-Means Clustering,Medium/Smart,,,,55582811.0,ns,8
K-Means Clustering,Medium/Smart,,,,56481217.0,ns,8
K-Means Clustering,Medium/Smart,,,,56099515.0,ns,8
K-Means Clustering,Medium/Smart,,,,56071514.0,ns,8
K-Means Clustering,Medium/Smart,,,,55537410.0,ns,8
K-Means Clustering,Medium/Smart,,,,55842813.0,ns,8
K-Means Clustering,Medium/Smart,,,,55754412.0,ns,8
K-Means Clustering,Medium/Smart,,,,56013714.0,ns,8
K-Means Clustering,Medium/Smart,,,,55707312.0,ns,8
K-Means Clustering,Medium/Smart,,,,56104114.0,ns,8
K-Means Clustering,Medium/Smart,,,,55867912.0,ns,8
K-Means Clustering,Medium/Smart,,,,56119315.0,ns,8
K-Means Clustering,Medium/Smart,,,,55120407.0,ns,8
K-Means Clustering,Medium/Smart,,,,56627418.0,ns,8
K-Means Clustering,Medium/Smart,,,,55300709.0,ns,8
K-Means Clustering,Medium/Smart,,,,56365616.0,ns,8
K-Means Clustering,Medium/Smart,,,,56219616.0,ns,8
K-Means Clustering,Medium/Smart,,,,55532610.0,ns,8
K-Means Clustering,Medium/Smart,,,,55776012.0,ns,8
K-Means Clustering,Medium/Smart,,,,56030614.0,ns,8
K-Means Clustering,Medium/Smart,,,,55526511.0,ns,8
K-Means Clustering,Medium/Smart,,,,56135914.0,ns,8
K-Means Clustering,Medium/Smart,,,,55878712.0,ns,8
K-Means Clustering,Medium/Smart,,,,54987707.0,ns,8
K-Means Clustering,Medium/Smart,,,,56122414.0,ns,8
