group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Medium/Smartcore,,,,52551259.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,55189062.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,53956361.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,55829063.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54343262.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54451261.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51500058.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,57924666.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52617859.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,53429761.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,56015563.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54449962.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,56107963.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,56184064.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,57355665.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52481559.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52795960.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54759662.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,53672460.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52245059.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,56865465.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54960462.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54587261.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,53616961.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,56671064.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52664459.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54393961.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54667762.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50682457.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54186561.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54284861.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,57259764.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51129158.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54680062.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,56941864.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,55749863.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52637959.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,53334760.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52295559.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52617660.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,53386460.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52112259.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,57195864.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,55864363.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,53952061.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,55198962.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,57991665.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,60728468.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,59358767.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54279961.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,57337164.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51653158.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,56297663.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,56205264.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54253161.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54583362.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,53439660.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51818358.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,55636462.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,55632163.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,56655164.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,55438863.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,53717761.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,58507666.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,56096063.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,55542863.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,55026562.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,56118264.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52854059.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,53603161.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52379759.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54609862.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54635161.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52204259.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52358659.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54371762.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51248957.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,56930764.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,55846163.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52518839.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,53373816.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,58410618.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,59415818.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,57692217.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,56332217.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,59833218.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,57766218.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,53932616.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,52012816.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,62677618.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,58572334.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,61380131.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,61140032.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54723838.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,53521740.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,54225640.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,58889334.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,53961439.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,55434638.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,60768732.0,ns,8
