group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Medium/Smartcore,,,,51068456.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51050956.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50551255.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51417057.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51188856.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51040656.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51356857.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50145754.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50885356.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51121356.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50446855.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51401658.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51376658.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51069957.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51618958.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50876756.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51178257.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50387855.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51016357.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50833556.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50832255.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50554055.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50534155.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50894756.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51393158.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50697255.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50349754.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50539654.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50538655.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50825056.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51193957.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50401055.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51242057.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51106756.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50464555.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50507955.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50300054.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50342655.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50756556.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50705856.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50765756.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50163754.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50035953.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50331154.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,49890353.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50383254.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50518754.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51899559.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51366157.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50904556.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,51401258.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50761856.0,ns,8
K-Means Clustering,Medium/Smartcore,,,,50812356.0,ns,8
