group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Small/Linfa,,,,904881.0,ns,4
K-Means Clustering,Small/Linfa,,,,1607645.0,ns,8
K-Means Clustering,Small/Linfa,,,,2403515.0,ns,12
K-Means Clustering,Small/Linfa,,,,3200787.0,ns,16
K-Means Clustering,Small/Linfa,,,,4056664.0,ns,20
K-Means Clustering,Small/Linfa,,,,4812831.0,ns,24
K-Means Clustering,Small/Linfa,,,,5662008.0,ns,28
K-Means Clustering,Small/Linfa,,,,6439178.0,ns,32
K-Means Clustering,Small/Linfa,,,,7185344.0,ns,36
K-Means Clustering,Small/Linfa,,,,10111007.0,ns,40
K-Means Clustering,Small/Linfa,,,,9950892.0,ns,44
K-Means Clustering,Small/Linfa,,,,9716371.0,ns,48
K-Means Clustering,Small/Linfa,,,,13218285.0,ns,52
K-Means Clustering,Small/Linfa,,,,11193904.0,ns,56
K-Means Clustering,Small/Linfa,,,,12081284.0,ns,60
K-Means Clustering,Small/Linfa,,,,12778546.0,ns,64
K-Means Clustering,Small/Linfa,,,,13555315.0,ns,68
K-Means Clustering,Small/Linfa,,,,14282381.0,ns,72
K-Means Clustering,Small/Linfa,,,,16030637.0,ns,76
K-Means Clustering,Small/Linfa,,,,15918928.0,ns,80
K-Means Clustering,Small/Linfa,,,,17426662.0,ns,84
K-Means Clustering,Small/Linfa,,,,17545573.0,ns,88
K-Means Clustering,Small/Linfa,,,,18258737.0,ns,92
K-Means Clustering,Small/Linfa,,,,21665043.0,ns,96
K-Means Clustering,Small/Linfa,,,,20056999.0,ns,100
K-Means Clustering,Small/Linfa,,,,20715457.0,ns,104
K-Means Clustering,Small/Linfa,,,,30167005.0,ns,108
K-Means Clustering,Small/Linfa,,,,22592425.0,ns,112
K-Means Clustering,Small/Linfa,,,,23106171.0,ns,116
K-Means Clustering,Small/Linfa,,,,23944447.0,ns,120
K-Means Clustering,Small/Linfa,,,,25918724.0,ns,124
K-Means Clustering,Small/Linfa,,,,25735708.0,ns,128
K-Means Clustering,Small/Linfa,,,,26368064.0,ns,132
K-Means Clustering,Small/Linfa,,,,27559671.0,ns,136
K-Means Clustering,Small/Linfa,,,,39227617.0,ns,140
K-Means Clustering,Small/Linfa,,,,29329330.0,ns,144
K-Means Clustering,Small/Linfa,,,,29705463.0,ns,148
K-Means Clustering,Small/Linfa,,,,30886469.0,ns,152
K-Means Clustering,Small/Linfa,,,,31566831.0,ns,156
K-Means Clustering,Small/Linfa,,,,32626126.0,ns,160
K-Means Clustering,Small/Linfa,,,,33323688.0,ns,164
K-Means Clustering,Small/Linfa,,,,34105558.0,ns,168
K-Means Clustering,Small/Linfa,,,,34733415.0,ns,172
K-Means Clustering,Small/Linfa,,,,35677199.0,ns,176
K-Means Clustering,Small/Linfa,,,,36867306.0,ns,180
K-Means Clustering,Small/Linfa,,,,37067824.0,ns,184
K-Means Clustering,Small/Linfa,,,,38195225.0,ns,188
K-Means Clustering,Small/Linfa,,,,38779877.0,ns,192
K-Means Clustering,Small/Linfa,,,,44564296.0,ns,196
K-Means Clustering,Small/Linfa,,,,45719000.0,ns,200
K-Means Clustering,Small/Linfa,,,,41487620.0,ns,204
K-Means Clustering,Small/Linfa,,,,41788347.0,ns,208
K-Means Clustering,Small/Linfa,,,,42951251.0,ns,212
K-Means Clustering,Small/Linfa,,,,43694418.0,ns,216
K-Means Clustering,Small/Linfa,,,,50051688.0,ns,220
K-Means Clustering,Small/Linfa,,,,50994673.0,ns,224
K-Means Clustering,Small/Linfa,,,,51746440.0,ns,228
K-Means Clustering,Small/Linfa,,,,46663184.0,ns,232
K-Means Clustering,Small/Linfa,,,,47443254.0,ns,236
K-Means Clustering,Small/Linfa,,,,48518751.0,ns,240
K-Means Clustering,Small/Linfa,,,,49388728.0,ns,244
K-Means Clustering,Small/Linfa,,,,63357681.0,ns,248
K-Means Clustering,Small/Linfa,,,,51199391.0,ns,252
K-Means Clustering,Small/Linfa,,,,58611156.0,ns,256
K-Means Clustering,Small/Linfa,,,,59505836.0,ns,260
K-Means Clustering,Small/Linfa,,,,53855329.0,ns,264
K-Means Clustering,Small/Linfa,,,,60966567.0,ns,268
K-Means Clustering,Small/Linfa,,,,54792313.0,ns,272
K-Means Clustering,Small/Linfa,,,,55722797.0,ns,276
K-Means Clustering,Small/Linfa,,,,56968608.0,ns,280
K-Means Clustering,Small/Linfa,,,,57269236.0,ns,284
K-Means Clustering,Small/Linfa,,,,58524647.0,ns,288
K-Means Clustering,Small/Linfa,,,,59285315.0,ns,292
K-Means Clustering,Small/Linfa,,,,59786960.0,ns,296
K-Means Clustering,Small/Linfa,,,,60653038.0,ns,300
K-Means Clustering,Small/Linfa,,,,61743936.0,ns,304
K-Means Clustering,Small/Linfa,,,,78693756.0,ns,308
K-Means Clustering,Small/Linfa,,,,70882755.0,ns,312
K-Means Clustering,Small/Linfa,,,,63771018.0,ns,316
K-Means Clustering,Small/Linfa,,,,65003728.0,ns,320
K-Means Clustering,Small/Linfa,,,,65507473.0,ns,324
K-Means Clustering,Small/Linfa,,,,66444757.0,ns,328
K-Means Clustering,Small/Linfa,,,,84942015.0,ns,332
K-Means Clustering,Small/Linfa,,,,67656166.0,ns,336
K-Means Clustering,Small/Linfa,,,,68866374.0,ns,340
K-Means Clustering,Small/Linfa,,,,69212106.0,ns,344
K-Means Clustering,Small/Linfa,,,,98354718.0,ns,348
K-Means Clustering,Small/Linfa,,,,71405802.0,ns,352
K-Means Clustering,Small/Linfa,,,,72172571.0,ns,356
K-Means Clustering,Small/Linfa,,,,82183768.0,ns,360
K-Means Clustering,Small/Linfa,,,,93589792.0,ns,364
K-Means Clustering,Small/Linfa,,,,83598295.0,ns,368
K-Means Clustering,Small/Linfa,,,,75168139.0,ns,372
K-Means Clustering,Small/Linfa,,,,87081608.0,ns,376
K-Means Clustering,Small/Linfa,,,,77557354.0,ns,380
K-Means Clustering,Small/Linfa,,,,77771673.0,ns,384
K-Means Clustering,Small/Linfa,,,,78660653.0,ns,388
K-Means Clustering,Small/Linfa,,,,79402219.0,ns,392
K-Means Clustering,Small/Linfa,,,,79742149.0,ns,396
K-Means Clustering,Small/Linfa,,,,79708247.0,ns,400
