group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Small/Linfa,,,,1203999.0,ns,6
K-Means Clustering,Small/Linfa,,,,2512698.0,ns,12
K-Means Clustering,Small/Linfa,,,,3694297.0,ns,18
K-Means Clustering,Small/Linfa,,,,5097597.0,ns,24
K-Means Clustering,Small/Linfa,,,,6036796.0,ns,30
K-Means Clustering,Small/Linfa,,,,9735394.0,ns,36
K-Means Clustering,Small/Linfa,,,,8977593.0,ns,42
K-Means Clustering,Small/Linfa,,,,8648794.0,ns,48
K-Means Clustering,Small/Linfa,,,,10121893.0,ns,54
K-Means Clustering,Small/Linfa,,,,11023192.0,ns,60
K-Means Clustering,Small/Linfa,,,,12238992.0,ns,66
K-Means Clustering,Small/Linfa,,,,14307890.0,ns,72
K-Means Clustering,Small/Linfa,,,,14969089.0,ns,78
K-Means Clustering,Small/Linfa,,,,16728588.0,ns,84
K-Means Clustering,Small/Linfa,,,,17584688.0,ns,90
K-Means Clustering,Small/Linfa,,,,19095286.0,ns,96
K-Means Clustering,Small/Linfa,,,,19039487.0,ns,102
K-Means Clustering,Small/Linfa,,,,23789383.0,ns,108
K-Means Clustering,Small/Linfa,,,,23462184.0,ns,114
K-Means Clustering,Small/Linfa,,,,28774279.0,ns,120
K-Means Clustering,Small/Linfa,,,,29830679.0,ns,126
K-Means Clustering,Small/Linfa,,,,28958880.0,ns,132
K-Means Clustering,Small/Linfa,,,,26254281.0,ns,138
K-Means Clustering,Small/Linfa,,,,31209879.0,ns,144
K-Means Clustering,Small/Linfa,,,,29168680.0,ns,150
K-Means Clustering,Small/Linfa,,,,29817679.0,ns,156
K-Means Clustering,Small/Linfa,,,,38479473.0,ns,162
K-Means Clustering,Small/Linfa,,,,32251777.0,ns,168
K-Means Clustering,Small/Linfa,,,,33629076.0,ns,174
K-Means Clustering,Small/Linfa,,,,33660477.0,ns,180
K-Means Clustering,Small/Linfa,,,,36740174.0,ns,186
K-Means Clustering,Small/Linfa,,,,36475474.0,ns,192
K-Means Clustering,Small/Linfa,,,,36893974.0,ns,198
K-Means Clustering,Small/Linfa,,,,39712872.0,ns,204
K-Means Clustering,Small/Linfa,,,,45143968.0,ns,210
K-Means Clustering,Small/Linfa,,,,47507867.0,ns,216
K-Means Clustering,Small/Linfa,,,,42539070.0,ns,222
K-Means Clustering,Small/Linfa,,,,43634569.0,ns,228
K-Means Clustering,Small/Linfa,,,,51368964.0,ns,234
K-Means Clustering,Small/Linfa,,,,44050069.0,ns,240
K-Means Clustering,Small/Linfa,,,,46460467.0,ns,246
K-Means Clustering,Small/Linfa,,,,53358263.0,ns,252
K-Means Clustering,Small/Linfa,,,,48212666.0,ns,258
K-Means Clustering,Small/Linfa,,,,48951465.0,ns,264
K-Means Clustering,Small/Linfa,,,,50442765.0,ns,270
K-Means Clustering,Small/Linfa,,,,53999962.0,ns,276
K-Means Clustering,Small/Linfa,,,,55145361.0,ns,282
K-Means Clustering,Small/Linfa,,,,62118756.0,ns,288
K-Means Clustering,Small/Linfa,,,,56643660.0,ns,294
K-Means Clustering,Small/Linfa,,,,65179754.0,ns,300
K-Means Clustering,Small/Linfa,,,,59968358.0,ns,306
K-Means Clustering,Small/Linfa,,,,62563856.0,ns,312
K-Means Clustering,Small/Linfa,,,,63151756.0,ns,318
K-Means Clustering,Small/Linfa,,,,62004956.0,ns,324
K-Means Clustering,Small/Linfa,,,,62782156.0,ns,330
K-Means Clustering,Small/Linfa,,,,62969371.0,ns,336
K-Means Clustering,Small/Linfa,,,,66125520.0,ns,342
K-Means Clustering,Small/Linfa,,,,73939023.0,ns,348
K-Means Clustering,Small/Linfa,,,,67031320.0,ns,354
K-Means Clustering,Small/Linfa,,,,67149321.0,ns,360
K-Means Clustering,Small/Linfa,,,,86940826.0,ns,366
K-Means Clustering,Small/Linfa,,,,71693422.0,ns,372
K-Means Clustering,Small/Linfa,,,,85472826.0,ns,378
K-Means Clustering,Small/Linfa,,,,77715224.0,ns,384
K-Means Clustering,Small/Linfa,,,,74174122.0,ns,390
K-Means Clustering,Small/Linfa,,,,86801727.0,ns,396
K-Means Clustering,Small/Linfa,,,,87611327.0,ns,402
K-Means Clustering,Small/Linfa,,,,84900125.0,ns,408
K-Means Clustering,Small/Linfa,,,,91199728.0,ns,414
K-Means Clustering,Small/Linfa,,,,85062026.0,ns,420
K-Means Clustering,Small/Linfa,,,,83836326.0,ns,426
K-Means Clustering,Small/Linfa,,,,81896024.0,ns,432
K-Means Clustering,Small/Linfa,,,,97766729.0,ns,438
K-Means Clustering,Small/Linfa,,,,85197926.0,ns,444
K-Means Clustering,Small/Linfa,,,,84815726.0,ns,450
K-Means Clustering,Small/Linfa,,,,91038828.0,ns,456
K-Means Clustering,Small/Linfa,,,,89251027.0,ns,462
K-Means Clustering,Small/Linfa,,,,90272227.0,ns,468
K-Means Clustering,Small/Linfa,,,,91530728.0,ns,474
K-Means Clustering,Small/Linfa,,,,92565228.0,ns,480
K-Means Clustering,Small/Linfa,,,,93536129.0,ns,486
K-Means Clustering,Small/Linfa,,,,97624830.0,ns,492
K-Means Clustering,Small/Linfa,,,,93976728.0,ns,498
K-Means Clustering,Small/Linfa,,,,105374432.0,ns,504
K-Means Clustering,Small/Linfa,,,,96891430.0,ns,510
K-Means Clustering,Small/Linfa,,,,101601231.0,ns,516
K-Means Clustering,Small/Linfa,,,,106353132.0,ns,522
K-Means Clustering,Small/Linfa,,,,98832530.0,ns,528
K-Means Clustering,Small/Linfa,,,,106605033.0,ns,534
K-Means Clustering,Small/Linfa,,,,106656032.0,ns,540
K-Means Clustering,Small/Linfa,,,,106675633.0,ns,546
K-Means Clustering,Small/Linfa,,,,103306031.0,ns,552
K-Means Clustering,Small/Linfa,,,,108488633.0,ns,558
K-Means Clustering,Small/Linfa,,,,104712232.0,ns,564
K-Means Clustering,Small/Linfa,,,,106456332.0,ns,570
K-Means Clustering,Small/Linfa,,,,116270336.0,ns,576
K-Means Clustering,Small/Linfa,,,,121296937.0,ns,582
K-Means Clustering,Small/Linfa,,,,125386238.0,ns,588
K-Means Clustering,Small/Linfa,,,,108953033.0,ns,594
K-Means Clustering,Small/Linfa,,,,120002937.0,ns,600
