group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Small/Smart,,,,1144509.0,ns,6
K-Means Clustering,Small/Smart,,,,2232716.0,ns,12
K-Means Clustering,Small/Smart,,,,3408625.0,ns,18
K-Means Clustering,Small/Smart,,,,4559134.0,ns,24
K-Means Clustering,Small/Smart,,,,5604542.0,ns,30
K-Means Clustering,Small/Smart,,,,6705249.0,ns,36
K-Means Clustering,Small/Smart,,,,8048659.0,ns,42
K-Means Clustering,Small/Smart,,,,8832566.0,ns,48
K-Means Clustering,Small/Smart,,,,10138575.0,ns,54
K-Means Clustering,Small/Smart,,,,11645387.0,ns,60
K-Means Clustering,Small/Smart,,,,12439192.0,ns,66
K-Means Clustering,Small/Smart,,,,13779402.0,ns,72
K-Means Clustering,Small/Smart,,,,14736010.0,ns,78
K-Means Clustering,Small/Smart,,,,16062519.0,ns,84
K-Means Clustering,Small/Smart,,,,17021326.0,ns,90
K-Means Clustering,Small/Smart,,,,17733532.0,ns,96
K-Means Clustering,Small/Smart,,,,19317043.0,ns,102
K-Means Clustering,Small/Smart,,,,20405551.0,ns,108
K-Means Clustering,Small/Smart,,,,21248257.0,ns,114
K-Means Clustering,Small/Smart,,,,22737169.0,ns,120
K-Means Clustering,Small/Smart,,,,24545782.0,ns,126
K-Means Clustering,Small/Smart,,,,24399681.0,ns,132
K-Means Clustering,Small/Smart,,,,25559989.0,ns,138
K-Means Clustering,Small/Smart,,,,27669705.0,ns,144
K-Means Clustering,Small/Smart,,,,28341710.0,ns,150
K-Means Clustering,Small/Smart,,,,28839914.0,ns,156
K-Means Clustering,Small/Smart,,,,31062730.0,ns,162
K-Means Clustering,Small/Smart,,,,31707535.0,ns,168
K-Means Clustering,Small/Smart,,,,32252939.0,ns,174
K-Means Clustering,Small/Smart,,,,34442755.0,ns,180
K-Means Clustering,Small/Smart,,,,34672657.0,ns,186
K-Means Clustering,Small/Smart,,,,36102868.0,ns,192
K-Means Clustering,Small/Smart,,,,37145875.0,ns,198
K-Means Clustering,Small/Smart,,,,37878680.0,ns,204
K-Means Clustering,Small/Smart,,,,39171891.0,ns,210
K-Means Clustering,Small/Smart,,,,41569608.0,ns,216
K-Means Clustering,Small/Smart,,,,41525608.0,ns,222
K-Means Clustering,Small/Smart,,,,43887225.0,ns,228
K-Means Clustering,Small/Smart,,,,43197620.0,ns,234
K-Means Clustering,Small/Smart,,,,43793225.0,ns,240
K-Means Clustering,Small/Smart,,,,46541645.0,ns,246
K-Means Clustering,Small/Smart,,,,47177249.0,ns,252
K-Means Clustering,Small/Smart,,,,49949970.0,ns,258
K-Means Clustering,Small/Smart,,,,50242172.0,ns,264
K-Means Clustering,Small/Smart,,,,52184886.0,ns,270
K-Means Clustering,Small/Smart,,,,53365196.0,ns,276
K-Means Clustering,Small/Smart,,,,53841099.0,ns,282
K-Means Clustering,Small/Smart,,,,53407396.0,ns,288
K-Means Clustering,Small/Smart,,,,56797921.0,ns,294
K-Means Clustering,Small/Smart,,,,56883622.0,ns,300
K-Means Clustering,Small/Smart,,,,58313332.0,ns,306
K-Means Clustering,Small/Smart,,,,59847743.0,ns,312
K-Means Clustering,Small/Smart,,,,60873452.0,ns,318
K-Means Clustering,Small/Smart,,,,62103060.0,ns,324
K-Means Clustering,Small/Smart,,,,62323562.0,ns,330
K-Means Clustering,Small/Smart,,,,63062268.0,ns,336
K-Means Clustering,Small/Smart,,,,62875466.0,ns,342
K-Means Clustering,Small/Smart,,,,64486878.0,ns,348
K-Means Clustering,Small/Smart,,,,66151690.0,ns,354
K-Means Clustering,Small/Smart,,,,68515707.0,ns,360
K-Means Clustering,Small/Smart,,,,70544223.0,ns,366
K-Means Clustering,Small/Smart,,,,69239614.0,ns,372
K-Means Clustering,Small/Smart,,,,70361721.0,ns,378
K-Means Clustering,Small/Smart,,,,71454329.0,ns,384
K-Means Clustering,Small/Smart,,,,75043656.0,ns,390
K-Means Clustering,Small/Smart,,,,74591652.0,ns,396
K-Means Clustering,Small/Smart,,,,76874969.0,ns,402
K-Means Clustering,Small/Smart,,,,75787061.0,ns,408
K-Means Clustering,Small/Smart,,,,79151887.0,ns,414
K-Means Clustering,Small/Smart,,,,78671283.0,ns,420
K-Means Clustering,Small/Smart,,,,79747292.0,ns,426
K-Means Clustering,Small/Smart,,,,81548604.0,ns,432
K-Means Clustering,Small/Smart,,,,81047001.0,ns,438
K-Means Clustering,Small/Smart,,,,86117038.0,ns,444
K-Means Clustering,Small/Smart,,,,85175731.0,ns,450
K-Means Clustering,Small/Smart,,,,85581934.0,ns,456
K-Means Clustering,Small/Smart,,,,88276654.0,ns,462
K-Means Clustering,Small/Smart,,,,87797751.0,ns,468
K-Means Clustering,Small/Smart,,,,90535571.0,ns,474
K-Means Clustering,Small/Smart,,,,89272562.0,ns,480
K-Means Clustering,Small/Smart,,,,91129275.0,ns,486
K-Means Clustering,Small/Smart,,,,91054975.0,ns,492
K-Means Clustering,Small/Smart,,,,92791088.0,ns,498
K-Means Clustering,Small/Smart,,,,95077605.0,ns,504
K-Means Clustering,Small/Smart,,,,98131628.0,ns,510
K-Means Clustering,Small/Smart,,,,95618908.0,ns,516
K-Means Clustering,Small/Smart,,,,96463615.0,ns,522
K-Means Clustering,Small/Smart,,,,99948340.0,ns,528
K-Means Clustering,Small/Smart,,,,102329758.0,ns,534
K-Means Clustering,Small/Smart,,,,100663846.0,ns,540
K-Means Clustering,Small/Smart,,,,102680462.0,ns,546
K-Means Clustering,Small/Smart,,,,103269065.0,ns,552
K-Means Clustering,Small/Smart,,,,104679976.0,ns,558
K-Means Clustering,Small/Smart,,,,106696191.0,ns,564
K-Means Clustering,Small/Smart,,,,107332696.0,ns,570
K-Means Clustering,Small/Smart,,,,110876722.0,ns,576
K-Means Clustering,Small/Smart,,,,106888092.0,ns,582
K-Means Clustering,Small/Smart,,,,108000701.0,ns,588
K-Means Clustering,Small/Smart,,,,111432526.0,ns,594
K-Means Clustering,Small/Smart,,,,111421626.0,ns,600
