group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Small/Smart,,,,1117600.0,ns,5
K-Means Clustering,Small/Smart,,,,2450320.0,ns,10
K-Means Clustering,Small/Smart,,,,3369202.0,ns,15
K-Means Clustering,Small/Smart,,,,4649417.0,ns,20
K-Means Clustering,Small/Smart,,,,5806821.0,ns,25
K-Means Clustering,Small/Smart,,,,6994428.0,ns,30
K-Means Clustering,Small/Smart,,,,7962814.0,ns,35
K-Means Clustering,Small/Smart,,,,9332036.0,ns,40
K-Means Clustering,Small/Smart,,,,10323225.0,ns,45
K-Means Clustering,Small/Smart,,,,11355218.0,ns,50
K-Means Clustering,Small/Smart,,,,12388711.0,ns,55
K-Means Clustering,Small/Smart,,,,13492610.0,ns,60
K-Means Clustering,Small/Smart,,,,15064251.0,ns,65
K-Means Clustering,Small/Smart,,,,15823719.0,ns,70
K-Means Clustering,Small/Smart,,,,17138136.0,ns,75
K-Means Clustering,Small/Smart,,,,18004114.0,ns,80
K-Means Clustering,Small/Smart,,,,19305832.0,ns,85
K-Means Clustering,Small/Smart,,,,20385728.0,ns,90
K-Means Clustering,Small/Smart,,,,21397319.0,ns,95
K-Means Clustering,Small/Smart,,,,22416710.0,ns,100
K-Means Clustering,Small/Smart,,,,23861740.0,ns,105
K-Means Clustering,Small/Smart,,,,24997242.0,ns,110
K-Means Clustering,Small/Smart,,,,26451172.0,ns,115
K-Means Clustering,Small/Smart,,,,26631189.0,ns,120
K-Means Clustering,Small/Smart,,,,27711185.0,ns,125
K-Means Clustering,Small/Smart,,,,29877279.0,ns,130
K-Means Clustering,Small/Smart,,,,30481834.0,ns,135
K-Means Clustering,Small/Smart,,,,31334310.0,ns,140
K-Means Clustering,Small/Smart,,,,32648428.0,ns,145
K-Means Clustering,Small/Smart,,,,33817732.0,ns,150
K-Means Clustering,Small/Smart,,,,35889518.0,ns,155
K-Means Clustering,Small/Smart,,,,36363161.0,ns,160
K-Means Clustering,Small/Smart,,,,37429657.0,ns,165
K-Means Clustering,Small/Smart,,,,38152721.0,ns,170
K-Means Clustering,Small/Smart,,,,40374921.0,ns,175
K-Means Clustering,Small/Smart,,,,40681948.0,ns,180
K-Means Clustering,Small/Smart,,,,41581128.0,ns,185
K-Means Clustering,Small/Smart,,,,43235777.0,ns,190
K-Means Clustering,Small/Smart,,,,44253968.0,ns,195
K-Means Clustering,Small/Smart,,,,45740002.0,ns,200
K-Means Clustering,Small/Smart,,,,46152439.0,ns,205
K-Means Clustering,Small/Smart,,,,48315533.0,ns,210
K-Means Clustering,Small/Smart,,,,47800287.0,ns,215
K-Means Clustering,Small/Smart,,,,50513330.0,ns,220
K-Means Clustering,Small/Smart,,,,51396809.0,ns,225
K-Means Clustering,Small/Smart,,,,52060469.0,ns,230
K-Means Clustering,Small/Smart,,,,53525500.0,ns,235
K-Means Clustering,Small/Smart,,,,54441882.0,ns,240
K-Means Clustering,Small/Smart,,,,57869889.0,ns,245
K-Means Clustering,Small/Smart,,,,57081118.0,ns,250
K-Means Clustering,Small/Smart,,,,59008392.0,ns,255
K-Means Clustering,Small/Smart,,,,58117812.0,ns,260
K-Means Clustering,Small/Smart,,,,59436930.0,ns,265
K-Means Clustering,Small/Smart,,,,60227101.0,ns,270
K-Means Clustering,Small/Smart,,,,62165975.0,ns,275
K-Means Clustering,Small/Smart,,,,63178765.0,ns,280
K-Means Clustering,Small/Smart,,,,64146852.0,ns,285
K-Means Clustering,Small/Smart,,,,65615384.0,ns,290
K-Means Clustering,Small/Smart,,,,66605773.0,ns,295
K-Means Clustering,Small/Smart,,,,68190715.0,ns,300
K-Means Clustering,Small/Smart,,,,68603652.0,ns,305
K-Means Clustering,Small/Smart,,,,70850353.0,ns,310
K-Means Clustering,Small/Smart,,,,72084065.0,ns,315
K-Means Clustering,Small/Smart,,,,73640603.0,ns,320
K-Means Clustering,Small/Smart,,,,74036639.0,ns,325
K-Means Clustering,Small/Smart,,,,74594389.0,ns,330
K-Means Clustering,Small/Smart,,,,75553075.0,ns,335
K-Means Clustering,Small/Smart,,,,77706768.0,ns,340
K-Means Clustering,Small/Smart,,,,79085192.0,ns,345
K-Means Clustering,Small/Smart,,,,80469216.0,ns,350
K-Means Clustering,Small/Smart,,,,80869952.0,ns,355
