group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Small/Smartcore,,,,1089898.0,ns,6
K-Means Clustering,Small/Smartcore,,,,1972794.0,ns,12
K-Means Clustering,Small/Smartcore,,,,2822693.0,ns,18
K-Means Clustering,Small/Smartcore,,,,4488989.0,ns,24
K-Means Clustering,Small/Smartcore,,,,4945987.0,ns,30
K-Means Clustering,Small/Smartcore,,,,5912585.0,ns,36
K-Means Clustering,Small/Smartcore,,,,6965083.0,ns,42
K-Means Clustering,Small/Smartcore,,,,8523379.0,ns,48
K-Means Clustering,Small/Smartcore,,,,8920378.0,ns,54
K-Means Clustering,Small/Smartcore,,,,10890072.0,ns,60
K-Means Clustering,Small/Smartcore,,,,11583071.0,ns,66
K-Means Clustering,Small/Smartcore,,,,12582267.0,ns,72
K-Means Clustering,Small/Smartcore,,,,13353766.0,ns,78
K-Means Clustering,Small/Smartcore,,,,14387763.0,ns,84
K-Means Clustering,Small/Smartcore,,,,15122361.0,ns,90
K-Means Clustering,Small/Smartcore,,,,16354257.0,ns,96
K-Means Clustering,Small/Smartcore,,,,18744752.0,ns,102
K-Means Clustering,Small/Smartcore,,,,18798252.0,ns,108
K-Means Clustering,Small/Smartcore,,,,19577949.0,ns,114
K-Means Clustering,Small/Smartcore,,,,20396648.0,ns,120
K-Means Clustering,Small/Smartcore,,,,23386039.0,ns,126
K-Means Clustering,Small/Smartcore,,,,24053239.0,ns,132
K-Means Clustering,Small/Smartcore,,,,24895336.0,ns,138
K-Means Clustering,Small/Smartcore,,,,26130833.0,ns,144
K-Means Clustering,Small/Smartcore,,,,28971225.0,ns,150
K-Means Clustering,Small/Smartcore,,,,30473622.0,ns,156
K-Means Clustering,Small/Smartcore,,,,26997330.0,ns,162
K-Means Clustering,Small/Smartcore,,,,30094623.0,ns,168
K-Means Clustering,Small/Smartcore,,,,33229514.0,ns,174
K-Means Clustering,Small/Smartcore,,,,31949318.0,ns,180
K-Means Clustering,Small/Smartcore,,,,32934215.0,ns,186
K-Means Clustering,Small/Smartcore,,,,34895310.0,ns,192
K-Means Clustering,Small/Smartcore,,,,33291614.0,ns,198
K-Means Clustering,Small/Smartcore,,,,40015297.0,ns,204
K-Means Clustering,Small/Smartcore,,,,38704101.0,ns,210
K-Means Clustering,Small/Smartcore,,,,36307006.0,ns,216
K-Means Clustering,Small/Smartcore,,,,38728501.0,ns,222
K-Means Clustering,Small/Smartcore,,,,40029997.0,ns,228
K-Means Clustering,Small/Smartcore,,,,41175394.0,ns,234
K-Means Clustering,Small/Smartcore,,,,44072487.0,ns,240
K-Means Clustering,Small/Smartcore,,,,41070494.0,ns,246
K-Means Clustering,Small/Smartcore,,,,45978082.0,ns,252
K-Means Clustering,Small/Smartcore,,,,45562282.0,ns,258
K-Means Clustering,Small/Smartcore,,,,48439075.0,ns,264
K-Means Clustering,Small/Smartcore,,,,47903977.0,ns,270
K-Means Clustering,Small/Smartcore,,,,49563472.0,ns,276
K-Means Clustering,Small/Smartcore,,,,46405781.0,ns,282
K-Means Clustering,Small/Smartcore,,,,48424175.0,ns,288
K-Means Clustering,Small/Smartcore,,,,49772472.0,ns,294
K-Means Clustering,Small/Smartcore,,,,60624844.0,ns,300
K-Means Clustering,Small/Smartcore,,,,52713764.0,ns,306
K-Means Clustering,Small/Smartcore,,,,53858062.0,ns,312
K-Means Clustering,Small/Smartcore,,,,52068266.0,ns,318
K-Means Clustering,Small/Smartcore,,,,62042241.0,ns,324
K-Means Clustering,Small/Smartcore,,,,55505657.0,ns,330
K-Means Clustering,Small/Smartcore,,,,57637651.0,ns,336
K-Means Clustering,Small/Smartcore,,,,59085848.0,ns,342
K-Means Clustering,Small/Smartcore,,,,63090338.0,ns,348
K-Means Clustering,Small/Smartcore,,,,60944943.0,ns,354
K-Means Clustering,Small/Smartcore,,,,59929445.0,ns,360
K-Means Clustering,Small/Smartcore,,,,66146330.0,ns,366
K-Means Clustering,Small/Smartcore,,,,66891228.0,ns,372
K-Means Clustering,Small/Smartcore,,,,68388824.0,ns,378
K-Means Clustering,Small/Smartcore,,,,74175909.0,ns,384
K-Means Clustering,Small/Smartcore,,,,72817412.0,ns,390
K-Means Clustering,Small/Smartcore,,,,84847082.0,ns,396
K-Means Clustering,Small/Smartcore,,,,83937884.0,ns,402
K-Means Clustering,Small/Smartcore,,,,78558597.0,ns,408
K-Means Clustering,Small/Smartcore,,,,82679488.0,ns,414
K-Means Clustering,Small/Smartcore,,,,73699311.0,ns,420
K-Means Clustering,Small/Smartcore,,,,78104399.0,ns,426
K-Means Clustering,Small/Smartcore,,,,73660610.0,ns,432
K-Means Clustering,Small/Smartcore,,,,84150883.0,ns,438
K-Means Clustering,Small/Smartcore,,,,81545590.0,ns,444
K-Means Clustering,Small/Smartcore,,,,77246501.0,ns,450
K-Means Clustering,Small/Smartcore,,,,83127786.0,ns,456
K-Means Clustering,Small/Smartcore,,,,84020684.0,ns,462
K-Means Clustering,Small/Smartcore,,,,93427360.0,ns,468
K-Means Clustering,Small/Smartcore,,,,91828764.0,ns,474
K-Means Clustering,Small/Smartcore,,,,89823169.0,ns,480
K-Means Clustering,Small/Smartcore,,,,91249765.0,ns,486
K-Means Clustering,Small/Smartcore,,,,93007460.0,ns,492
K-Means Clustering,Small/Smartcore,,,,90489367.0,ns,498
K-Means Clustering,Small/Smartcore,,,,92316563.0,ns,504
K-Means Clustering,Small/Smartcore,,,,94006358.0,ns,510
K-Means Clustering,Small/Smartcore,,,,95324454.0,ns,516
K-Means Clustering,Small/Smartcore,,,,91661420.0,ns,522
K-Means Clustering,Small/Smartcore,,,,103125580.0,ns,528
K-Means Clustering,Small/Smartcore,,,,102219979.0,ns,534
K-Means Clustering,Small/Smartcore,,,,97430176.0,ns,540
K-Means Clustering,Small/Smartcore,,,,102723580.0,ns,546
K-Means Clustering,Small/Smartcore,,,,100459578.0,ns,552
K-Means Clustering,Small/Smartcore,,,,97666276.0,ns,558
K-Means Clustering,Small/Smartcore,,,,105255181.0,ns,564
K-Means Clustering,Small/Smartcore,,,,112483088.0,ns,570
K-Means Clustering,Small/Smartcore,,,,108475484.0,ns,576
K-Means Clustering,Small/Smartcore,,,,107521284.0,ns,582
K-Means Clustering,Small/Smartcore,,,,109693385.0,ns,588
K-Means Clustering,Small/Smartcore,,,,111398886.0,ns,594
K-Means Clustering,Small/Smartcore,,,,107469684.0,ns,600
