group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Small/Smartcore,,,,1083005.0,ns,6
K-Means Clustering,Small/Smartcore,,,,2176310.0,ns,12
K-Means Clustering,Small/Smartcore,,,,3221314.0,ns,18
K-Means Clustering,Small/Smartcore,,,,4418420.0,ns,24
K-Means Clustering,Small/Smartcore,,,,5252024.0,ns,30
K-Means Clustering,Small/Smartcore,,,,6415230.0,ns,36
K-Means Clustering,Small/Smartcore,,,,7523835.0,ns,42
K-Means Clustering,Small/Smartcore,,,,8640539.0,ns,48
K-Means Clustering,Small/Smartcore,,,,9583545.0,ns,54
K-Means Clustering,Small/Smartcore,,,,10696849.0,ns,60
K-Means Clustering,Small/Smartcore,,,,11930055.0,ns,66
K-Means Clustering,Small/Smartcore,,,,12810559.0,ns,72
K-Means Clustering,Small/Smartcore,,,,14368266.0,ns,78
K-Means Clustering,Small/Smartcore,,,,15016669.0,ns,84
K-Means Clustering,Small/Smartcore,,,,16781078.0,ns,90
K-Means Clustering,Small/Smartcore,,,,17048578.0,ns,96
K-Means Clustering,Small/Smartcore,,,,18535585.0,ns,102
K-Means Clustering,Small/Smartcore,,,,19076687.0,ns,108
K-Means Clustering,Small/Smartcore,,,,20318094.0,ns,114
K-Means Clustering,Small/Smartcore,,,,21738900.0,ns,120
K-Means Clustering,Small/Smartcore,,,,22940706.0,ns,126
K-Means Clustering,Small/Smartcore,,,,23930910.0,ns,132
K-Means Clustering,Small/Smartcore,,,,24425412.0,ns,138
K-Means Clustering,Small/Smartcore,,,,25811119.0,ns,144
K-Means Clustering,Small/Smartcore,,,,26730823.0,ns,150
K-Means Clustering,Small/Smartcore,,,,27870328.0,ns,156
K-Means Clustering,Small/Smartcore,,,,29668637.0,ns,162
K-Means Clustering,Small/Smartcore,,,,29749237.0,ns,168
K-Means Clustering,Small/Smartcore,,,,30876942.0,ns,174
K-Means Clustering,Small/Smartcore,,,,31691146.0,ns,180
K-Means Clustering,Small/Smartcore,,,,33233153.0,ns,186
K-Means Clustering,Small/Smartcore,,,,33866056.0,ns,192
K-Means Clustering,Small/Smartcore,,,,35679364.0,ns,198
K-Means Clustering,Small/Smartcore,,,,36645068.0,ns,204
K-Means Clustering,Small/Smartcore,,,,37031770.0,ns,210
K-Means Clustering,Small/Smartcore,,,,38434377.0,ns,216
K-Means Clustering,Small/Smartcore,,,,39581782.0,ns,222
K-Means Clustering,Small/Smartcore,,,,40258285.0,ns,228
K-Means Clustering,Small/Smartcore,,,,41845993.0,ns,234
