group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Smartcore,,,,987513.0,ns,53
K-Means Clustering,Smartcore,,,,2072825.0,ns,106
K-Means Clustering,Smartcore,,,,3054338.0,ns,159
K-Means Clustering,Smartcore,,,,4002250.0,ns,212
K-Means Clustering,Smartcore,,,,4868961.0,ns,265
K-Means Clustering,Smartcore,,,,5885273.0,ns,318
K-Means Clustering,Smartcore,,,,6743484.0,ns,371
K-Means Clustering,Smartcore,,,,7821098.0,ns,424
K-Means Clustering,Smartcore,,,,8588807.0,ns,477
K-Means Clustering,Smartcore,,,,9678620.0,ns,530
K-Means Clustering,Smartcore,,,,10702334.0,ns,583
K-Means Clustering,Smartcore,,,,11877748.0,ns,636
K-Means Clustering,Smartcore,,,,12512456.0,ns,689
K-Means Clustering,Smartcore,,,,13433967.0,ns,742
K-Means Clustering,Smartcore,,,,14382779.0,ns,795
K-Means Clustering,Smartcore,,,,15518694.0,ns,848
K-Means Clustering,Smartcore,,,,16417404.0,ns,901
K-Means Clustering,Smartcore,,,,17842322.0,ns,954
K-Means Clustering,Smartcore,,,,18832335.0,ns,1007
K-Means Clustering,Smartcore,,,,19880348.0,ns,1060
K-Means Clustering,Smartcore,,,,21403666.0,ns,1113
K-Means Clustering,Smartcore,,,,22025475.0,ns,1166
K-Means Clustering,Smartcore,,,,23296090.0,ns,1219
K-Means Clustering,Smartcore,,,,24250902.0,ns,1272
K-Means Clustering,Smartcore,,,,25401517.0,ns,1325
K-Means Clustering,Smartcore,,,,25922323.0,ns,1378
K-Means Clustering,Smartcore,,,,27272739.0,ns,1431
K-Means Clustering,Smartcore,,,,27750146.0,ns,1484
K-Means Clustering,Smartcore,,,,29058862.0,ns,1537
K-Means Clustering,Smartcore,,,,29745671.0,ns,1590
K-Means Clustering,Smartcore,,,,30965586.0,ns,1643
K-Means Clustering,Smartcore,,,,32001098.0,ns,1696
K-Means Clustering,Smartcore,,,,32704808.0,ns,1749
K-Means Clustering,Smartcore,,,,34613331.0,ns,1802
K-Means Clustering,Smartcore,,,,35273640.0,ns,1855
K-Means Clustering,Smartcore,,,,36405353.0,ns,1908
K-Means Clustering,Smartcore,,,,37308065.0,ns,1961
K-Means Clustering,Smartcore,,,,37827971.0,ns,2014
K-Means Clustering,Smartcore,,,,38186076.0,ns,2067
K-Means Clustering,Smartcore,,,,39421991.0,ns,2120
K-Means Clustering,Smartcore,,,,41698620.0,ns,2173
K-Means Clustering,Smartcore,,,,41682519.0,ns,2226
K-Means Clustering,Smartcore,,,,42276327.0,ns,2279
K-Means Clustering,Smartcore,,,,43974148.0,ns,2332
K-Means Clustering,Smartcore,,,,43798245.0,ns,2385
K-Means Clustering,Smartcore,,,,45179263.0,ns,2438
K-Means Clustering,Smartcore,,,,46007073.0,ns,2491
K-Means Clustering,Smartcore,,,,46832484.0,ns,2544
K-Means Clustering,Smartcore,,,,48785808.0,ns,2597
K-Means Clustering,Smartcore,,,,49402915.0,ns,2650
K-Means Clustering,Smartcore,,,,49962223.0,ns,2703
K-Means Clustering,Smartcore,,,,52193650.0,ns,2756
K-Means Clustering,Smartcore,,,,52587055.0,ns,2809
