group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Smartcore,,,,1040299.0,ns,55
K-Means Clustering,Smartcore,,,,2072099.0,ns,110
K-Means Clustering,Smartcore,,,,3068998.0,ns,165
K-Means Clustering,Smartcore,,,,4021498.0,ns,220
K-Means Clustering,Smartcore,,,,5065097.0,ns,275
K-Means Clustering,Smartcore,,,,5826496.0,ns,330
K-Means Clustering,Smartcore,,,,7095396.0,ns,385
K-Means Clustering,Smartcore,,,,7994196.0,ns,440
K-Means Clustering,Smartcore,,,,9129194.0,ns,495
K-Means Clustering,Smartcore,,,,10197394.0,ns,550
K-Means Clustering,Smartcore,,,,10794594.0,ns,605
K-Means Clustering,Smartcore,,,,11983393.0,ns,660
K-Means Clustering,Smartcore,,,,13104192.0,ns,715
K-Means Clustering,Smartcore,,,,14016692.0,ns,770
K-Means Clustering,Smartcore,,,,15383991.0,ns,825
K-Means Clustering,Smartcore,,,,15776191.0,ns,880
K-Means Clustering,Smartcore,,,,17010590.0,ns,935
K-Means Clustering,Smartcore,,,,18016689.0,ns,990
K-Means Clustering,Smartcore,,,,19560789.0,ns,1045
K-Means Clustering,Smartcore,,,,20370188.0,ns,1100
K-Means Clustering,Smartcore,,,,21328487.0,ns,1155
K-Means Clustering,Smartcore,,,,22433587.0,ns,1210
K-Means Clustering,Smartcore,,,,23513686.0,ns,1265
K-Means Clustering,Smartcore,,,,24475686.0,ns,1320
K-Means Clustering,Smartcore,,,,25526585.0,ns,1375
K-Means Clustering,Smartcore,,,,26592684.0,ns,1430
K-Means Clustering,Smartcore,,,,27587684.0,ns,1485
K-Means Clustering,Smartcore,,,,28670984.0,ns,1540
K-Means Clustering,Smartcore,,,,29571182.0,ns,1595
K-Means Clustering,Smartcore,,,,30333382.0,ns,1650
K-Means Clustering,Smartcore,,,,30913782.0,ns,1705
K-Means Clustering,Smartcore,,,,32399581.0,ns,1760
K-Means Clustering,Smartcore,,,,33000281.0,ns,1815
K-Means Clustering,Smartcore,,,,33913880.0,ns,1870
K-Means Clustering,Smartcore,,,,34345780.0,ns,1925
K-Means Clustering,Smartcore,,,,36079779.0,ns,1980
K-Means Clustering,Smartcore,,,,36840978.0,ns,2035
K-Means Clustering,Smartcore,,,,38172678.0,ns,2090
K-Means Clustering,Smartcore,,,,39365077.0,ns,2145
K-Means Clustering,Smartcore,,,,40601576.0,ns,2200
K-Means Clustering,Smartcore,,,,41710676.0,ns,2255
K-Means Clustering,Smartcore,,,,42418975.0,ns,2310
K-Means Clustering,Smartcore,,,,43036275.0,ns,2365
K-Means Clustering,Smartcore,,,,44101274.0,ns,2420
K-Means Clustering,Smartcore,,,,44807174.0,ns,2475
K-Means Clustering,Smartcore,,,,45745073.0,ns,2530
K-Means Clustering,Smartcore,,,,47534572.0,ns,2585
K-Means Clustering,Smartcore,,,,47393672.0,ns,2640
K-Means Clustering,Smartcore,,,,48666672.0,ns,2695
K-Means Clustering,Smartcore,,,,50010570.0,ns,2750
K-Means Clustering,Smartcore,,,,50998170.0,ns,2805
K-Means Clustering,Smartcore,,,,52396070.0,ns,2860
K-Means Clustering,Smartcore,,,,52711969.0,ns,2915
K-Means Clustering,Smartcore,,,,53879568.0,ns,2970
K-Means Clustering,Smartcore,,,,55600368.0,ns,3025
K-Means Clustering,Smartcore,,,,55799767.0,ns,3080
K-Means Clustering,Smartcore,,,,56072267.0,ns,3135
K-Means Clustering,Smartcore,,,,57786666.0,ns,3190
K-Means Clustering,Smartcore,,,,59232666.0,ns,3245
K-Means Clustering,Smartcore,,,,60236864.0,ns,3300
K-Means Clustering,Smartcore,,,,61265564.0,ns,3355
K-Means Clustering,Smartcore,,,,63220163.0,ns,3410
K-Means Clustering,Smartcore,,,,63576863.0,ns,3465
K-Means Clustering,Smartcore,,,,64107063.0,ns,3520
K-Means Clustering,Smartcore,,,,65984661.0,ns,3575
K-Means Clustering,Smartcore,,,,66494061.0,ns,3630
K-Means Clustering,Smartcore,,,,68057660.0,ns,3685
K-Means Clustering,Smartcore,,,,68751760.0,ns,3740
K-Means Clustering,Smartcore,,,,69659959.0,ns,3795
K-Means Clustering,Smartcore,,,,70240059.0,ns,3850
K-Means Clustering,Smartcore,,,,71140658.0,ns,3905
K-Means Clustering,Smartcore,,,,72496358.0,ns,3960
K-Means Clustering,Smartcore,,,,74192156.0,ns,4015
K-Means Clustering,Smartcore,,,,74606957.0,ns,4070
K-Means Clustering,Smartcore,,,,75947855.0,ns,4125
K-Means Clustering,Smartcore,,,,75950456.0,ns,4180
K-Means Clustering,Smartcore,,,,77436354.0,ns,4235
K-Means Clustering,Smartcore,,,,77326055.0,ns,4290
K-Means Clustering,Smartcore,,,,78567254.0,ns,4345
K-Means Clustering,Smartcore,,,,79788753.0,ns,4400
K-Means Clustering,Smartcore,,,,82094252.0,ns,4455
K-Means Clustering,Smartcore,,,,83191751.0,ns,4510
K-Means Clustering,Smartcore,,,,84592051.0,ns,4565
K-Means Clustering,Smartcore,,,,85277450.0,ns,4620
K-Means Clustering,Smartcore,,,,86367649.0,ns,4675
K-Means Clustering,Smartcore,,,,87870149.0,ns,4730
K-Means Clustering,Smartcore,,,,88788548.0,ns,4785
K-Means Clustering,Smartcore,,,,88841048.0,ns,4840
K-Means Clustering,Smartcore,,,,89324815.0,ns,4895
K-Means Clustering,Smartcore,,,,90083554.0,ns,4950
K-Means Clustering,Smartcore,,,,92498283.0,ns,5005
K-Means Clustering,Smartcore,,,,92880087.0,ns,5060
K-Means Clustering,Smartcore,,,,94242903.0,ns,5115
K-Means Clustering,Smartcore,,,,95683920.0,ns,5170
K-Means Clustering,Smartcore,,,,96270327.0,ns,5225
K-Means Clustering,Smartcore,,,,96487429.0,ns,5280
K-Means Clustering,Smartcore,,,,98737756.0,ns,5335
K-Means Clustering,Smartcore,,,,98788357.0,ns,5390
K-Means Clustering,Smartcore,,,,100673378.0,ns,5445
K-Means Clustering,Smartcore,,,,102012794.0,ns,5500
