group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Large/Linfa,,,,62259443.0,ns,2
Linear Regression,Large/Linfa,,,,63766125.0,ns,2
Linear Regression,Large/Linfa,,,,62417973.0,ns,2
Linear Regression,Large/Linfa,,,,60481811.0,ns,2
Linear Regression,Large/Linfa,,,,62283648.0,ns,2
Linear Regression,Large/Linfa,,,,63375652.0,ns,2
Linear Regression,Large/Linfa,,,,63729619.0,ns,2
Linear Regression,Large/Linfa,,,,61777654.0,ns,2
Linear Regression,Large/Linfa,,,,62067108.0,ns,2
Linear Regression,Large/Linfa,,,,62800945.0,ns,2
Linear Regression,Large/Linfa,,,,61747949.0,ns,2
Linear Regression,Large/Linfa,,,,61885474.0,ns,2
Linear Regression,Large/Linfa,,,,62147423.0,ns,2
Linear Regression,Large/Linfa,,,,62729832.0,ns,2
Linear Regression,Large/Linfa,,,,62831851.0,ns,2
Linear Regression,Large/Linfa,,,,63104802.0,ns,2
Linear Regression,Large/Linfa,,,,63721817.0,ns,2
Linear Regression,Large/Linfa,,,,62988880.0,ns,2
Linear Regression,Large/Linfa,,,,63086499.0,ns,2
Linear Regression,Large/Linfa,,,,64287324.0,ns,2
Linear Regression,Large/Linfa,,,,65278009.0,ns,2
Linear Regression,Large/Linfa,,,,65971037.0,ns,2
Linear Regression,Large/Linfa,,,,65715490.0,ns,2
Linear Regression,Large/Linfa,,,,63646403.0,ns,2
Linear Regression,Large/Linfa,,,,63579691.0,ns,2
Linear Regression,Large/Linfa,,,,65193292.0,ns,2
Linear Regression,Large/Linfa,,,,63311941.0,ns,2
Linear Regression,Large/Linfa,,,,62565401.0,ns,2
Linear Regression,Large/Linfa,,,,62027200.0,ns,2
Linear Regression,Large/Linfa,,,,65454441.0,ns,2
Linear Regression,Large/Linfa,,,,65673982.0,ns,2
Linear Regression,Large/Linfa,,,,65764100.0,ns,2
Linear Regression,Large/Linfa,,,,64441552.0,ns,2
Linear Regression,Large/Linfa,,,,63222524.0,ns,2
Linear Regression,Large/Linfa,,,,65128580.0,ns,2
Linear Regression,Large/Linfa,,,,62788542.0,ns,2
Linear Regression,Large/Linfa,,,,63202120.0,ns,2
Linear Regression,Large/Linfa,,,,64410946.0,ns,2
Linear Regression,Large/Linfa,,,,63789130.0,ns,2
Linear Regression,Large/Linfa,,,,61517128.0,ns,2
Linear Regression,Large/Linfa,,,,61448183.0,ns,2
Linear Regression,Large/Linfa,,,,64210410.0,ns,2
Linear Regression,Large/Linfa,,,,65758925.0,ns,2
Linear Regression,Large/Linfa,,,,62274491.0,ns,2
Linear Regression,Large/Linfa,,,,65162918.0,ns,2
Linear Regression,Large/Linfa,,,,63148700.0,ns,2
Linear Regression,Large/Linfa,,,,63144400.0,ns,2
Linear Regression,Large/Linfa,,,,63257000.0,ns,2
Linear Regression,Large/Linfa,,,,64174009.0,ns,2
Linear Regression,Large/Linfa,,,,64107208.0,ns,2
Linear Regression,Large/Linfa,,,,64674414.0,ns,2
Linear Regression,Large/Linfa,,,,62015288.0,ns,2
Linear Regression,Large/Linfa,,,,65449822.0,ns,2
Linear Regression,Large/Linfa,,,,63301901.0,ns,2
Linear Regression,Large/Linfa,,,,63057899.0,ns,2
Linear Regression,Large/Linfa,,,,63757005.0,ns,2
Linear Regression,Large/Linfa,,,,64926717.0,ns,2
Linear Regression,Large/Linfa,,,,69527760.0,ns,2
Linear Regression,Large/Linfa,,,,63363202.0,ns,2
Linear Regression,Large/Linfa,,,,62571394.0,ns,2
Linear Regression,Large/Linfa,,,,63030198.0,ns,2
Linear Regression,Large/Linfa,,,,65599122.0,ns,2
Linear Regression,Large/Linfa,,,,63566304.0,ns,2
Linear Regression,Large/Linfa,,,,64281510.0,ns,2
Linear Regression,Large/Linfa,,,,63196900.0,ns,2
Linear Regression,Large/Linfa,,,,63725005.0,ns,2
Linear Regression,Large/Linfa,,,,63824206.0,ns,2
Linear Regression,Large/Linfa,,,,66021427.0,ns,2
Linear Regression,Large/Linfa,,,,63422103.0,ns,2
Linear Regression,Large/Linfa,,,,66343329.0,ns,2
Linear Regression,Large/Linfa,,,,67345939.0,ns,2
Linear Regression,Large/Linfa,,,,64966417.0,ns,2
Linear Regression,Large/Linfa,,,,62407892.0,ns,2
Linear Regression,Large/Linfa,,,,61422184.0,ns,2
Linear Regression,Large/Linfa,,,,61572684.0,ns,2
Linear Regression,Large/Linfa,,,,62280591.0,ns,2
Linear Regression,Large/Linfa,,,,62265992.0,ns,2
Linear Regression,Large/Linfa,,,,62581594.0,ns,2
