group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Large/Linfa,,,,85331731.0,ns,2
Linear Regression,Large/Linfa,,,,81087530.0,ns,2
Linear Regression,Large/Linfa,,,,84060531.0,ns,2
Linear Regression,Large/Linfa,,,,88546132.0,ns,2
Linear Regression,Large/Linfa,,,,82990930.0,ns,2
Linear Regression,Large/Linfa,,,,80168429.0,ns,2
Linear Regression,Large/Linfa,,,,83470630.0,ns,2
Linear Regression,Large/Linfa,,,,81964930.0,ns,2
Linear Regression,Large/Linfa,,,,87608932.0,ns,2
Linear Regression,Large/Linfa,,,,83486930.0,ns,2
Linear Regression,Large/Linfa,,,,87751532.0,ns,2
Linear Regression,Large/Linfa,,,,79084628.0,ns,2
Linear Regression,Large/Linfa,,,,84221631.0,ns,2
Linear Regression,Large/Linfa,,,,84858731.0,ns,2
Linear Regression,Large/Linfa,,,,87658432.0,ns,2
Linear Regression,Large/Linfa,,,,80630429.0,ns,2
Linear Regression,Large/Linfa,,,,79950729.0,ns,2
Linear Regression,Large/Linfa,,,,78883028.0,ns,2
Linear Regression,Large/Linfa,,,,86959031.0,ns,2
Linear Regression,Large/Linfa,,,,79318329.0,ns,2
Linear Regression,Large/Linfa,,,,78459128.0,ns,2
Linear Regression,Large/Linfa,,,,78347129.0,ns,2
Linear Regression,Large/Linfa,,,,79813729.0,ns,2
Linear Regression,Large/Linfa,,,,79904029.0,ns,2
Linear Regression,Large/Linfa,,,,82093930.0,ns,2
Linear Regression,Large/Linfa,,,,85197031.0,ns,2
Linear Regression,Large/Linfa,,,,82673830.0,ns,2
Linear Regression,Large/Linfa,,,,84238931.0,ns,2
Linear Regression,Large/Linfa,,,,83400531.0,ns,2
Linear Regression,Large/Linfa,,,,82471630.0,ns,2
Linear Regression,Large/Linfa,,,,89180232.0,ns,2
Linear Regression,Large/Linfa,,,,81569430.0,ns,2
Linear Regression,Large/Linfa,,,,81368929.0,ns,2
Linear Regression,Large/Linfa,,,,86071031.0,ns,2
Linear Regression,Large/Linfa,,,,83544730.0,ns,2
Linear Regression,Large/Linfa,,,,81766130.0,ns,2
Linear Regression,Large/Linfa,,,,83578430.0,ns,2
Linear Regression,Large/Linfa,,,,82510530.0,ns,2
Linear Regression,Large/Linfa,,,,90311133.0,ns,2
Linear Regression,Large/Linfa,,,,90617833.0,ns,2
Linear Regression,Large/Linfa,,,,80504829.0,ns,2
Linear Regression,Large/Linfa,,,,79200029.0,ns,2
Linear Regression,Large/Linfa,,,,81007930.0,ns,2
Linear Regression,Large/Linfa,,,,83301430.0,ns,2
Linear Regression,Large/Linfa,,,,81068829.0,ns,2
Linear Regression,Large/Linfa,,,,84079231.0,ns,2
Linear Regression,Large/Linfa,,,,83547731.0,ns,2
Linear Regression,Large/Linfa,,,,92810634.0,ns,2
Linear Regression,Large/Linfa,,,,86919132.0,ns,2
Linear Regression,Large/Linfa,,,,82041430.0,ns,2
Linear Regression,Large/Linfa,,,,85359131.0,ns,2
Linear Regression,Large/Linfa,,,,81831530.0,ns,2
Linear Regression,Large/Linfa,,,,80290029.0,ns,2
Linear Regression,Large/Linfa,,,,85325731.0,ns,2
Linear Regression,Large/Linfa,,,,82523630.0,ns,2
Linear Regression,Large/Linfa,,,,80292730.0,ns,2
Linear Regression,Large/Linfa,,,,80187029.0,ns,2
Linear Regression,Large/Linfa,,,,82287930.0,ns,2
Linear Regression,Large/Linfa,,,,80295829.0,ns,2
Linear Regression,Large/Linfa,,,,81395130.0,ns,2
Linear Regression,Large/Linfa,,,,84280531.0,ns,2
Linear Regression,Large/Linfa,,,,80166329.0,ns,2
Linear Regression,Large/Linfa,,,,82036230.0,ns,2
Linear Regression,Large/Linfa,,,,81653730.0,ns,2
Linear Regression,Large/Linfa,,,,82562330.0,ns,2
Linear Regression,Large/Linfa,,,,78913528.0,ns,2
Linear Regression,Large/Linfa,,,,79956629.0,ns,2
Linear Regression,Large/Linfa,,,,86778832.0,ns,2
Linear Regression,Large/Linfa,,,,93745334.0,ns,2
Linear Regression,Large/Linfa,,,,80703629.0,ns,2
Linear Regression,Large/Linfa,,,,80183629.0,ns,2
Linear Regression,Large/Linfa,,,,81037429.0,ns,2
Linear Regression,Large/Linfa,,,,82887030.0,ns,2
Linear Regression,Large/Linfa,,,,82578330.0,ns,2
Linear Regression,Large/Linfa,,,,79421429.0,ns,2
Linear Regression,Large/Linfa,,,,78546328.0,ns,2
Linear Regression,Large/Linfa,,,,81497429.0,ns,2
Linear Regression,Large/Linfa,,,,82936130.0,ns,2
Linear Regression,Large/Linfa,,,,80571830.0,ns,2
Linear Regression,Large/Linfa,,,,97862238.0,ns,2
Linear Regression,Large/Linfa,,,,84490833.0,ns,2
Linear Regression,Large/Linfa,,,,99798339.0,ns,2
Linear Regression,Large/Linfa,,,,80988032.0,ns,2
Linear Regression,Large/Linfa,,,,81046331.0,ns,2
Linear Regression,Large/Linfa,,,,80198131.0,ns,2
Linear Regression,Large/Linfa,,,,78649631.0,ns,2
Linear Regression,Large/Linfa,,,,82441732.0,ns,2
Linear Regression,Large/Linfa,,,,80903031.0,ns,2
Linear Regression,Large/Linfa,,,,82325832.0,ns,2
Linear Regression,Large/Linfa,,,,81155631.0,ns,2
Linear Regression,Large/Linfa,,,,79257831.0,ns,2
Linear Regression,Large/Linfa,,,,79973431.0,ns,2
Linear Regression,Large/Linfa,,,,79507531.0,ns,2
Linear Regression,Large/Linfa,,,,82360233.0,ns,2
Linear Regression,Large/Linfa,,,,81040532.0,ns,2
Linear Regression,Large/Linfa,,,,78179030.0,ns,2
