group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Large/Smart,,,,1560773003.0,ns,1
Linear Regression,Large/Smart,,,,1532004693.0,ns,1
Linear Regression,Large/Smart,,,,1533319111.0,ns,1
Linear Regression,Large/Smart,,,,1546310974.0,ns,1
Linear Regression,Large/Smart,,,,1563092175.0,ns,1
Linear Regression,Large/Smart,,,,1543296213.0,ns,1
Linear Regression,Large/Smart,,,,1558859707.0,ns,1
Linear Regression,Large/Smart,,,,1547751016.0,ns,1
Linear Regression,Large/Smart,,,,1549503272.0,ns,1
Linear Regression,Large/Smart,,,,1552163310.0,ns,1
Linear Regression,Large/Smart,,,,1546850124.0,ns,1
Linear Regression,Large/Smart,,,,1552160064.0,ns,1
Linear Regression,Large/Smart,,,,1531175486.0,ns,1
Linear Regression,Large/Smart,,,,1538270321.0,ns,1
Linear Regression,Large/Smart,,,,1539118596.0,ns,1
Linear Regression,Large/Smart,,,,1541693002.0,ns,1
Linear Regression,Large/Smart,,,,1525282176.0,ns,1
Linear Regression,Large/Smart,,,,1540390828.0,ns,1
Linear Regression,Large/Smart,,,,1533139778.0,ns,1
Linear Regression,Large/Smart,,,,1538715877.0,ns,1
Linear Regression,Large/Smart,,,,1547185142.0,ns,1
Linear Regression,Large/Smart,,,,1543695563.0,ns,1
Linear Regression,Large/Smart,,,,1529121958.0,ns,1
Linear Regression,Large/Smart,,,,1548136160.0,ns,1
Linear Regression,Large/Smart,,,,1548734913.0,ns,1
Linear Regression,Large/Smart,,,,1542964488.0,ns,1
Linear Regression,Large/Smart,,,,1547695418.0,ns,1
Linear Regression,Large/Smart,,,,1548127456.0,ns,1
Linear Regression,Large/Smart,,,,1556840935.0,ns,1
Linear Regression,Large/Smart,,,,1533255226.0,ns,1
Linear Regression,Large/Smart,,,,1543718062.0,ns,1
Linear Regression,Large/Smart,,,,1538208385.0,ns,1
Linear Regression,Large/Smart,,,,1532952315.0,ns,1
Linear Regression,Large/Smart,,,,1543492258.0,ns,1
Linear Regression,Large/Smart,,,,1547895752.0,ns,1
Linear Regression,Large/Smart,,,,1555850563.0,ns,1
Linear Regression,Large/Smart,,,,1557108546.0,ns,1
Linear Regression,Large/Smart,,,,1541883700.0,ns,1
Linear Regression,Large/Smart,,,,1545665839.0,ns,1
Linear Regression,Large/Smart,,,,1535919366.0,ns,1
Linear Regression,Large/Smart,,,,1553541644.0,ns,1
Linear Regression,Large/Smart,,,,1554210480.0,ns,1
Linear Regression,Large/Smart,,,,1546828892.0,ns,1
Linear Regression,Large/Smart,,,,1549764555.0,ns,1
Linear Regression,Large/Smart,,,,1536022725.0,ns,1
Linear Regression,Large/Smart,,,,1537337243.0,ns,1
Linear Regression,Large/Smart,,,,1532972825.0,ns,1
Linear Regression,Large/Smart,,,,1534569297.0,ns,1
Linear Regression,Large/Smart,,,,1557259428.0,ns,1
Linear Regression,Large/Smart,,,,1561334193.0,ns,1
Linear Regression,Large/Smart,,,,1543241473.0,ns,1
Linear Regression,Large/Smart,,,,1554316174.0,ns,1
Linear Regression,Large/Smart,,,,1542333449.0,ns,1
Linear Regression,Large/Smart,,,,1540302768.0,ns,1
Linear Regression,Large/Smart,,,,1561807291.0,ns,1
Linear Regression,Large/Smart,,,,1563485642.0,ns,1
Linear Regression,Large/Smart,,,,1548933041.0,ns,1
Linear Regression,Large/Smart,,,,1538465406.0,ns,1
Linear Regression,Large/Smart,,,,1553118416.0,ns,1
Linear Regression,Large/Smart,,,,1563192218.0,ns,1
Linear Regression,Large/Smart,,,,1551131839.0,ns,1
Linear Regression,Large/Smart,,,,1554362920.0,ns,1
Linear Regression,Large/Smart,,,,1552164020.0,ns,1
Linear Regression,Large/Smart,,,,1556734329.0,ns,1
Linear Regression,Large/Smart,,,,1549860913.0,ns,1
Linear Regression,Large/Smart,,,,1553592548.0,ns,1
Linear Regression,Large/Smart,,,,1565234666.0,ns,1
Linear Regression,Large/Smart,,,,1547235824.0,ns,1
Linear Regression,Large/Smart,,,,1551957446.0,ns,1
Linear Regression,Large/Smart,,,,1533272874.0,ns,1
Linear Regression,Large/Smart,,,,1561574207.0,ns,1
Linear Regression,Large/Smart,,,,1563818023.0,ns,1
Linear Regression,Large/Smart,,,,1549169538.0,ns,1
Linear Regression,Large/Smart,,,,1573572124.0,ns,1
Linear Regression,Large/Smart,,,,1540740484.0,ns,1
Linear Regression,Large/Smart,,,,1531981799.0,ns,1
Linear Regression,Large/Smart,,,,1549739877.0,ns,1
Linear Regression,Large/Smart,,,,1527547558.0,ns,1
Linear Regression,Large/Smart,,,,1537527651.0,ns,1
Linear Regression,Large/Smart,,,,1551109068.0,ns,1
Linear Regression,Large/Smart,,,,1551130169.0,ns,1
Linear Regression,Large/Smart,,,,1556057918.0,ns,1
Linear Regression,Large/Smart,,,,1546999922.0,ns,1
Linear Regression,Large/Smart,,,,1546658091.0,ns,1
Linear Regression,Large/Smart,,,,1545558894.0,ns,1
Linear Regression,Large/Smart,,,,1559054093.0,ns,1
Linear Regression,Large/Smart,,,,1545787421.0,ns,1
Linear Regression,Large/Smart,,,,1542237122.0,ns,1
Linear Regression,Large/Smart,,,,1540085628.0,ns,1
Linear Regression,Large/Smart,,,,1537508798.0,ns,1
Linear Regression,Large/Smart,,,,1535730639.0,ns,1
Linear Regression,Large/Smart,,,,1541891190.0,ns,1
Linear Regression,Large/Smart,,,,1534633897.0,ns,1
Linear Regression,Large/Smart,,,,1538581950.0,ns,1
Linear Regression,Large/Smart,,,,1552697015.0,ns,1
Linear Regression,Large/Smart,,,,1533913033.0,ns,1
Linear Regression,Large/Smart,,,,1539093596.0,ns,1
Linear Regression,Large/Smart,,,,1542805684.0,ns,1
Linear Regression,Large/Smart,,,,1536590235.0,ns,1
Linear Regression,Large/Smart,,,,1550761004.0,ns,1
