group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Large/Smartcore,,,,1017520834.0,ns,1
Linear Regression,Large/Smartcore,,,,993853327.0,ns,1
Linear Regression,Large/Smartcore,,,,1022864636.0,ns,1
Linear Regression,Large/Smartcore,,,,990041725.0,ns,1
Linear Regression,Large/Smartcore,,,,998809728.0,ns,1
Linear Regression,Large/Smartcore,,,,995826527.0,ns,1
Linear Regression,Large/Smartcore,,,,1021540336.0,ns,1
Linear Regression,Large/Smartcore,,,,980497134.0,ns,1
Linear Regression,Large/Smartcore,,,,996637045.0,ns,1
Linear Regression,Large/Smartcore,,,,1026942855.0,ns,1
Linear Regression,Large/Smartcore,,,,981386040.0,ns,1
Linear Regression,Large/Smartcore,,,,991324244.0,ns,1
Linear Regression,Large/Smartcore,,,,990908943.0,ns,1
Linear Regression,Large/Smartcore,,,,1010488050.0,ns,1
Linear Regression,Large/Smartcore,,,,1000069747.0,ns,1
Linear Regression,Large/Smartcore,,,,1002891169.0,ns,1
Linear Regression,Large/Smartcore,,,,1016526078.0,ns,1
Linear Regression,Large/Smartcore,,,,981166166.0,ns,1
Linear Regression,Large/Smartcore,,,,1002415873.0,ns,1
Linear Regression,Large/Smartcore,,,,1026271082.0,ns,1
Linear Regression,Large/Smartcore,,,,984176666.0,ns,1
Linear Regression,Large/Smartcore,,,,1040341488.0,ns,1
Linear Regression,Large/Smartcore,,,,977792065.0,ns,1
Linear Regression,Large/Smartcore,,,,994053721.0,ns,1
Linear Regression,Large/Smartcore,,,,994044921.0,ns,1
Linear Regression,Large/Smartcore,,,,988857919.0,ns,1
Linear Regression,Large/Smartcore,,,,1003621025.0,ns,1
Linear Regression,Large/Smartcore,,,,995486622.0,ns,1
Linear Regression,Large/Smartcore,,,,1002856325.0,ns,1
Linear Regression,Large/Smartcore,,,,1018832732.0,ns,1
Linear Regression,Large/Smartcore,,,,983370226.0,ns,1
Linear Regression,Large/Smartcore,,,,997900875.0,ns,1
Linear Regression,Large/Smartcore,,,,991679672.0,ns,1
Linear Regression,Large/Smartcore,,,,1011374481.0,ns,1
Linear Regression,Large/Smartcore,,,,980471367.0,ns,1
Linear Regression,Large/Smartcore,,,,1010877481.0,ns,1
