group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Linfa,,,,998711.0,ns,89
Linear Regression,Linfa,,,,1997823.0,ns,178
Linear Regression,Linfa,,,,2999334.0,ns,267
Linear Regression,Linfa,,,,4001746.0,ns,356
Linear Regression,Linfa,,,,5001257.0,ns,445
Linear Regression,Linfa,,,,5990668.0,ns,534
Linear Regression,Linfa,,,,6987780.0,ns,623
Linear Regression,Linfa,,,,7985491.0,ns,712
Linear Regression,Linfa,,,,8985302.0,ns,801
Linear Regression,Linfa,,,,10008214.0,ns,890
Linear Regression,Linfa,,,,10995526.0,ns,979
Linear Regression,Linfa,,,,11981836.0,ns,1068
Linear Regression,Linfa,,,,12998548.0,ns,1157
Linear Regression,Linfa,,,,13983960.0,ns,1246
Linear Regression,Linfa,,,,14955370.0,ns,1335
Linear Regression,Linfa,,,,15955382.0,ns,1424
Linear Regression,Linfa,,,,16975594.0,ns,1513
Linear Regression,Linfa,,,,17981404.0,ns,1602
Linear Regression,Linfa,,,,18965017.0,ns,1691
Linear Regression,Linfa,,,,19956227.0,ns,1780
Linear Regression,Linfa,,,,20943239.0,ns,1869
Linear Regression,Linfa,,,,21928350.0,ns,1958
Linear Regression,Linfa,,,,23236565.0,ns,2047
Linear Regression,Linfa,,,,23977573.0,ns,2136
Linear Regression,Linfa,,,,24962884.0,ns,2225
Linear Regression,Linfa,,,,25942996.0,ns,2314
Linear Regression,Linfa,,,,26946407.0,ns,2403
Linear Regression,Linfa,,,,27893118.0,ns,2492
Linear Regression,Linfa,,,,28853929.0,ns,2581
Linear Regression,Linfa,,,,29850140.0,ns,2670
Linear Regression,Linfa,,,,30916852.0,ns,2759
Linear Regression,Linfa,,,,31873663.0,ns,2848
Linear Regression,Linfa,,,,32846474.0,ns,2937
Linear Regression,Linfa,,,,33856186.0,ns,3026
Linear Regression,Linfa,,,,34860497.0,ns,3115
Linear Regression,Linfa,,,,35874909.0,ns,3204
Linear Regression,Linfa,,,,36802120.0,ns,3293
Linear Regression,Linfa,,,,37809931.0,ns,3382
Linear Regression,Linfa,,,,38916343.0,ns,3471
Linear Regression,Linfa,,,,39842754.0,ns,3560
Linear Regression,Linfa,,,,40871766.0,ns,3649
Linear Regression,Linfa,,,,41856277.0,ns,3738
Linear Regression,Linfa,,,,42860989.0,ns,3827
Linear Regression,Linfa,,,,43834299.0,ns,3916
Linear Regression,Linfa,,,,44824411.0,ns,4005
Linear Regression,Linfa,,,,45818022.0,ns,4094
Linear Regression,Linfa,,,,46841434.0,ns,4183
Linear Regression,Linfa,,,,47813445.0,ns,4272
Linear Regression,Linfa,,,,48818656.0,ns,4361
Linear Regression,Linfa,,,,49861369.0,ns,4450
Linear Regression,Linfa,,,,50907680.0,ns,4539
Linear Regression,Linfa,,,,51935692.0,ns,4628
Linear Regression,Linfa,,,,52944403.0,ns,4717
Linear Regression,Linfa,,,,53958915.0,ns,4806
Linear Regression,Linfa,,,,54991927.0,ns,4895
Linear Regression,Linfa,,,,56102039.0,ns,4984
Linear Regression,Linfa,,,,56927949.0,ns,5073
Linear Regression,Linfa,,,,57931661.0,ns,5162
Linear Regression,Linfa,,,,58937071.0,ns,5251
Linear Regression,Linfa,,,,59873483.0,ns,5340
Linear Regression,Linfa,,,,60857493.0,ns,5429
Linear Regression,Linfa,,,,61898206.0,ns,5518
Linear Regression,Linfa,,,,62864216.0,ns,5607
Linear Regression,Linfa,,,,63962229.0,ns,5696
Linear Regression,Linfa,,,,64849939.0,ns,5785
Linear Regression,Linfa,,,,65854551.0,ns,5874
Linear Regression,Linfa,,,,66878462.0,ns,5963
Linear Regression,Linfa,,,,67906674.0,ns,6052
Linear Regression,Linfa,,,,68892685.0,ns,6141
Linear Regression,Linfa,,,,69977098.0,ns,6230
Linear Regression,Linfa,,,,70856907.0,ns,6319
Linear Regression,Linfa,,,,71782819.0,ns,6408
Linear Regression,Linfa,,,,72779629.0,ns,6497
Linear Regression,Linfa,,,,73742641.0,ns,6586
Linear Regression,Linfa,,,,74813052.0,ns,6675
Linear Regression,Linfa,,,,75793264.0,ns,6764
Linear Regression,Linfa,,,,76733875.0,ns,6853
Linear Regression,Linfa,,,,77765286.0,ns,6942
Linear Regression,Linfa,,,,78790998.0,ns,7031
Linear Regression,Linfa,,,,79809409.0,ns,7120
Linear Regression,Linfa,,,,80804521.0,ns,7209
Linear Regression,Linfa,,,,81792133.0,ns,7298
Linear Regression,Linfa,,,,82763243.0,ns,7387
Linear Regression,Linfa,,,,83708754.0,ns,7476
Linear Regression,Linfa,,,,84754666.0,ns,7565
Linear Regression,Linfa,,,,85714077.0,ns,7654
Linear Regression,Linfa,,,,86726288.0,ns,7743
Linear Regression,Linfa,,,,87916302.0,ns,7832
Linear Regression,Linfa,,,,88766712.0,ns,7921
Linear Regression,Linfa,,,,89724523.0,ns,8010
Linear Regression,Linfa,,,,90667533.0,ns,8099
Linear Regression,Linfa,,,,91665645.0,ns,8188
Linear Regression,Linfa,,,,92624855.0,ns,8277
Linear Regression,Linfa,,,,93631568.0,ns,8366
Linear Regression,Linfa,,,,94657378.0,ns,8455
Linear Regression,Linfa,,,,95657991.0,ns,8544
Linear Regression,Linfa,,,,96654201.0,ns,8633
Linear Regression,Linfa,,,,97798715.0,ns,8722
Linear Regression,Linfa,,,,98622324.0,ns,8811
Linear Regression,Linfa,,,,99617735.0,ns,8900
