group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Linfa,,,,1021913.0,ns,84
Linear Regression,Linfa,,,,1915823.0,ns,168
Linear Regression,Linfa,,,,2849435.0,ns,252
Linear Regression,Linfa,,,,3949248.0,ns,336
Linear Regression,Linfa,,,,4982060.0,ns,420
Linear Regression,Linfa,,,,6093375.0,ns,504
Linear Regression,Linfa,,,,7295088.0,ns,588
Linear Regression,Linfa,,,,8035798.0,ns,672
Linear Regression,Linfa,,,,9054410.0,ns,756
Linear Regression,Linfa,,,,9896220.0,ns,840
Linear Regression,Linfa,,,,11145336.0,ns,924
Linear Regression,Linfa,,,,11761543.0,ns,1008
Linear Regression,Linfa,,,,13078359.0,ns,1092
Linear Regression,Linfa,,,,14554977.0,ns,1176
Linear Regression,Linfa,,,,15323086.0,ns,1260
Linear Regression,Linfa,,,,15886493.0,ns,1344
Linear Regression,Linfa,,,,17385612.0,ns,1428
Linear Regression,Linfa,,,,17708415.0,ns,1512
Linear Regression,Linfa,,,,18541026.0,ns,1596
Linear Regression,Linfa,,,,20159945.0,ns,1680
Linear Regression,Linfa,,,,21423860.0,ns,1764
Linear Regression,Linfa,,,,22360372.0,ns,1848
Linear Regression,Linfa,,,,23515986.0,ns,1932
Linear Regression,Linfa,,,,23695288.0,ns,2016
Linear Regression,Linfa,,,,24882103.0,ns,2100
Linear Regression,Linfa,,,,26006816.0,ns,2184
Linear Regression,Linfa,,,,27341933.0,ns,2268
Linear Regression,Linfa,,,,28684148.0,ns,2352
Linear Regression,Linfa,,,,30384670.0,ns,2436
Linear Regression,Linfa,,,,31234480.0,ns,2520
Linear Regression,Linfa,,,,31783286.0,ns,2604
Linear Regression,Linfa,,,,32660697.0,ns,2688
Linear Regression,Linfa,,,,33812612.0,ns,2772
Linear Regression,Linfa,,,,35374630.0,ns,2856
Linear Regression,Linfa,,,,36702246.0,ns,2940
Linear Regression,Linfa,,,,37739459.0,ns,3024
Linear Regression,Linfa,,,,37710158.0,ns,3108
Linear Regression,Linfa,,,,38142064.0,ns,3192
Linear Regression,Linfa,,,,39034275.0,ns,3276
Linear Regression,Linfa,,,,41434404.0,ns,3360
Linear Regression,Linfa,,,,43252726.0,ns,3444
Linear Regression,Linfa,,,,42286514.0,ns,3528
Linear Regression,Linfa,,,,43321827.0,ns,3612
Linear Regression,Linfa,,,,44754044.0,ns,3696
Linear Regression,Linfa,,,,45886958.0,ns,3780
Linear Regression,Linfa,,,,46847670.0,ns,3864
Linear Regression,Linfa,,,,47636779.0,ns,3948
Linear Regression,Linfa,,,,47066172.0,ns,4032
Linear Regression,Linfa,,,,48555991.0,ns,4116
Linear Regression,Linfa,,,,50774717.0,ns,4200
Linear Regression,Linfa,,,,52149634.0,ns,4284
Linear Regression,Linfa,,,,51062321.0,ns,4368
Linear Regression,Linfa,,,,52140434.0,ns,4452
Linear Regression,Linfa,,,,53233748.0,ns,4536
Linear Regression,Linfa,,,,53951256.0,ns,4620
Linear Regression,Linfa,,,,55031769.0,ns,4704
Linear Regression,Linfa,,,,55623476.0,ns,4788
Linear Regression,Linfa,,,,56712390.0,ns,4872
Linear Regression,Linfa,,,,58075206.0,ns,4956
Linear Regression,Linfa,,,,59135219.0,ns,5040
Linear Regression,Linfa,,,,60236833.0,ns,5124
Linear Regression,Linfa,,,,60604536.0,ns,5208
Linear Regression,Linfa,,,,62773564.0,ns,5292
Linear Regression,Linfa,,,,62918665.0,ns,5376
Linear Regression,Linfa,,,,64303982.0,ns,5460
Linear Regression,Linfa,,,,64401883.0,ns,5544
Linear Regression,Linfa,,,,65590298.0,ns,5628
Linear Regression,Linfa,,,,65945001.0,ns,5712
Linear Regression,Linfa,,,,67994427.0,ns,5796
Linear Regression,Linfa,,,,67992827.0,ns,5880
Linear Regression,Linfa,,,,70313655.0,ns,5964
Linear Regression,Linfa,,,,72167378.0,ns,6048
Linear Regression,Linfa,,,,71007164.0,ns,6132
Linear Regression,Linfa,,,,72526685.0,ns,6216
Linear Regression,Linfa,,,,73681398.0,ns,6300
Linear Regression,Linfa,,,,75813724.0,ns,6384
Linear Regression,Linfa,,,,77094740.0,ns,6468
Linear Regression,Linfa,,,,77548745.0,ns,6552
Linear Regression,Linfa,,,,78082952.0,ns,6636
Linear Regression,Linfa,,,,78899062.0,ns,6720
Linear Regression,Linfa,,,,79685371.0,ns,6804
Linear Regression,Linfa,,,,81287791.0,ns,6888
Linear Regression,Linfa,,,,82573007.0,ns,6972
Linear Regression,Linfa,,,,83917523.0,ns,7056
Linear Regression,Linfa,,,,83247615.0,ns,7140
Linear Regression,Linfa,,,,84387028.0,ns,7224
Linear Regression,Linfa,,,,85213739.0,ns,7308
Linear Regression,Linfa,,,,86330353.0,ns,7392
Linear Regression,Linfa,,,,87755969.0,ns,7476
Linear Regression,Linfa,,,,88259876.0,ns,7560
Linear Regression,Linfa,,,,90925009.0,ns,7644
Linear Regression,Linfa,,,,89731893.0,ns,7728
Linear Regression,Linfa,,,,90500704.0,ns,7812
Linear Regression,Linfa,,,,92099322.0,ns,7896
Linear Regression,Linfa,,,,93542441.0,ns,7980
Linear Regression,Linfa,,,,92710730.0,ns,8064
Linear Regression,Linfa,,,,94574153.0,ns,8148
Linear Regression,Linfa,,,,94348950.0,ns,8232
Linear Regression,Linfa,,,,97099184.0,ns,8316
Linear Regression,Linfa,,,,96561677.0,ns,8400
