group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Medium/Linfa,,,,1615108.0,ns,1
Linear Regression,Medium/Linfa,,,,3073904.0,ns,2
Linear Regression,Medium/Linfa,,,,4780618.0,ns,3
Linear Regression,Medium/Linfa,,,,6327321.0,ns,4
Linear Regression,Medium/Linfa,,,,7675711.0,ns,5
Linear Regression,Medium/Linfa,,,,9050402.0,ns,6
Linear Regression,Medium/Linfa,,,,10954629.0,ns,7
Linear Regression,Medium/Linfa,,,,12892358.0,ns,8
Linear Regression,Medium/Linfa,,,,14389458.0,ns,9
Linear Regression,Medium/Linfa,,,,15106706.0,ns,10
Linear Regression,Medium/Linfa,,,,17576070.0,ns,11
Linear Regression,Medium/Linfa,,,,18579136.0,ns,12
Linear Regression,Medium/Linfa,,,,20688877.0,ns,13
Linear Regression,Medium/Linfa,,,,21809952.0,ns,14
Linear Regression,Medium/Linfa,,,,23470562.0,ns,15
Linear Regression,Medium/Linfa,,,,25954028.0,ns,16
Linear Regression,Medium/Linfa,,,,28011264.0,ns,17
Linear Regression,Medium/Linfa,,,,29007831.0,ns,18
Linear Regression,Medium/Linfa,,,,30269215.0,ns,19
Linear Regression,Medium/Linfa,,,,30820052.0,ns,20
Linear Regression,Medium/Linfa,,,,31905124.0,ns,21
Linear Regression,Medium/Linfa,,,,34010764.0,ns,22
Linear Regression,Medium/Linfa,,,,34646506.0,ns,23
Linear Regression,Medium/Linfa,,,,36911857.0,ns,24
Linear Regression,Medium/Linfa,,,,39252313.0,ns,25
Linear Regression,Medium/Linfa,,,,39356920.0,ns,26
Linear Regression,Medium/Linfa,,,,40498196.0,ns,27
Linear Regression,Medium/Linfa,,,,42248812.0,ns,28
Linear Regression,Medium/Linfa,,,,42964460.0,ns,29
Linear Regression,Medium/Linfa,,,,45143505.0,ns,30
Linear Regression,Medium/Linfa,,,,47188541.0,ns,31
Linear Regression,Medium/Linfa,,,,48276914.0,ns,32
Linear Regression,Medium/Linfa,,,,49026163.0,ns,33
