group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Medium/Linfa,,,,2059715.0,ns,1
Linear Regression,Medium/Linfa,,,,2850120.0,ns,2
Linear Regression,Medium/Linfa,,,,4524533.0,ns,3
Linear Regression,Medium/Linfa,,,,5894642.0,ns,4
Linear Regression,Medium/Linfa,,,,7323053.0,ns,5
Linear Regression,Medium/Linfa,,,,9245266.0,ns,6
Linear Regression,Medium/Linfa,,,,10394174.0,ns,7
Linear Regression,Medium/Linfa,,,,12095987.0,ns,8
Linear Regression,Medium/Linfa,,,,13391596.0,ns,9
Linear Regression,Medium/Linfa,,,,14752405.0,ns,10
Linear Regression,Medium/Linfa,,,,16174216.0,ns,11
Linear Regression,Medium/Linfa,,,,17641426.0,ns,12
Linear Regression,Medium/Linfa,,,,19148637.0,ns,13
Linear Regression,Medium/Linfa,,,,20417546.0,ns,14
Linear Regression,Medium/Linfa,,,,21981357.0,ns,15
Linear Regression,Medium/Linfa,,,,23831471.0,ns,16
Linear Regression,Medium/Linfa,,,,25289780.0,ns,17
Linear Regression,Medium/Linfa,,,,26891992.0,ns,18
Linear Regression,Medium/Linfa,,,,27511697.0,ns,19
Linear Regression,Medium/Linfa,,,,30614519.0,ns,20
Linear Regression,Medium/Linfa,,,,32176530.0,ns,21
Linear Regression,Medium/Linfa,,,,32374131.0,ns,22
Linear Regression,Medium/Linfa,,,,33852442.0,ns,23
Linear Regression,Medium/Linfa,,,,35428653.0,ns,24
Linear Regression,Medium/Linfa,,,,36822463.0,ns,25
Linear Regression,Medium/Linfa,,,,39383382.0,ns,26
Linear Regression,Medium/Linfa,,,,40698791.0,ns,27
Linear Regression,Medium/Linfa,,,,41556397.0,ns,28
Linear Regression,Medium/Linfa,,,,47487240.0,ns,29
Linear Regression,Medium/Linfa,,,,43240109.0,ns,30
Linear Regression,Medium/Linfa,,,,45442325.0,ns,31
Linear Regression,Medium/Linfa,,,,47365838.0,ns,32
Linear Regression,Medium/Linfa,,,,48086943.0,ns,33
Linear Regression,Medium/Linfa,,,,50627362.0,ns,34
Linear Regression,Medium/Linfa,,,,51409267.0,ns,35
Linear Regression,Medium/Linfa,,,,53694583.0,ns,36
Linear Regression,Medium/Linfa,,,,53668484.0,ns,37
Linear Regression,Medium/Linfa,,,,55599997.0,ns,38
Linear Regression,Medium/Linfa,,,,58299516.0,ns,39
Linear Regression,Medium/Linfa,,,,57758213.0,ns,40
Linear Regression,Medium/Linfa,,,,61378439.0,ns,41
Linear Regression,Medium/Linfa,,,,61590640.0,ns,42
Linear Regression,Medium/Linfa,,,,64081758.0,ns,43
Linear Regression,Medium/Linfa,,,,65691969.0,ns,44
Linear Regression,Medium/Linfa,,,,69081593.0,ns,45
Linear Regression,Medium/Linfa,,,,68205187.0,ns,46
Linear Regression,Medium/Linfa,,,,70501703.0,ns,47
Linear Regression,Medium/Linfa,,,,72013314.0,ns,48
Linear Regression,Medium/Linfa,,,,75575640.0,ns,49
Linear Regression,Medium/Linfa,,,,71734113.0,ns,50
Linear Regression,Medium/Linfa,,,,75258138.0,ns,51
Linear Regression,Medium/Linfa,,,,75597140.0,ns,52
Linear Regression,Medium/Linfa,,,,76776949.0,ns,53
Linear Regression,Medium/Linfa,,,,79689869.0,ns,54
Linear Regression,Medium/Linfa,,,,81550782.0,ns,55
Linear Regression,Medium/Linfa,,,,81738383.0,ns,56
Linear Regression,Medium/Linfa,,,,86320016.0,ns,57
Linear Regression,Medium/Linfa,,,,85758812.0,ns,58
Linear Regression,Medium/Linfa,,,,86283916.0,ns,59
Linear Regression,Medium/Linfa,,,,88326230.0,ns,60
Linear Regression,Medium/Linfa,,,,92808463.0,ns,61
Linear Regression,Medium/Linfa,,,,91849456.0,ns,62
Linear Regression,Medium/Linfa,,,,93568569.0,ns,63
Linear Regression,Medium/Linfa,,,,94439575.0,ns,64
Linear Regression,Medium/Linfa,,,,94679476.0,ns,65
Linear Regression,Medium/Linfa,,,,96944092.0,ns,66
Linear Regression,Medium/Linfa,,,,97534197.0,ns,67
Linear Regression,Medium/Linfa,,,,99696413.0,ns,68
Linear Regression,Medium/Linfa,,,,102634633.0,ns,69
Linear Regression,Medium/Linfa,,,,104528347.0,ns,70
Linear Regression,Medium/Linfa,,,,105854956.0,ns,71
Linear Regression,Medium/Linfa,,,,105154451.0,ns,72
Linear Regression,Medium/Linfa,,,,107452967.0,ns,73
Linear Regression,Medium/Linfa,,,,107803370.0,ns,74
Linear Regression,Medium/Linfa,,,,111200394.0,ns,75
Linear Regression,Medium/Linfa,,,,112512503.0,ns,76
