group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Medium/Smart,,,,59529739.0,ns,2
Linear Regression,Medium/Smart,,,,59671241.0,ns,2
Linear Regression,Medium/Smart,,,,60272646.0,ns,2
Linear Regression,Medium/Smart,,,,60049144.0,ns,2
Linear Regression,Medium/Smart,,,,59972143.0,ns,2
Linear Regression,Medium/Smart,,,,59470439.0,ns,2
Linear Regression,Medium/Smart,,,,59187338.0,ns,2
Linear Regression,Medium/Smart,,,,59927742.0,ns,2
Linear Regression,Medium/Smart,,,,59350438.0,ns,2
Linear Regression,Medium/Smart,,,,60578448.0,ns,2
Linear Regression,Medium/Smart,,,,59852242.0,ns,2
Linear Regression,Medium/Smart,,,,59672241.0,ns,2
Linear Regression,Medium/Smart,,,,58950936.0,ns,2
Linear Regression,Medium/Smart,,,,60818849.0,ns,2
Linear Regression,Medium/Smart,,,,59731741.0,ns,2
Linear Regression,Medium/Smart,,,,59740342.0,ns,2
Linear Regression,Medium/Smart,,,,59624240.0,ns,2
Linear Regression,Medium/Smart,,,,59681541.0,ns,2
Linear Regression,Medium/Smart,,,,59288738.0,ns,2
Linear Regression,Medium/Smart,,,,60786649.0,ns,2
Linear Regression,Medium/Smart,,,,58700634.0,ns,2
Linear Regression,Medium/Smart,,,,59475540.0,ns,2
Linear Regression,Medium/Smart,,,,60127744.0,ns,2
Linear Regression,Medium/Smart,,,,59440739.0,ns,2
Linear Regression,Medium/Smart,,,,59966543.0,ns,2
Linear Regression,Medium/Smart,,,,60121444.0,ns,2
Linear Regression,Medium/Smart,,,,59448040.0,ns,2
Linear Regression,Medium/Smart,,,,59742641.0,ns,2
Linear Regression,Medium/Smart,,,,59333138.0,ns,2
Linear Regression,Medium/Smart,,,,60503147.0,ns,2
Linear Regression,Medium/Smart,,,,59740241.0,ns,2
Linear Regression,Medium/Smart,,,,58353031.0,ns,2
Linear Regression,Medium/Smart,,,,59283038.0,ns,2
Linear Regression,Medium/Smart,,,,59671441.0,ns,2
Linear Regression,Medium/Smart,,,,59465240.0,ns,2
Linear Regression,Medium/Smart,,,,59912142.0,ns,2
Linear Regression,Medium/Smart,,,,59146337.0,ns,2
Linear Regression,Medium/Smart,,,,59758442.0,ns,2
Linear Regression,Medium/Smart,,,,60237645.0,ns,2
Linear Regression,Medium/Smart,,,,59362839.0,ns,2
Linear Regression,Medium/Smart,,,,60214645.0,ns,2
Linear Regression,Medium/Smart,,,,58906335.0,ns,2
Linear Regression,Medium/Smart,,,,59773342.0,ns,2
Linear Regression,Medium/Smart,,,,59536740.0,ns,2
Linear Regression,Medium/Smart,,,,61373753.0,ns,2
Linear Regression,Medium/Smart,,,,60622748.0,ns,2
Linear Regression,Medium/Smart,,,,60101544.0,ns,2
Linear Regression,Medium/Smart,,,,60100045.0,ns,2
Linear Regression,Medium/Smart,,,,59955967.0,ns,2
Linear Regression,Medium/Smart,,,,59682820.0,ns,2
Linear Regression,Medium/Smart,,,,59503019.0,ns,2
Linear Regression,Medium/Smart,,,,59995923.0,ns,2
Linear Regression,Medium/Smart,,,,59061713.0,ns,2
Linear Regression,Medium/Smart,,,,59031913.0,ns,2
Linear Regression,Medium/Smart,,,,59746121.0,ns,2
Linear Regression,Medium/Smart,,,,59972523.0,ns,2
Linear Regression,Medium/Smart,,,,59993123.0,ns,2
Linear Regression,Medium/Smart,,,,58596309.0,ns,2
Linear Regression,Medium/Smart,,,,59188815.0,ns,2
Linear Regression,Medium/Smart,,,,60414528.0,ns,2
Linear Regression,Medium/Smart,,,,59632419.0,ns,2
Linear Regression,Medium/Smart,,,,59188415.0,ns,2
Linear Regression,Medium/Smart,,,,59913123.0,ns,2
Linear Regression,Medium/Smart,,,,59393117.0,ns,2
Linear Regression,Medium/Smart,,,,60210325.0,ns,2
Linear Regression,Medium/Smart,,,,59514118.0,ns,2
Linear Regression,Medium/Smart,,,,59747821.0,ns,2
Linear Regression,Medium/Smart,,,,59010113.0,ns,2
Linear Regression,Medium/Smart,,,,59390817.0,ns,2
Linear Regression,Medium/Smart,,,,58593508.0,ns,2
Linear Regression,Medium/Smart,,,,59251216.0,ns,2
Linear Regression,Medium/Smart,,,,60157425.0,ns,2
Linear Regression,Medium/Smart,,,,59236615.0,ns,2
Linear Regression,Medium/Smart,,,,59667720.0,ns,2
Linear Regression,Medium/Smart,,,,58316606.0,ns,2
Linear Regression,Medium/Smart,,,,59826322.0,ns,2
Linear Regression,Medium/Smart,,,,60044124.0,ns,2
Linear Regression,Medium/Smart,,,,60175825.0,ns,2
Linear Regression,Medium/Smart,,,,60045723.0,ns,2
Linear Regression,Medium/Smart,,,,59687420.0,ns,2
Linear Regression,Medium/Smart,,,,58864211.0,ns,2
