group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Medium/Smart,,,,65263727.0,ns,2
Linear Regression,Medium/Smart,,,,65623832.0,ns,2
Linear Regression,Medium/Smart,,,,66916552.0,ns,2
Linear Regression,Medium/Smart,,,,65788135.0,ns,2
Linear Regression,Medium/Smart,,,,66124440.0,ns,2
Linear Regression,Medium/Smart,,,,65886537.0,ns,2
Linear Regression,Medium/Smart,,,,67119256.0,ns,2
Linear Regression,Medium/Smart,,,,66776451.0,ns,2
Linear Regression,Medium/Smart,,,,66699049.0,ns,2
Linear Regression,Medium/Smart,,,,66595847.0,ns,2
Linear Regression,Medium/Smart,,,,66942453.0,ns,2
Linear Regression,Medium/Smart,,,,66561147.0,ns,2
Linear Regression,Medium/Smart,,,,66240242.0,ns,2
Linear Regression,Medium/Smart,,,,67161557.0,ns,2
Linear Regression,Medium/Smart,,,,65654633.0,ns,2
Linear Regression,Medium/Smart,,,,66196441.0,ns,2
Linear Regression,Medium/Smart,,,,67005454.0,ns,2
Linear Regression,Medium/Smart,,,,65875036.0,ns,2
Linear Regression,Medium/Smart,,,,66789451.0,ns,2
Linear Regression,Medium/Smart,,,,65914837.0,ns,2
Linear Regression,Medium/Smart,,,,65619633.0,ns,2
Linear Regression,Medium/Smart,,,,66791151.0,ns,2
Linear Regression,Medium/Smart,,,,65854936.0,ns,2
Linear Regression,Medium/Smart,,,,67417960.0,ns,2
Linear Regression,Medium/Smart,,,,66257642.0,ns,2
Linear Regression,Medium/Smart,,,,65486230.0,ns,2
Linear Regression,Medium/Smart,,,,66747450.0,ns,2
Linear Regression,Medium/Smart,,,,66683149.0,ns,2
Linear Regression,Medium/Smart,,,,66525447.0,ns,2
Linear Regression,Medium/Smart,,,,65880436.0,ns,2
Linear Regression,Medium/Smart,,,,66357543.0,ns,2
Linear Regression,Medium/Smart,,,,65744234.0,ns,2
Linear Regression,Medium/Smart,,,,67873967.0,ns,2
Linear Regression,Medium/Smart,,,,66830951.0,ns,2
Linear Regression,Medium/Smart,,,,66362844.0,ns,2
Linear Regression,Medium/Smart,,,,66665649.0,ns,2
Linear Regression,Medium/Smart,,,,66604148.0,ns,2
Linear Regression,Medium/Smart,,,,66336943.0,ns,2
Linear Regression,Medium/Smart,,,,67119655.0,ns,2
Linear Regression,Medium/Smart,,,,65865636.0,ns,2
Linear Regression,Medium/Smart,,,,67370960.0,ns,2
Linear Regression,Medium/Smart,,,,66989753.0,ns,2
Linear Regression,Medium/Smart,,,,66352726.0,ns,2
Linear Regression,Medium/Smart,,,,67257132.0,ns,2
Linear Regression,Medium/Smart,,,,67504236.0,ns,2
Linear Regression,Medium/Smart,,,,65951114.0,ns,2
Linear Regression,Medium/Smart,,,,66944928.0,ns,2
Linear Regression,Medium/Smart,,,,66648924.0,ns,2
Linear Regression,Medium/Smart,,,,66535322.0,ns,2
Linear Regression,Medium/Smart,,,,66817127.0,ns,2
Linear Regression,Medium/Smart,,,,66672324.0,ns,2
Linear Regression,Medium/Smart,,,,67342834.0,ns,2
Linear Regression,Medium/Smart,,,,65633410.0,ns,2
Linear Regression,Medium/Smart,,,,67242333.0,ns,2
Linear Regression,Medium/Smart,,,,66932328.0,ns,2
Linear Regression,Medium/Smart,,,,65754011.0,ns,2
Linear Regression,Medium/Smart,,,,66249919.0,ns,2
Linear Regression,Medium/Smart,,,,67427335.0,ns,2
Linear Regression,Medium/Smart,,,,65971615.0,ns,2
Linear Regression,Medium/Smart,,,,67172131.0,ns,2
Linear Regression,Medium/Smart,,,,66340019.0,ns,2
Linear Regression,Medium/Smart,,,,67004030.0,ns,2
Linear Regression,Medium/Smart,,,,66211818.0,ns,2
Linear Regression,Medium/Smart,,,,66241918.0,ns,2
Linear Regression,Medium/Smart,,,,66748226.0,ns,2
Linear Regression,Medium/Smart,,,,67389035.0,ns,2
Linear Regression,Medium/Smart,,,,66032215.0,ns,2
Linear Regression,Medium/Smart,,,,66510123.0,ns,2
Linear Regression,Medium/Smart,,,,66902927.0,ns,2
Linear Regression,Medium/Smart,,,,66907928.0,ns,2
Linear Regression,Medium/Smart,,,,66222618.0,ns,2
Linear Regression,Medium/Smart,,,,66291519.0,ns,2
Linear Regression,Medium/Smart,,,,66714825.0,ns,2
Linear Regression,Medium/Smart,,,,66257318.0,ns,2
Linear Regression,Medium/Smart,,,,66457621.0,ns,2
Linear Regression,Medium/Smart,,,,66577623.0,ns,2
Linear Regression,Medium/Smart,,,,66543323.0,ns,2
Linear Regression,Medium/Smart,,,,65316006.0,ns,2
Linear Regression,Medium/Smart,,,,67525737.0,ns,2
Linear Regression,Medium/Smart,,,,65355906.0,ns,2
Linear Regression,Medium/Smart,,,,66727825.0,ns,2
Linear Regression,Medium/Smart,,,,67655338.0,ns,2
Linear Regression,Medium/Smart,,,,66195318.0,ns,2
Linear Regression,Medium/Smart,,,,67493125.0,ns,2
Linear Regression,Medium/Smart,,,,66154726.0,ns,2
Linear Regression,Medium/Smart,,,,66249926.0,ns,2
Linear Regression,Medium/Smart,,,,66938733.0,ns,2
Linear Regression,Medium/Smart,,,,66716631.0,ns,2
Linear Regression,Medium/Smart,,,,65988924.0,ns,2
Linear Regression,Medium/Smart,,,,66144625.0,ns,2
Linear Regression,Medium/Smart,,,,66597830.0,ns,2
Linear Regression,Medium/Smart,,,,66169526.0,ns,2
Linear Regression,Medium/Smart,,,,65995324.0,ns,2
Linear Regression,Medium/Smart,,,,66504829.0,ns,2
Linear Regression,Medium/Smart,,,,67387737.0,ns,2
Linear Regression,Medium/Smart,,,,66937732.0,ns,2
Linear Regression,Medium/Smart,,,,65931723.0,ns,2
Linear Regression,Medium/Smart,,,,65974424.0,ns,2
Linear Regression,Medium/Smart,,,,66249026.0,ns,2
Linear Regression,Medium/Smart,,,,67192335.0,ns,2
