group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Medium/Smartcore,,,,53199917.0,ns,2
Linear Regression,Medium/Smartcore,,,,56204918.0,ns,2
Linear Regression,Medium/Smartcore,,,,56721918.0,ns,2
Linear Regression,Medium/Smartcore,,,,53667217.0,ns,2
Linear Regression,Medium/Smartcore,,,,55770118.0,ns,2
Linear Regression,Medium/Smartcore,,,,52148016.0,ns,2
Linear Regression,Medium/Smartcore,,,,50120216.0,ns,2
Linear Regression,Medium/Smartcore,,,,56782818.0,ns,2
Linear Regression,Medium/Smartcore,,,,54194417.0,ns,2
Linear Regression,Medium/Smartcore,,,,52450816.0,ns,2
Linear Regression,Medium/Smartcore,,,,51930717.0,ns,2
Linear Regression,Medium/Smartcore,,,,51171816.0,ns,2
Linear Regression,Medium/Smartcore,,,,50820116.0,ns,2
Linear Regression,Medium/Smartcore,,,,50684816.0,ns,2
Linear Regression,Medium/Smartcore,,,,53416217.0,ns,2
Linear Regression,Medium/Smartcore,,,,51098917.0,ns,2
Linear Regression,Medium/Smartcore,,,,50121816.0,ns,2
Linear Regression,Medium/Smartcore,,,,52173217.0,ns,2
Linear Regression,Medium/Smartcore,,,,52637616.0,ns,2
Linear Regression,Medium/Smartcore,,,,60058419.0,ns,2
Linear Regression,Medium/Smartcore,,,,57582818.0,ns,2
Linear Regression,Medium/Smartcore,,,,49560015.0,ns,2
Linear Regression,Medium/Smartcore,,,,50648717.0,ns,2
Linear Regression,Medium/Smartcore,,,,50376916.0,ns,2
Linear Regression,Medium/Smartcore,,,,50767916.0,ns,2
Linear Regression,Medium/Smartcore,,,,51488617.0,ns,2
Linear Regression,Medium/Smartcore,,,,53784717.0,ns,2
Linear Regression,Medium/Smartcore,,,,56092218.0,ns,2
Linear Regression,Medium/Smartcore,,,,52056617.0,ns,2
Linear Regression,Medium/Smartcore,,,,53232717.0,ns,2
Linear Regression,Medium/Smartcore,,,,52793917.0,ns,2
Linear Regression,Medium/Smartcore,,,,52069017.0,ns,2
Linear Regression,Medium/Smartcore,,,,51222216.0,ns,2
Linear Regression,Medium/Smartcore,,,,50704416.0,ns,2
Linear Regression,Medium/Smartcore,,,,49995516.0,ns,2
Linear Regression,Medium/Smartcore,,,,51264716.0,ns,2
Linear Regression,Medium/Smartcore,,,,52714417.0,ns,2
Linear Regression,Medium/Smartcore,,,,53106517.0,ns,2
Linear Regression,Medium/Smartcore,,,,54064818.0,ns,2
Linear Regression,Medium/Smartcore,,,,54907217.0,ns,2
Linear Regression,Medium/Smartcore,,,,51370116.0,ns,2
Linear Regression,Medium/Smartcore,,,,54711117.0,ns,2
Linear Regression,Medium/Smartcore,,,,59412819.0,ns,2
Linear Regression,Medium/Smartcore,,,,56733218.0,ns,2
Linear Regression,Medium/Smartcore,,,,53903717.0,ns,2
Linear Regression,Medium/Smartcore,,,,52113217.0,ns,2
Linear Regression,Medium/Smartcore,,,,51119616.0,ns,2
Linear Regression,Medium/Smartcore,,,,51441416.0,ns,2
Linear Regression,Medium/Smartcore,,,,54747018.0,ns,2
Linear Regression,Medium/Smartcore,,,,54805917.0,ns,2
Linear Regression,Medium/Smartcore,,,,50798316.0,ns,2
Linear Regression,Medium/Smartcore,,,,53761517.0,ns,2
Linear Regression,Medium/Smartcore,,,,49493416.0,ns,2
Linear Regression,Medium/Smartcore,,,,55066018.0,ns,2
Linear Regression,Medium/Smartcore,,,,51740016.0,ns,2
Linear Regression,Medium/Smartcore,,,,53092916.0,ns,2
Linear Regression,Medium/Smartcore,,,,54119117.0,ns,2
Linear Regression,Medium/Smartcore,,,,51316316.0,ns,2
Linear Regression,Medium/Smartcore,,,,57229618.0,ns,2
Linear Regression,Medium/Smartcore,,,,57589618.0,ns,2
Linear Regression,Medium/Smartcore,,,,57395418.0,ns,2
Linear Regression,Medium/Smartcore,,,,54795218.0,ns,2
Linear Regression,Medium/Smartcore,,,,52737417.0,ns,2
Linear Regression,Medium/Smartcore,,,,52349916.0,ns,2
Linear Regression,Medium/Smartcore,,,,55747117.0,ns,2
Linear Regression,Medium/Smartcore,,,,53862417.0,ns,2
Linear Regression,Medium/Smartcore,,,,52673917.0,ns,2
Linear Regression,Medium/Smartcore,,,,55512318.0,ns,2
Linear Regression,Medium/Smartcore,,,,61982520.0,ns,2
Linear Regression,Medium/Smartcore,,,,59106618.0,ns,2
Linear Regression,Medium/Smartcore,,,,66045421.0,ns,2
Linear Regression,Medium/Smartcore,,,,56179018.0,ns,2
Linear Regression,Medium/Smartcore,,,,56384218.0,ns,2
Linear Regression,Medium/Smartcore,,,,58186519.0,ns,2
Linear Regression,Medium/Smartcore,,,,57249918.0,ns,2
Linear Regression,Medium/Smartcore,,,,64793420.0,ns,2
Linear Regression,Medium/Smartcore,,,,60978720.0,ns,2
Linear Regression,Medium/Smartcore,,,,60704819.0,ns,2
Linear Regression,Medium/Smartcore,,,,55839817.0,ns,2
Linear Regression,Medium/Smartcore,,,,57277818.0,ns,2
Linear Regression,Medium/Smartcore,,,,52536517.0,ns,2
Linear Regression,Medium/Smartcore,,,,51654616.0,ns,2
Linear Regression,Medium/Smartcore,,,,54701617.0,ns,2
Linear Regression,Medium/Smartcore,,,,50604016.0,ns,2
Linear Regression,Medium/Smartcore,,,,49499516.0,ns,2
Linear Regression,Medium/Smartcore,,,,52827717.0,ns,2
Linear Regression,Medium/Smartcore,,,,53693717.0,ns,2
Linear Regression,Medium/Smartcore,,,,50905016.0,ns,2
Linear Regression,Medium/Smartcore,,,,49410716.0,ns,2
Linear Regression,Medium/Smartcore,,,,52280217.0,ns,2
Linear Regression,Medium/Smartcore,,,,52874517.0,ns,2
Linear Regression,Medium/Smartcore,,,,51452416.0,ns,2
Linear Regression,Medium/Smartcore,,,,57039019.0,ns,2
Linear Regression,Medium/Smartcore,,,,53945517.0,ns,2
Linear Regression,Medium/Smartcore,,,,52597017.0,ns,2
Linear Regression,Medium/Smartcore,,,,55157518.0,ns,2
Linear Regression,Medium/Smartcore,,,,52608917.0,ns,2
Linear Regression,Medium/Smartcore,,,,55391317.0,ns,2
Linear Regression,Medium/Smartcore,,,,52642616.0,ns,2
Linear Regression,Medium/Smartcore,,,,55798617.0,ns,2
