group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Small/Linfa,,,,958713.0,ns,22
Linear Regression,Small/Linfa,,,,1930526.0,ns,44
Linear Regression,Small/Linfa,,,,3172943.0,ns,66
Linear Regression,Small/Linfa,,,,3758250.0,ns,88
Linear Regression,Small/Linfa,,,,5379572.0,ns,110
Linear Regression,Small/Linfa,,,,5900979.0,ns,132
Linear Regression,Small/Linfa,,,,6939392.0,ns,154
Linear Regression,Small/Linfa,,,,8593915.0,ns,176
Linear Regression,Small/Linfa,,,,8547214.0,ns,198
Linear Regression,Small/Linfa,,,,10318338.0,ns,220
Linear Regression,Small/Linfa,,,,11232550.0,ns,242
Linear Regression,Small/Linfa,,,,11602255.0,ns,264
Linear Regression,Small/Linfa,,,,13152175.0,ns,286
Linear Regression,Small/Linfa,,,,13925586.0,ns,308
Linear Regression,Small/Linfa,,,,17257930.0,ns,330
Linear Regression,Small/Linfa,,,,16322818.0,ns,352
Linear Regression,Small/Linfa,,,,17284831.0,ns,374
Linear Regression,Small/Linfa,,,,19629862.0,ns,396
Linear Regression,Small/Linfa,,,,19677962.0,ns,418
Linear Regression,Small/Linfa,,,,20929579.0,ns,440
Linear Regression,Small/Linfa,,,,20962179.0,ns,462
Linear Regression,Small/Linfa,,,,21531787.0,ns,484
Linear Regression,Small/Linfa,,,,24569128.0,ns,506
Linear Regression,Small/Linfa,,,,23177109.0,ns,528
Linear Regression,Small/Linfa,,,,24479227.0,ns,550
Linear Regression,Small/Linfa,,,,26946159.0,ns,572
Linear Regression,Small/Linfa,,,,25710643.0,ns,594
Linear Regression,Small/Linfa,,,,28338978.0,ns,616
Linear Regression,Small/Linfa,,,,29304291.0,ns,638
Linear Regression,Small/Linfa,,,,27484067.0,ns,660
Linear Regression,Small/Linfa,,,,29081887.0,ns,682
Linear Regression,Small/Linfa,,,,29078587.0,ns,704
Linear Regression,Small/Linfa,,,,32812438.0,ns,726
Linear Regression,Small/Linfa,,,,33569548.0,ns,748
Linear Regression,Small/Linfa,,,,33456046.0,ns,770
Linear Regression,Small/Linfa,,,,36027780.0,ns,792
Linear Regression,Small/Linfa,,,,37917405.0,ns,814
Linear Regression,Small/Linfa,,,,38953220.0,ns,836
Linear Regression,Small/Linfa,,,,38759117.0,ns,858
Linear Regression,Small/Linfa,,,,40078834.0,ns,880
Linear Regression,Small/Linfa,,,,44868098.0,ns,902
Linear Regression,Small/Linfa,,,,41932059.0,ns,924
Linear Regression,Small/Linfa,,,,44255590.0,ns,946
Linear Regression,Small/Linfa,,,,43544581.0,ns,968
Linear Regression,Small/Linfa,,,,44749396.0,ns,990
Linear Regression,Small/Linfa,,,,45359005.0,ns,1012
Linear Regression,Small/Linfa,,,,49296258.0,ns,1034
Linear Regression,Small/Linfa,,,,49920365.0,ns,1056
Linear Regression,Small/Linfa,,,,53049007.0,ns,1078
Linear Regression,Small/Linfa,,,,47340031.0,ns,1100
Linear Regression,Small/Linfa,,,,48942453.0,ns,1122
Linear Regression,Small/Linfa,,,,49249457.0,ns,1144
Linear Regression,Small/Linfa,,,,49269657.0,ns,1166
Linear Regression,Small/Linfa,,,,51893992.0,ns,1188
Linear Regression,Small/Linfa,,,,55861145.0,ns,1210
Linear Regression,Small/Linfa,,,,56918359.0,ns,1232
Linear Regression,Small/Linfa,,,,57742770.0,ns,1254
Linear Regression,Small/Linfa,,,,55867045.0,ns,1276
Linear Regression,Small/Linfa,,,,57624268.0,ns,1298
Linear Regression,Small/Linfa,,,,55413239.0,ns,1320
Linear Regression,Small/Linfa,,,,62866338.0,ns,1342
Linear Regression,Small/Linfa,,,,68715251.0,ns,1364
Linear Regression,Small/Linfa,,,,65713489.0,ns,1386
Linear Regression,Small/Linfa,,,,68390314.0,ns,1408
Linear Regression,Small/Linfa,,,,70517832.0,ns,1430
Linear Regression,Small/Linfa,,,,69263221.0,ns,1452
Linear Regression,Small/Linfa,,,,66798799.0,ns,1474
Linear Regression,Small/Linfa,,,,68834717.0,ns,1496
Linear Regression,Small/Linfa,,,,77139092.0,ns,1518
Linear Regression,Small/Linfa,,,,70382531.0,ns,1540
Linear Regression,Small/Linfa,,,,71778943.0,ns,1562
Linear Regression,Small/Linfa,,,,71539442.0,ns,1584
Linear Regression,Small/Linfa,,,,69226521.0,ns,1606
Linear Regression,Small/Linfa,,,,72617451.0,ns,1628
Linear Regression,Small/Linfa,,,,76360584.0,ns,1650
Linear Regression,Small/Linfa,,,,75962782.0,ns,1672
Linear Regression,Small/Linfa,,,,77036991.0,ns,1694
Linear Regression,Small/Linfa,,,,79321111.0,ns,1716
Linear Regression,Small/Linfa,,,,74387068.0,ns,1738
Linear Regression,Small/Linfa,,,,73608560.0,ns,1760
Linear Regression,Small/Linfa,,,,88322092.0,ns,1782
