group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Small/Linfa,,,,963286.0,ns,17
Linear Regression,Small/Linfa,,,,2086786.0,ns,34
Linear Regression,Small/Linfa,,,,3012369.0,ns,51
Linear Regression,Small/Linfa,,,,4015260.0,ns,68
Linear Regression,Small/Linfa,,,,5362080.0,ns,85
Linear Regression,Small/Linfa,,,,6602391.0,ns,102
Linear Regression,Small/Linfa,,,,7028829.0,ns,119
Linear Regression,Small/Linfa,,,,8458457.0,ns,136
Linear Regression,Small/Linfa,,,,9727871.0,ns,153
Linear Regression,Small/Linfa,,,,10791566.0,ns,170
Linear Regression,Small/Linfa,,,,11682545.0,ns,187
Linear Regression,Small/Linfa,,,,11797856.0,ns,204
Linear Regression,Small/Linfa,,,,13168779.0,ns,221
Linear Regression,Small/Linfa,,,,13887043.0,ns,238
Linear Regression,Small/Linfa,,,,15422380.0,ns,255
Linear Regression,Small/Linfa,,,,16766000.0,ns,272
Linear Regression,Small/Linfa,,,,17089629.0,ns,289
Linear Regression,Small/Linfa,,,,17727387.0,ns,306
Linear Regression,Small/Linfa,,,,18389446.0,ns,323
Linear Regression,Small/Linfa,,,,21019581.0,ns,340
Linear Regression,Small/Linfa,,,,21579532.0,ns,357
Linear Regression,Small/Linfa,,,,20971177.0,ns,374
Linear Regression,Small/Linfa,,,,23241680.0,ns,391
Linear Regression,Small/Linfa,,,,25045942.0,ns,408
Linear Regression,Small/Linfa,,,,24711312.0,ns,425
Linear Regression,Small/Linfa,,,,27804588.0,ns,442
Linear Regression,Small/Linfa,,,,24134060.0,ns,459
Linear Regression,Small/Linfa,,,,29150509.0,ns,476
Linear Regression,Small/Linfa,,,,32321192.0,ns,493
Linear Regression,Small/Linfa,,,,30530332.0,ns,510
Linear Regression,Small/Linfa,,,,34154657.0,ns,527
Linear Regression,Small/Linfa,,,,34904324.0,ns,544
Linear Regression,Small/Linfa,,,,33374187.0,ns,561
Linear Regression,Small/Linfa,,,,33275278.0,ns,578
Linear Regression,Small/Linfa,,,,36359854.0,ns,595
Linear Regression,Small/Linfa,,,,34465385.0,ns,612
Linear Regression,Small/Linfa,,,,35221153.0,ns,629
Linear Regression,Small/Linfa,,,,36719187.0,ns,646
Linear Regression,Small/Linfa,,,,37064217.0,ns,663
Linear Regression,Small/Linfa,,,,40328809.0,ns,680
Linear Regression,Small/Linfa,,,,39025792.0,ns,697
Linear Regression,Small/Linfa,,,,45944412.0,ns,714
Linear Regression,Small/Linfa,,,,45385462.0,ns,731
Linear Regression,Small/Linfa,,,,50818648.0,ns,748
Linear Regression,Small/Linfa,,,,51787035.0,ns,765
Linear Regression,Small/Linfa,,,,47441946.0,ns,782
Linear Regression,Small/Linfa,,,,46880396.0,ns,799
