group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Small/Smart,,,,1075708.0,ns,6
Linear Regression,Small/Smart,,,,2171616.0,ns,12
Linear Regression,Small/Smart,,,,3122124.0,ns,18
Linear Regression,Small/Smart,,,,4165031.0,ns,24
Linear Regression,Small/Smart,,,,5154438.0,ns,30
Linear Regression,Small/Smart,,,,6067645.0,ns,36
Linear Regression,Small/Smart,,,,7477556.0,ns,42
Linear Regression,Small/Smart,,,,8424763.0,ns,48
Linear Regression,Small/Smart,,,,8949966.0,ns,54
Linear Regression,Small/Smart,,,,10646680.0,ns,60
Linear Regression,Small/Smart,,,,11791887.0,ns,66
Linear Regression,Small/Smart,,,,12472493.0,ns,72
Linear Regression,Small/Smart,,,,13762102.0,ns,78
Linear Regression,Small/Smart,,,,15602315.0,ns,84
Linear Regression,Small/Smart,,,,15760317.0,ns,90
Linear Regression,Small/Smart,,,,17197228.0,ns,96
Linear Regression,Small/Smart,,,,17902433.0,ns,102
Linear Regression,Small/Smart,,,,18630338.0,ns,108
Linear Regression,Small/Smart,,,,20014449.0,ns,114
Linear Regression,Small/Smart,,,,20612753.0,ns,120
Linear Regression,Small/Smart,,,,21649860.0,ns,126
Linear Regression,Small/Smart,,,,23756476.0,ns,132
Linear Regression,Small/Smart,,,,23896478.0,ns,138
Linear Regression,Small/Smart,,,,25481589.0,ns,144
Linear Regression,Small/Smart,,,,26238995.0,ns,150
Linear Regression,Small/Smart,,,,27485705.0,ns,156
Linear Regression,Small/Smart,,,,28965815.0,ns,162
Linear Regression,Small/Smart,,,,30026923.0,ns,168
Linear Regression,Small/Smart,,,,30910430.0,ns,174
Linear Regression,Small/Smart,,,,32434141.0,ns,180
Linear Regression,Small/Smart,,,,31897837.0,ns,186
Linear Regression,Small/Smart,,,,35225461.0,ns,192
Linear Regression,Small/Smart,,,,35170362.0,ns,198
Linear Regression,Small/Smart,,,,36963575.0,ns,204
Linear Regression,Small/Smart,,,,37261677.0,ns,210
Linear Regression,Small/Smart,,,,40004597.0,ns,216
Linear Regression,Small/Smart,,,,40294300.0,ns,222
Linear Regression,Small/Smart,,,,41073005.0,ns,228
Linear Regression,Small/Smart,,,,41511709.0,ns,234
Linear Regression,Small/Smart,,,,41228806.0,ns,240
Linear Regression,Small/Smart,,,,44299329.0,ns,246
Linear Regression,Small/Smart,,,,45270737.0,ns,252
Linear Regression,Small/Smart,,,,44837233.0,ns,258
Linear Regression,Small/Smart,,,,43935927.0,ns,264
Linear Regression,Small/Smart,,,,45269436.0,ns,270
Linear Regression,Small/Smart,,,,48595462.0,ns,276
