group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Small/Smart,,,,1020414.0,ns,6
Linear Regression,Small/Smart,,,,1949226.0,ns,12
Linear Regression,Small/Smart,,,,2985141.0,ns,18
Linear Regression,Small/Smart,,,,3921154.0,ns,24
Linear Regression,Small/Smart,,,,4870667.0,ns,30
Linear Regression,Small/Smart,,,,6206285.0,ns,36
Linear Regression,Small/Smart,,,,7187499.0,ns,42
Linear Regression,Small/Smart,,,,7717406.0,ns,48
Linear Regression,Small/Smart,,,,8839822.0,ns,54
Linear Regression,Small/Smart,,,,9631932.0,ns,60
Linear Regression,Small/Smart,,,,11127652.0,ns,66
Linear Regression,Small/Smart,,,,11894663.0,ns,72
Linear Regression,Small/Smart,,,,12642474.0,ns,78
Linear Regression,Small/Smart,,,,14336497.0,ns,84
Linear Regression,Small/Smart,,,,14763203.0,ns,90
Linear Regression,Small/Smart,,,,16341225.0,ns,96
Linear Regression,Small/Smart,,,,16968433.0,ns,102
Linear Regression,Small/Smart,,,,18115749.0,ns,108
Linear Regression,Small/Smart,,,,18915060.0,ns,114
Linear Regression,Small/Smart,,,,20526982.0,ns,120
Linear Regression,Small/Smart,,,,20476981.0,ns,126
Linear Regression,Small/Smart,,,,21184691.0,ns,132
Linear Regression,Small/Smart,,,,22943215.0,ns,138
Linear Regression,Small/Smart,,,,24508037.0,ns,144
Linear Regression,Small/Smart,,,,24175732.0,ns,150
Linear Regression,Small/Smart,,,,26499064.0,ns,156
Linear Regression,Small/Smart,,,,26542365.0,ns,162
Linear Regression,Small/Smart,,,,28129087.0,ns,168
Linear Regression,Small/Smart,,,,29522705.0,ns,174
Linear Regression,Small/Smart,,,,29413704.0,ns,180
Linear Regression,Small/Smart,,,,29344103.0,ns,186
Linear Regression,Small/Smart,,,,32390545.0,ns,192
Linear Regression,Small/Smart,,,,32104141.0,ns,198
Linear Regression,Small/Smart,,,,34588375.0,ns,204
Linear Regression,Small/Smart,,,,34213269.0,ns,210
Linear Regression,Small/Smart,,,,35138482.0,ns,216
Linear Regression,Small/Smart,,,,34453573.0,ns,222
Linear Regression,Small/Smart,,,,38294026.0,ns,228
Linear Regression,Small/Smart,,,,38329627.0,ns,234
Linear Regression,Small/Smart,,,,39539743.0,ns,240
Linear Regression,Small/Smart,,,,39281040.0,ns,246
Linear Regression,Small/Smart,,,,41222466.0,ns,252
Linear Regression,Small/Smart,,,,43351296.0,ns,258
Linear Regression,Small/Smart,,,,43499898.0,ns,264
Linear Regression,Small/Smart,,,,44831216.0,ns,270
Linear Regression,Small/Smart,,,,45836229.0,ns,276
Linear Regression,Small/Smart,,,,47924358.0,ns,282
Linear Regression,Small/Smart,,,,47873857.0,ns,288
Linear Regression,Small/Smart,,,,48766669.0,ns,294
Linear Regression,Small/Smart,,,,52333018.0,ns,300
Linear Regression,Small/Smart,,,,50424192.0,ns,306
Linear Regression,Small/Smart,,,,51070101.0,ns,312
Linear Regression,Small/Smart,,,,53149629.0,ns,318
Linear Regression,Small/Smart,,,,55280858.0,ns,324
Linear Regression,Small/Smart,,,,51356205.0,ns,330
Linear Regression,Small/Smart,,,,56282672.0,ns,336
Linear Regression,Small/Smart,,,,57422587.0,ns,342
Linear Regression,Small/Smart,,,,57186584.0,ns,348
Linear Regression,Small/Smart,,,,59140812.0,ns,354
Linear Regression,Small/Smart,,,,59787920.0,ns,360
Linear Regression,Small/Smart,,,,60688632.0,ns,366
