group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Small/Smartcore,,,,991600.0,ns,7
Linear Regression,Small/Smartcore,,,,1811001.0,ns,14
Linear Regression,Small/Smartcore,,,,3108201.0,ns,21
Linear Regression,Small/Smartcore,,,,5447402.0,ns,28
Linear Regression,Small/Smartcore,,,,6002701.0,ns,35
Linear Regression,Small/Smartcore,,,,7647003.0,ns,42
Linear Regression,Small/Smartcore,,,,8343303.0,ns,49
Linear Regression,Small/Smartcore,,,,11543403.0,ns,56
Linear Regression,Small/Smartcore,,,,11095204.0,ns,63
Linear Regression,Small/Smartcore,,,,11250104.0,ns,70
Linear Regression,Small/Smartcore,,,,13630204.0,ns,77
Linear Regression,Small/Smartcore,,,,13866105.0,ns,84
Linear Regression,Small/Smartcore,,,,14149604.0,ns,91
Linear Regression,Small/Smartcore,,,,15326005.0,ns,98
Linear Regression,Small/Smartcore,,,,17329306.0,ns,105
Linear Regression,Small/Smartcore,,,,20471407.0,ns,112
Linear Regression,Small/Smartcore,,,,19105306.0,ns,119
Linear Regression,Small/Smartcore,,,,19708906.0,ns,126
Linear Regression,Small/Smartcore,,,,20657907.0,ns,133
Linear Regression,Small/Smartcore,,,,22304607.0,ns,140
Linear Regression,Small/Smartcore,,,,26731209.0,ns,147
Linear Regression,Small/Smartcore,,,,23764608.0,ns,154
Linear Regression,Small/Smartcore,,,,25063308.0,ns,161
Linear Regression,Small/Smartcore,,,,28763209.0,ns,168
Linear Regression,Small/Smartcore,,,,29341010.0,ns,175
Linear Regression,Small/Smartcore,,,,26413109.0,ns,182
Linear Regression,Small/Smartcore,,,,24516008.0,ns,189
Linear Regression,Small/Smartcore,,,,27575409.0,ns,196
Linear Regression,Small/Smartcore,,,,30735910.0,ns,203
Linear Regression,Small/Smartcore,,,,29064009.0,ns,210
Linear Regression,Small/Smartcore,,,,30317010.0,ns,217
Linear Regression,Small/Smartcore,,,,34599411.0,ns,224
Linear Regression,Small/Smartcore,,,,38465813.0,ns,231
Linear Regression,Small/Smartcore,,,,42516714.0,ns,238
Linear Regression,Small/Smartcore,,,,39414913.0,ns,245
Linear Regression,Small/Smartcore,,,,36668712.0,ns,252
Linear Regression,Small/Smartcore,,,,39805313.0,ns,259
Linear Regression,Small/Smartcore,,,,38022512.0,ns,266
Linear Regression,Small/Smartcore,,,,38338912.0,ns,273
Linear Regression,Small/Smartcore,,,,41945714.0,ns,280
Linear Regression,Small/Smartcore,,,,42904314.0,ns,287
Linear Regression,Small/Smartcore,,,,45120915.0,ns,294
Linear Regression,Small/Smartcore,,,,41008113.0,ns,301
Linear Regression,Small/Smartcore,,,,47189616.0,ns,308
Linear Regression,Small/Smartcore,,,,46832215.0,ns,315
Linear Regression,Small/Smartcore,,,,45414915.0,ns,322
Linear Regression,Small/Smartcore,,,,46934215.0,ns,329
Linear Regression,Small/Smartcore,,,,53636718.0,ns,336
Linear Regression,Small/Smartcore,,,,53995017.0,ns,343
Linear Regression,Small/Smartcore,,,,51972917.0,ns,350
Linear Regression,Small/Smartcore,,,,55733618.0,ns,357
Linear Regression,Small/Smartcore,,,,58641519.0,ns,364
Linear Regression,Small/Smartcore,,,,52170517.0,ns,371
Linear Regression,Small/Smartcore,,,,57518619.0,ns,378
Linear Regression,Small/Smartcore,,,,59550320.0,ns,385
Linear Regression,Small/Smartcore,,,,65248321.0,ns,392
