group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Smartcore,,,,993412.0,ns,83
Linear Regression,Smartcore,,,,1989624.0,ns,166
Linear Regression,Smartcore,,,,2983436.0,ns,249
Linear Regression,Smartcore,,,,3977747.0,ns,332
Linear Regression,Smartcore,,,,4975060.0,ns,415
Linear Regression,Smartcore,,,,5966571.0,ns,498
Linear Regression,Smartcore,,,,6953483.0,ns,581
Linear Regression,Smartcore,,,,7938795.0,ns,664
Linear Regression,Smartcore,,,,8924307.0,ns,747
Linear Regression,Smartcore,,,,9920819.0,ns,830
Linear Regression,Smartcore,,,,10915131.0,ns,913
Linear Regression,Smartcore,,,,11920042.0,ns,996
Linear Regression,Smartcore,,,,12941355.0,ns,1079
Linear Regression,Smartcore,,,,13885067.0,ns,1162
Linear Regression,Smartcore,,,,14889378.0,ns,1245
Linear Regression,Smartcore,,,,15920190.0,ns,1328
Linear Regression,Smartcore,,,,16876402.0,ns,1411
Linear Regression,Smartcore,,,,17890215.0,ns,1494
Linear Regression,Smartcore,,,,18878626.0,ns,1577
Linear Regression,Smartcore,,,,19842037.0,ns,1660
Linear Regression,Smartcore,,,,20827549.0,ns,1743
Linear Regression,Smartcore,,,,21807861.0,ns,1826
Linear Regression,Smartcore,,,,22909675.0,ns,1909
Linear Regression,Smartcore,,,,23825185.0,ns,1992
Linear Regression,Smartcore,,,,24827897.0,ns,2075
Linear Regression,Smartcore,,,,25789909.0,ns,2158
Linear Regression,Smartcore,,,,26809021.0,ns,2241
Linear Regression,Smartcore,,,,27784632.0,ns,2324
Linear Regression,Smartcore,,,,28800945.0,ns,2407
Linear Regression,Smartcore,,,,29791057.0,ns,2490
Linear Regression,Smartcore,,,,30756668.0,ns,2573
Linear Regression,Smartcore,,,,31752580.0,ns,2656
Linear Regression,Smartcore,,,,32767592.0,ns,2739
Linear Regression,Smartcore,,,,33783405.0,ns,2822
Linear Regression,Smartcore,,,,34729116.0,ns,2905
Linear Regression,Smartcore,,,,35761828.0,ns,2988
Linear Regression,Smartcore,,,,36724139.0,ns,3071
Linear Regression,Smartcore,,,,37703452.0,ns,3154
Linear Regression,Smartcore,,,,38699463.0,ns,3237
Linear Regression,Smartcore,,,,39702775.0,ns,3320
Linear Regression,Smartcore,,,,40682687.0,ns,3403
Linear Regression,Smartcore,,,,41676099.0,ns,3486
Linear Regression,Smartcore,,,,42676711.0,ns,3569
Linear Regression,Smartcore,,,,43649323.0,ns,3652
Linear Regression,Smartcore,,,,44613234.0,ns,3735
Linear Regression,Smartcore,,,,45647846.0,ns,3818
Linear Regression,Smartcore,,,,46636258.0,ns,3901
Linear Regression,Smartcore,,,,47666670.0,ns,3984
Linear Regression,Smartcore,,,,48647983.0,ns,4067
Linear Regression,Smartcore,,,,49611093.0,ns,4150
Linear Regression,Smartcore,,,,50605206.0,ns,4233
Linear Regression,Smartcore,,,,51621018.0,ns,4316
Linear Regression,Smartcore,,,,52594930.0,ns,4399
Linear Regression,Smartcore,,,,53614642.0,ns,4482
Linear Regression,Smartcore,,,,54596153.0,ns,4565
Linear Regression,Smartcore,,,,55613366.0,ns,4648
Linear Regression,Smartcore,,,,56610878.0,ns,4731
Linear Regression,Smartcore,,,,57632090.0,ns,4814
Linear Regression,Smartcore,,,,58639902.0,ns,4897
Linear Regression,Smartcore,,,,59594513.0,ns,4980
Linear Regression,Smartcore,,,,60599725.0,ns,5063
Linear Regression,Smartcore,,,,61604138.0,ns,5146
Linear Regression,Smartcore,,,,62607349.0,ns,5229
Linear Regression,Smartcore,,,,63585262.0,ns,5312
Linear Regression,Smartcore,,,,64634873.0,ns,5395
Linear Regression,Smartcore,,,,65565985.0,ns,5478
Linear Regression,Smartcore,,,,66481396.0,ns,5561
Linear Regression,Smartcore,,,,67537009.0,ns,5644
Linear Regression,Smartcore,,,,68495820.0,ns,5727
Linear Regression,Smartcore,,,,69443231.0,ns,5810
Linear Regression,Smartcore,,,,70450043.0,ns,5893
Linear Regression,Smartcore,,,,71485856.0,ns,5976
Linear Regression,Smartcore,,,,72530468.0,ns,6059
Linear Regression,Smartcore,,,,73457380.0,ns,6142
Linear Regression,Smartcore,,,,74478191.0,ns,6225
Linear Regression,Smartcore,,,,75417503.0,ns,6308
Linear Regression,Smartcore,,,,76414015.0,ns,6391
Linear Regression,Smartcore,,,,77312825.0,ns,6474
Linear Regression,Smartcore,,,,78393539.0,ns,6557
Linear Regression,Smartcore,,,,79459451.0,ns,6640
Linear Regression,Smartcore,,,,80471263.0,ns,6723
Linear Regression,Smartcore,,,,81449275.0,ns,6806
Linear Regression,Smartcore,,,,82402387.0,ns,6889
Linear Regression,Smartcore,,,,83460299.0,ns,6972
Linear Regression,Smartcore,,,,84514312.0,ns,7055
Linear Regression,Smartcore,,,,85465223.0,ns,7138
Linear Regression,Smartcore,,,,86490954.0,ns,7221
