group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Linear Regression,Smartcore,,,,997918.0,ns,73
Linear Regression,Smartcore,,,,1999235.0,ns,146
Linear Regression,Smartcore,,,,2994953.0,ns,219
Linear Regression,Smartcore,,,,3991571.0,ns,292
Linear Regression,Smartcore,,,,4982889.0,ns,365
Linear Regression,Smartcore,,,,5979806.0,ns,438
Linear Regression,Smartcore,,,,6982924.0,ns,511
Linear Regression,Smartcore,,,,7977642.0,ns,584
Linear Regression,Smartcore,,,,8975659.0,ns,657
Linear Regression,Smartcore,,,,9982277.0,ns,730
Linear Regression,Smartcore,,,,10983195.0,ns,803
Linear Regression,Smartcore,,,,11981013.0,ns,876
Linear Regression,Smartcore,,,,12974630.0,ns,949
Linear Regression,Smartcore,,,,13969748.0,ns,1022
Linear Regression,Smartcore,,,,14962866.0,ns,1095
Linear Regression,Smartcore,,,,15975483.0,ns,1168
Linear Regression,Smartcore,,,,16957301.0,ns,1241
Linear Regression,Smartcore,,,,18010720.0,ns,1314
Linear Regression,Smartcore,,,,18970337.0,ns,1387
Linear Regression,Smartcore,,,,20042256.0,ns,1460
Linear Regression,Smartcore,,,,21019373.0,ns,1533
Linear Regression,Smartcore,,,,21975890.0,ns,1606
Linear Regression,Smartcore,,,,22953408.0,ns,1679
Linear Regression,Smartcore,,,,23929224.0,ns,1752
Linear Regression,Smartcore,,,,24925143.0,ns,1825
Linear Regression,Smartcore,,,,25925960.0,ns,1898
Linear Regression,Smartcore,,,,26956479.0,ns,1971
Linear Regression,Smartcore,,,,27942896.0,ns,2044
Linear Regression,Smartcore,,,,28974914.0,ns,2117
Linear Regression,Smartcore,,,,29926431.0,ns,2190
Linear Regression,Smartcore,,,,30930949.0,ns,2263
Linear Regression,Smartcore,,,,31955668.0,ns,2336
Linear Regression,Smartcore,,,,32966185.0,ns,2409
Linear Regression,Smartcore,,,,33931502.0,ns,2482
Linear Regression,Smartcore,,,,34965321.0,ns,2555
Linear Regression,Smartcore,,,,35927038.0,ns,2628
Linear Regression,Smartcore,,,,36962956.0,ns,2701
Linear Regression,Smartcore,,,,37949674.0,ns,2774
Linear Regression,Smartcore,,,,38941991.0,ns,2847
Linear Regression,Smartcore,,,,39897208.0,ns,2920
Linear Regression,Smartcore,,,,40881126.0,ns,2993
Linear Regression,Smartcore,,,,41871744.0,ns,3066
Linear Regression,Smartcore,,,,42869861.0,ns,3139
Linear Regression,Smartcore,,,,43883079.0,ns,3212
Linear Regression,Smartcore,,,,44957798.0,ns,3285
Linear Regression,Smartcore,,,,45993016.0,ns,3358
Linear Regression,Smartcore,,,,46945634.0,ns,3431
Linear Regression,Smartcore,,,,47911350.0,ns,3504
Linear Regression,Smartcore,,,,48883168.0,ns,3577
Linear Regression,Smartcore,,,,49883386.0,ns,3650
Linear Regression,Smartcore,,,,50897403.0,ns,3723
Linear Regression,Smartcore,,,,51949522.0,ns,3796
Linear Regression,Smartcore,,,,52973341.0,ns,3869
Linear Regression,Smartcore,,,,53955858.0,ns,3942
Linear Regression,Smartcore,,,,54942075.0,ns,4015
Linear Regression,Smartcore,,,,55873992.0,ns,4088
Linear Regression,Smartcore,,,,56993612.0,ns,4161
Linear Regression,Smartcore,,,,57982529.0,ns,4234
Linear Regression,Smartcore,,,,58996248.0,ns,4307
Linear Regression,Smartcore,,,,59933964.0,ns,4380
Linear Regression,Smartcore,,,,60933281.0,ns,4453
Linear Regression,Smartcore,,,,61969700.0,ns,4526
Linear Regression,Smartcore,,,,62958418.0,ns,4599
Linear Regression,Smartcore,,,,63943135.0,ns,4672
Linear Regression,Smartcore,,,,64955853.0,ns,4745
Linear Regression,Smartcore,,,,65919771.0,ns,4818
Linear Regression,Smartcore,,,,66913688.0,ns,4891
Linear Regression,Smartcore,,,,67922205.0,ns,4964
Linear Regression,Smartcore,,,,68910424.0,ns,5037
Linear Regression,Smartcore,,,,69908341.0,ns,5110
Linear Regression,Smartcore,,,,70850258.0,ns,5183
Linear Regression,Smartcore,,,,71874776.0,ns,5256
Linear Regression,Smartcore,,,,72890194.0,ns,5329
Linear Regression,Smartcore,,,,73923412.0,ns,5402
Linear Regression,Smartcore,,,,74859629.0,ns,5475
Linear Regression,Smartcore,,,,75881847.0,ns,5548
Linear Regression,Smartcore,,,,76836364.0,ns,5621
Linear Regression,Smartcore,,,,77788381.0,ns,5694
Linear Regression,Smartcore,,,,78793599.0,ns,5767
Linear Regression,Smartcore,,,,79863618.0,ns,5840
Linear Regression,Smartcore,,,,80869835.0,ns,5913
Linear Regression,Smartcore,,,,81788052.0,ns,5986
Linear Regression,Smartcore,,,,82782970.0,ns,6059
Linear Regression,Smartcore,,,,83875689.0,ns,6132
Linear Regression,Smartcore,,,,84985409.0,ns,6205
Linear Regression,Smartcore,,,,86028227.0,ns,6278
Linear Regression,Smartcore,,,,86889742.0,ns,6351
Linear Regression,Smartcore,,,,88088264.0,ns,6424
Linear Regression,Smartcore,,,,89002180.0,ns,6497
Linear Regression,Smartcore,,,,89857195.0,ns,6570
Linear Regression,Smartcore,,,,90921915.0,ns,6643
Linear Regression,Smartcore,,,,91948932.0,ns,6716
Linear Regression,Smartcore,,,,92903549.0,ns,6789
Linear Regression,Smartcore,,,,93916967.0,ns,6862
Linear Regression,Smartcore,,,,94859884.0,ns,6935
Linear Regression,Smartcore,,,,95730300.0,ns,7008
Linear Regression,Smartcore,,,,96888120.0,ns,7081
Linear Regression,Smartcore,,,,97778736.0,ns,7154
Linear Regression,Smartcore,,,,98770653.0,ns,7227
Linear Regression,Smartcore,,,,99778872.0,ns,7300
