group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Large/Linfa,,,,415917655.0,ns,1
Logistic Regression,Large/Linfa,,,,318590157.0,ns,1
Logistic Regression,Large/Linfa,,,,339743187.0,ns,1
Logistic Regression,Large/Linfa,,,,375303806.0,ns,1
Logistic Regression,Large/Linfa,,,,355122382.0,ns,1
Logistic Regression,Large/Linfa,,,,478803341.0,ns,1
Logistic Regression,Large/Linfa,,,,404945387.0,ns,1
Logistic Regression,Large/Linfa,,,,442816320.0,ns,1
Logistic Regression,Large/Linfa,,,,382033547.0,ns,1
Logistic Regression,Large/Linfa,,,,400104428.0,ns,1
Logistic Regression,Large/Linfa,,,,406789347.0,ns,1
Logistic Regression,Large/Linfa,,,,435527972.0,ns,1
Logistic Regression,Large/Linfa,,,,389178701.0,ns,1
Logistic Regression,Large/Linfa,,,,325183583.0,ns,1
Logistic Regression,Large/Linfa,,,,274280503.0,ns,1
Logistic Regression,Large/Linfa,,,,343959306.0,ns,1
Logistic Regression,Large/Linfa,,,,293967418.0,ns,1
Logistic Regression,Large/Linfa,,,,326509668.0,ns,1
Logistic Regression,Large/Linfa,,,,511279260.0,ns,1
Logistic Regression,Large/Linfa,,,,421192920.0,ns,1
Logistic Regression,Large/Linfa,,,,385577425.0,ns,1
Logistic Regression,Large/Linfa,,,,383194819.0,ns,1
Logistic Regression,Large/Linfa,,,,374524696.0,ns,1
Logistic Regression,Large/Linfa,,,,191777510.0,ns,1
Logistic Regression,Large/Linfa,,,,428389239.0,ns,1
Logistic Regression,Large/Linfa,,,,326794869.0,ns,1
Logistic Regression,Large/Linfa,,,,398161059.0,ns,1
Logistic Regression,Large/Linfa,,,,518229379.0,ns,1
Logistic Regression,Large/Linfa,,,,417860111.0,ns,1
Logistic Regression,Large/Linfa,,,,377872663.0,ns,1
Logistic Regression,Large/Linfa,,,,399676175.0,ns,1
Logistic Regression,Large/Linfa,,,,344408526.0,ns,1
Logistic Regression,Large/Linfa,,,,370473284.0,ns,1
Logistic Regression,Large/Linfa,,,,500576904.0,ns,1
Logistic Regression,Large/Linfa,,,,305381525.0,ns,1
Logistic Regression,Large/Linfa,,,,498592604.0,ns,1
Logistic Regression,Large/Linfa,,,,331911335.0,ns,1
Logistic Regression,Large/Linfa,,,,375211254.0,ns,1
Logistic Regression,Large/Linfa,,,,343014240.0,ns,1
Logistic Regression,Large/Linfa,,,,550877925.0,ns,1
Logistic Regression,Large/Linfa,,,,515996411.0,ns,1
Logistic Regression,Large/Linfa,,,,274466412.0,ns,1
Logistic Regression,Large/Linfa,,,,387365458.0,ns,1
Logistic Regression,Large/Linfa,,,,450380084.0,ns,1
Logistic Regression,Large/Linfa,,,,505506907.0,ns,1
Logistic Regression,Large/Linfa,,,,415823470.0,ns,1
Logistic Regression,Large/Linfa,,,,405503665.0,ns,1
Logistic Regression,Large/Linfa,,,,367469751.0,ns,1
Logistic Regression,Large/Linfa,,,,406955426.0,ns,1
Logistic Regression,Large/Linfa,,,,449249953.0,ns,1
Logistic Regression,Large/Linfa,,,,506955680.0,ns,1
Logistic Regression,Large/Linfa,,,,446865039.0,ns,1
Logistic Regression,Large/Linfa,,,,470583274.0,ns,1
Logistic Regression,Large/Linfa,,,,336173510.0,ns,1
Logistic Regression,Large/Linfa,,,,431247450.0,ns,1
Logistic Regression,Large/Linfa,,,,327266560.0,ns,1
Logistic Regression,Large/Linfa,,,,616917305.0,ns,1
Logistic Regression,Large/Linfa,,,,432793459.0,ns,1
Logistic Regression,Large/Linfa,,,,277230876.0,ns,1
Logistic Regression,Large/Linfa,,,,494246009.0,ns,1
Logistic Regression,Large/Linfa,,,,387824252.0,ns,1
Logistic Regression,Large/Linfa,,,,298899291.0,ns,1
Logistic Regression,Large/Linfa,,,,319484804.0,ns,1
Logistic Regression,Large/Linfa,,,,625075899.0,ns,1
Logistic Regression,Large/Linfa,,,,721733760.0,ns,1
Logistic Regression,Large/Linfa,,,,288751791.0,ns,1
Logistic Regression,Large/Linfa,,,,457593758.0,ns,1
Logistic Regression,Large/Linfa,,,,253484939.0,ns,1
Logistic Regression,Large/Linfa,,,,509063491.0,ns,1
Logistic Regression,Large/Linfa,,,,371291201.0,ns,1
Logistic Regression,Large/Linfa,,,,303028459.0,ns,1
Logistic Regression,Large/Linfa,,,,520140063.0,ns,1
Logistic Regression,Large/Linfa,,,,440233846.0,ns,1
Logistic Regression,Large/Linfa,,,,502599849.0,ns,1
Logistic Regression,Large/Linfa,,,,471484649.0,ns,1
Logistic Regression,Large/Linfa,,,,490165869.0,ns,1
Logistic Regression,Large/Linfa,,,,377589342.0,ns,1
Logistic Regression,Large/Linfa,,,,380153258.0,ns,1
Logistic Regression,Large/Linfa,,,,533072747.0,ns,1
Logistic Regression,Large/Linfa,,,,322344284.0,ns,1
Logistic Regression,Large/Linfa,,,,430934086.0,ns,1
Logistic Regression,Large/Linfa,,,,472785998.0,ns,1
Logistic Regression,Large/Linfa,,,,447494354.0,ns,1
Logistic Regression,Large/Linfa,,,,441285280.0,ns,1
Logistic Regression,Large/Linfa,,,,561541620.0,ns,1
Logistic Regression,Large/Linfa,,,,282629468.0,ns,1
Logistic Regression,Large/Linfa,,,,386500635.0,ns,1
Logistic Regression,Large/Linfa,,,,463448079.0,ns,1
Logistic Regression,Large/Linfa,,,,584110821.0,ns,1
Logistic Regression,Large/Linfa,,,,473954626.0,ns,1
Logistic Regression,Large/Linfa,,,,415178863.0,ns,1
Logistic Regression,Large/Linfa,,,,399093590.0,ns,1
Logistic Regression,Large/Linfa,,,,361432321.0,ns,1
Logistic Regression,Large/Linfa,,,,394245469.0,ns,1
Logistic Regression,Large/Linfa,,,,275378736.0,ns,1
Logistic Regression,Large/Linfa,,,,358952810.0,ns,1
Logistic Regression,Large/Linfa,,,,424158904.0,ns,1
Logistic Regression,Large/Linfa,,,,436744159.0,ns,1
Logistic Regression,Large/Linfa,,,,455865146.0,ns,1
Logistic Regression,Large/Linfa,,,,386845436.0,ns,1
