group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Large/Linfa,,,,363970194.0,ns,1
Logistic Regression,Large/Linfa,,,,330959214.0,ns,1
Logistic Regression,Large/Linfa,,,,436755273.0,ns,1
Logistic Regression,Large/Linfa,,,,274450521.0,ns,1
Logistic Regression,Large/Linfa,,,,447159755.0,ns,1
Logistic Regression,Large/Linfa,,,,410383609.0,ns,1
Logistic Regression,Large/Linfa,,,,281020537.0,ns,1
Logistic Regression,Large/Linfa,,,,370863715.0,ns,1
Logistic Regression,Large/Linfa,,,,404888833.0,ns,1
Logistic Regression,Large/Linfa,,,,452458262.0,ns,1
Logistic Regression,Large/Linfa,,,,389399214.0,ns,1
Logistic Regression,Large/Linfa,,,,370161386.0,ns,1
Logistic Regression,Large/Linfa,,,,496962089.0,ns,1
Logistic Regression,Large/Linfa,,,,490869517.0,ns,1
Logistic Regression,Large/Linfa,,,,393321461.0,ns,1
Logistic Regression,Large/Linfa,,,,399426733.0,ns,1
Logistic Regression,Large/Linfa,,,,450867243.0,ns,1
Logistic Regression,Large/Linfa,,,,496320282.0,ns,1
Logistic Regression,Large/Linfa,,,,356019218.0,ns,1
Logistic Regression,Large/Linfa,,,,316087646.0,ns,1
Logistic Regression,Large/Linfa,,,,426922060.0,ns,1
Logistic Regression,Large/Linfa,,,,246727324.0,ns,1
Logistic Regression,Large/Linfa,,,,402716872.0,ns,1
Logistic Regression,Large/Linfa,,,,536349156.0,ns,1
Logistic Regression,Large/Linfa,,,,569899253.0,ns,1
Logistic Regression,Large/Linfa,,,,481532387.0,ns,1
Logistic Regression,Large/Linfa,,,,411183412.0,ns,1
Logistic Regression,Large/Linfa,,,,336293291.0,ns,1
Logistic Regression,Large/Linfa,,,,288549867.0,ns,1
Logistic Regression,Large/Linfa,,,,372419887.0,ns,1
Logistic Regression,Large/Linfa,,,,418165089.0,ns,1
Logistic Regression,Large/Linfa,,,,458584233.0,ns,1
Logistic Regression,Large/Linfa,,,,436744293.0,ns,1
Logistic Regression,Large/Linfa,,,,408330981.0,ns,1
Logistic Regression,Large/Linfa,,,,354536790.0,ns,1
Logistic Regression,Large/Linfa,,,,349103331.0,ns,1
Logistic Regression,Large/Linfa,,,,510411701.0,ns,1
Logistic Regression,Large/Linfa,,,,365272008.0,ns,1
Logistic Regression,Large/Linfa,,,,370829169.0,ns,1
Logistic Regression,Large/Linfa,,,,680903972.0,ns,1
Logistic Regression,Large/Linfa,,,,372205784.0,ns,1
Logistic Regression,Large/Linfa,,,,385978035.0,ns,1
Logistic Regression,Large/Linfa,,,,359698247.0,ns,1
Logistic Regression,Large/Linfa,,,,236982455.0,ns,1
Logistic Regression,Large/Linfa,,,,304080304.0,ns,1
Logistic Regression,Large/Linfa,,,,454611253.0,ns,1
Logistic Regression,Large/Linfa,,,,490397667.0,ns,1
Logistic Regression,Large/Linfa,,,,485306301.0,ns,1
Logistic Regression,Large/Linfa,,,,520878556.0,ns,1
Logistic Regression,Large/Linfa,,,,370247232.0,ns,1
Logistic Regression,Large/Linfa,,,,447699522.0,ns,1
Logistic Regression,Large/Linfa,,,,361605521.0,ns,1
Logistic Regression,Large/Linfa,,,,440980735.0,ns,1
Logistic Regression,Large/Linfa,,,,339578540.0,ns,1
Logistic Regression,Large/Linfa,,,,486415516.0,ns,1
Logistic Regression,Large/Linfa,,,,141143104.0,ns,1
Logistic Regression,Large/Linfa,,,,427793967.0,ns,1
Logistic Regression,Large/Linfa,,,,192074354.0,ns,1
Logistic Regression,Large/Linfa,,,,351193288.0,ns,1
Logistic Regression,Large/Linfa,,,,522715480.0,ns,1
Logistic Regression,Large/Linfa,,,,390148086.0,ns,1
Logistic Regression,Large/Linfa,,,,381764778.0,ns,1
Logistic Regression,Large/Linfa,,,,374208282.0,ns,1
Logistic Regression,Large/Linfa,,,,394646843.0,ns,1
Logistic Regression,Large/Linfa,,,,163237000.0,ns,1
Logistic Regression,Large/Linfa,,,,436248723.0,ns,1
Logistic Regression,Large/Linfa,,,,383920384.0,ns,1
Logistic Regression,Large/Linfa,,,,478079393.0,ns,1
Logistic Regression,Large/Linfa,,,,438125535.0,ns,1
Logistic Regression,Large/Linfa,,,,275890985.0,ns,1
Logistic Regression,Large/Linfa,,,,126291218.0,ns,1
Logistic Regression,Large/Linfa,,,,433641506.0,ns,1
Logistic Regression,Large/Linfa,,,,289524073.0,ns,1
Logistic Regression,Large/Linfa,,,,285770849.0,ns,1
Logistic Regression,Large/Linfa,,,,415974292.0,ns,1
Logistic Regression,Large/Linfa,,,,313961632.0,ns,1
Logistic Regression,Large/Linfa,,,,547212441.0,ns,1
Logistic Regression,Large/Linfa,,,,597924869.0,ns,1
