group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Large/Smart,,,,98050701.0,ns,2
Logistic Regression,Large/Smart,,,,98240126.0,ns,2
Logistic Regression,Large/Smart,,,,100522522.0,ns,2
Logistic Regression,Large/Smart,,,,104844482.0,ns,2
Logistic Regression,Large/Smart,,,,104774373.0,ns,2
Logistic Regression,Large/Smart,,,,98961520.0,ns,2
Logistic Regression,Large/Smart,,,,108917510.0,ns,2
Logistic Regression,Large/Smart,,,,103184766.0,ns,2
Logistic Regression,Large/Smart,,,,98742291.0,ns,2
Logistic Regression,Large/Smart,,,,98984323.0,ns,2
Logistic Regression,Large/Smart,,,,100535824.0,ns,2
Logistic Regression,Large/Smart,,,,97030870.0,ns,2
Logistic Regression,Large/Smart,,,,98969221.0,ns,2
Logistic Regression,Large/Smart,,,,98658581.0,ns,2
Logistic Regression,Large/Smart,,,,107010362.0,ns,2
Logistic Regression,Large/Smart,,,,97999095.0,ns,2
Logistic Regression,Large/Smart,,,,99089637.0,ns,2
Logistic Regression,Large/Smart,,,,113923159.0,ns,2
Logistic Regression,Large/Smart,,,,99436581.0,ns,2
Logistic Regression,Large/Smart,,,,97055573.0,ns,2
Logistic Regression,Large/Smart,,,,102776014.0,ns,2
Logistic Regression,Large/Smart,,,,104483635.0,ns,2
Logistic Regression,Large/Smart,,,,107730556.0,ns,2
Logistic Regression,Large/Smart,,,,101737580.0,ns,2
Logistic Regression,Large/Smart,,,,110029554.0,ns,2
Logistic Regression,Large/Smart,,,,104445856.0,ns,2
Logistic Regression,Large/Smart,,,,109514993.0,ns,2
Logistic Regression,Large/Smart,,,,105335729.0,ns,2
Logistic Regression,Large/Smart,,,,105554432.0,ns,2
Logistic Regression,Large/Smart,,,,99803744.0,ns,2
Logistic Regression,Large/Smart,,,,101224765.0,ns,2
Logistic Regression,Large/Smart,,,,98689626.0,ns,2
Logistic Regression,Large/Smart,,,,99115333.0,ns,2
Logistic Regression,Large/Smart,,,,101222866.0,ns,2
Logistic Regression,Large/Smart,,,,104122210.0,ns,2
Logistic Regression,Large/Smart,,,,99783443.0,ns,2
Logistic Regression,Large/Smart,,,,105526632.0,ns,2
Logistic Regression,Large/Smart,,,,97838713.0,ns,2
Logistic Regression,Large/Smart,,,,104898522.0,ns,2
Logistic Regression,Large/Smart,,,,99182534.0,ns,2
Logistic Regression,Large/Smart,,,,104386214.0,ns,2
Logistic Regression,Large/Smart,,,,98783728.0,ns,2
Logistic Regression,Large/Smart,,,,97082602.0,ns,2
Logistic Regression,Large/Smart,,,,98909129.0,ns,2
Logistic Regression,Large/Smart,,,,98143417.0,ns,2
Logistic Regression,Large/Smart,,,,103237196.0,ns,2
Logistic Regression,Large/Smart,,,,98447322.0,ns,2
Logistic Regression,Large/Smart,,,,104157011.0,ns,2
Logistic Regression,Large/Smart,,,,110856714.0,ns,2
Logistic Regression,Large/Smart,,,,95655780.0,ns,2
Logistic Regression,Large/Smart,,,,98131817.0,ns,2
Logistic Regression,Large/Smart,,,,96632111.0,ns,2
Logistic Regression,Large/Smart,,,,96882424.0,ns,2
Logistic Regression,Large/Smart,,,,105107732.0,ns,2
Logistic Regression,Large/Smart,,,,99632760.0,ns,2
Logistic Regression,Large/Smart,,,,96694214.0,ns,2
Logistic Regression,Large/Smart,,,,98160887.0,ns,2
Logistic Regression,Large/Smart,,,,98359497.0,ns,2
Logistic Regression,Large/Smart,,,,99900374.0,ns,2
Logistic Regression,Large/Smart,,,,96564407.0,ns,2
Logistic Regression,Large/Smart,,,,98971827.0,ns,2
Logistic Regression,Large/Smart,,,,97359747.0,ns,2
Logistic Regression,Large/Smart,,,,98774818.0,ns,2
Logistic Regression,Large/Smart,,,,98595909.0,ns,2
Logistic Regression,Large/Smart,,,,104900122.0,ns,2
Logistic Regression,Large/Smart,,,,99702764.0,ns,2
Logistic Regression,Large/Smart,,,,99662462.0,ns,2
Logistic Regression,Large/Smart,,,,97954877.0,ns,2
Logistic Regression,Large/Smart,,,,99965476.0,ns,2
Logistic Regression,Large/Smart,,,,102541905.0,ns,2
Logistic Regression,Large/Smart,,,,96746316.0,ns,2
Logistic Regression,Large/Smart,,,,96246791.0,ns,2
Logistic Regression,Large/Smart,,,,98840521.0,ns,2
Logistic Regression,Large/Smart,,,,97993179.0,ns,2
Logistic Regression,Large/Smart,,,,99698963.0,ns,2
Logistic Regression,Large/Smart,,,,97831370.0,ns,2
Logistic Regression,Large/Smart,,,,98278992.0,ns,2
