group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Large/Smart,,,,95649009.0,ns,2
Logistic Regression,Large/Smart,,,,95514207.0,ns,2
Logistic Regression,Large/Smart,,,,96917213.0,ns,2
Logistic Regression,Large/Smart,,,,101850829.0,ns,2
Logistic Regression,Large/Smart,,,,95487808.0,ns,2
Logistic Regression,Large/Smart,,,,95987210.0,ns,2
Logistic Regression,Large/Smart,,,,95815309.0,ns,2
Logistic Regression,Large/Smart,,,,95189007.0,ns,2
Logistic Regression,Large/Smart,,,,95616909.0,ns,2
Logistic Regression,Large/Smart,,,,100742125.0,ns,2
Logistic Regression,Large/Smart,,,,95421308.0,ns,2
Logistic Regression,Large/Smart,,,,95750309.0,ns,2
Logistic Regression,Large/Smart,,,,96532112.0,ns,2
Logistic Regression,Large/Smart,,,,97078813.0,ns,2
Logistic Regression,Large/Smart,,,,97325214.0,ns,2
Logistic Regression,Large/Smart,,,,96752712.0,ns,2
Logistic Regression,Large/Smart,,,,96493811.0,ns,2
Logistic Regression,Large/Smart,,,,95769410.0,ns,2
Logistic Regression,Large/Smart,,,,97002713.0,ns,2
Logistic Regression,Large/Smart,,,,96615812.0,ns,2
Logistic Regression,Large/Smart,,,,95765709.0,ns,2
Logistic Regression,Large/Smart,,,,95304908.0,ns,2
Logistic Regression,Large/Smart,,,,95642209.0,ns,2
Logistic Regression,Large/Smart,,,,95399608.0,ns,2
Logistic Regression,Large/Smart,,,,95407908.0,ns,2
Logistic Regression,Large/Smart,,,,95856510.0,ns,2
Logistic Regression,Large/Smart,,,,100762626.0,ns,2
Logistic Regression,Large/Smart,,,,95990810.0,ns,2
Logistic Regression,Large/Smart,,,,95769409.0,ns,2
Logistic Regression,Large/Smart,,,,96444711.0,ns,2
Logistic Regression,Large/Smart,,,,95284907.0,ns,2
Logistic Regression,Large/Smart,,,,96026510.0,ns,2
Logistic Regression,Large/Smart,,,,95649308.0,ns,2
Logistic Regression,Large/Smart,,,,97734616.0,ns,2
Logistic Regression,Large/Smart,,,,95759709.0,ns,2
Logistic Regression,Large/Smart,,,,95601209.0,ns,2
Logistic Regression,Large/Smart,,,,97638815.0,ns,2
Logistic Regression,Large/Smart,,,,96803012.0,ns,2
Logistic Regression,Large/Smart,,,,102742132.0,ns,2
Logistic Regression,Large/Smart,,,,98526619.0,ns,2
Logistic Regression,Large/Smart,,,,98719419.0,ns,2
Logistic Regression,Large/Smart,,,,98628319.0,ns,2
Logistic Regression,Large/Smart,,,,96848013.0,ns,2
Logistic Regression,Large/Smart,,,,95904410.0,ns,2
Logistic Regression,Large/Smart,,,,98989620.0,ns,2
Logistic Regression,Large/Smart,,,,97426915.0,ns,2
Logistic Regression,Large/Smart,,,,97572115.0,ns,2
Logistic Regression,Large/Smart,,,,96069907.0,ns,2
Logistic Regression,Large/Smart,,,,96837113.0,ns,2
Logistic Regression,Large/Smart,,,,96870213.0,ns,2
Logistic Regression,Large/Smart,,,,97262116.0,ns,2
