group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Large/Smartcore,,,,75695225.0,ns,2
Logistic Regression,Large/Smartcore,,,,81184126.0,ns,2
Logistic Regression,Large/Smartcore,,,,79459626.0,ns,2
Logistic Regression,Large/Smartcore,,,,76573425.0,ns,2
Logistic Regression,Large/Smartcore,,,,77281725.0,ns,2
Logistic Regression,Large/Smartcore,,,,74397724.0,ns,2
Logistic Regression,Large/Smartcore,,,,72092623.0,ns,2
Logistic Regression,Large/Smartcore,,,,79706326.0,ns,2
Logistic Regression,Large/Smartcore,,,,81979527.0,ns,2
Logistic Regression,Large/Smartcore,,,,88606229.0,ns,2
Logistic Regression,Large/Smartcore,,,,84647127.0,ns,2
Logistic Regression,Large/Smartcore,,,,72725923.0,ns,2
Logistic Regression,Large/Smartcore,,,,70748823.0,ns,2
Logistic Regression,Large/Smartcore,,,,78040826.0,ns,2
Logistic Regression,Large/Smartcore,,,,84567028.0,ns,2
Logistic Regression,Large/Smartcore,,,,76628525.0,ns,2
Logistic Regression,Large/Smartcore,,,,82767226.0,ns,2
Logistic Regression,Large/Smartcore,,,,80591726.0,ns,2
Logistic Regression,Large/Smartcore,,,,91605329.0,ns,2
Logistic Regression,Large/Smartcore,,,,85182327.0,ns,2
Logistic Regression,Large/Smartcore,,,,76316925.0,ns,2
Logistic Regression,Large/Smartcore,,,,75969625.0,ns,2
Logistic Regression,Large/Smartcore,,,,79415426.0,ns,2
Logistic Regression,Large/Smartcore,,,,86534828.0,ns,2
Logistic Regression,Large/Smartcore,,,,80752426.0,ns,2
Logistic Regression,Large/Smartcore,,,,76871425.0,ns,2
Logistic Regression,Large/Smartcore,,,,75366224.0,ns,2
Logistic Regression,Large/Smartcore,,,,73017824.0,ns,2
Logistic Regression,Large/Smartcore,,,,74925124.0,ns,2
Logistic Regression,Large/Smartcore,,,,77085925.0,ns,2
Logistic Regression,Large/Smartcore,,,,75051024.0,ns,2
Logistic Regression,Large/Smartcore,,,,75166724.0,ns,2
Logistic Regression,Large/Smartcore,,,,75643925.0,ns,2
Logistic Regression,Large/Smartcore,,,,75293024.0,ns,2
Logistic Regression,Large/Smartcore,,,,79438725.0,ns,2
Logistic Regression,Large/Smartcore,,,,77890326.0,ns,2
Logistic Regression,Large/Smartcore,,,,72781524.0,ns,2
Logistic Regression,Large/Smartcore,,,,73723524.0,ns,2
Logistic Regression,Large/Smartcore,,,,74257124.0,ns,2
Logistic Regression,Large/Smartcore,,,,73861424.0,ns,2
Logistic Regression,Large/Smartcore,,,,73736224.0,ns,2
Logistic Regression,Large/Smartcore,,,,73270124.0,ns,2
Logistic Regression,Large/Smartcore,,,,70764623.0,ns,2
Logistic Regression,Large/Smartcore,,,,78691925.0,ns,2
Logistic Regression,Large/Smartcore,,,,71304223.0,ns,2
Logistic Regression,Large/Smartcore,,,,75787424.0,ns,2
Logistic Regression,Large/Smartcore,,,,72831324.0,ns,2
Logistic Regression,Large/Smartcore,,,,71194123.0,ns,2
