group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Linfa,,,,1183209.0,ns,6
Logistic Regression,Linfa,,,,2365516.0,ns,12
Logistic Regression,Linfa,,,,3544925.0,ns,18
Logistic Regression,Linfa,,,,4727432.0,ns,24
Logistic Regression,Linfa,,,,5916441.0,ns,30
Logistic Regression,Linfa,,,,7100550.0,ns,36
Logistic Regression,Linfa,,,,8274457.0,ns,42
Logistic Regression,Linfa,,,,9451565.0,ns,48
Logistic Regression,Linfa,,,,10652174.0,ns,54
Logistic Regression,Linfa,,,,11823582.0,ns,60
Logistic Regression,Linfa,,,,13010490.0,ns,66
Logistic Regression,Linfa,,,,14202699.0,ns,72
Logistic Regression,Linfa,,,,15407706.0,ns,78
Logistic Regression,Linfa,,,,16597015.0,ns,84
Logistic Regression,Linfa,,,,17782424.0,ns,90
Logistic Regression,Linfa,,,,18940531.0,ns,96
Logistic Regression,Linfa,,,,20111839.0,ns,102
Logistic Regression,Linfa,,,,21275648.0,ns,108
Logistic Regression,Linfa,,,,22478355.0,ns,114
Logistic Regression,Linfa,,,,23642064.0,ns,120
Logistic Regression,Linfa,,,,24828872.0,ns,126
Logistic Regression,Linfa,,,,26000880.0,ns,132
Logistic Regression,Linfa,,,,27200189.0,ns,138
Logistic Regression,Linfa,,,,28403496.0,ns,144
Logistic Regression,Linfa,,,,29578405.0,ns,150
Logistic Regression,Linfa,,,,30809014.0,ns,156
Logistic Regression,Linfa,,,,31992221.0,ns,162
Logistic Regression,Linfa,,,,33071330.0,ns,168
Logistic Regression,Linfa,,,,34266037.0,ns,174
Logistic Regression,Linfa,,,,35457246.0,ns,180
Logistic Regression,Linfa,,,,36648154.0,ns,186
Logistic Regression,Linfa,,,,37815962.0,ns,192
Logistic Regression,Linfa,,,,39038070.0,ns,198
Logistic Regression,Linfa,,,,40214879.0,ns,204
Logistic Regression,Linfa,,,,41397686.0,ns,210
Logistic Regression,Linfa,,,,42555295.0,ns,216
Logistic Regression,Linfa,,,,43699203.0,ns,222
Logistic Regression,Linfa,,,,44858911.0,ns,228
Logistic Regression,Linfa,,,,46104319.0,ns,234
Logistic Regression,Linfa,,,,47294628.0,ns,240
Logistic Regression,Linfa,,,,48537236.0,ns,246
Logistic Regression,Linfa,,,,49745045.0,ns,252
Logistic Regression,Linfa,,,,50922453.0,ns,258
Logistic Regression,Linfa,,,,52042860.0,ns,264
Logistic Regression,Linfa,,,,53223269.0,ns,270
Logistic Regression,Linfa,,,,54429677.0,ns,276
Logistic Regression,Linfa,,,,55613885.0,ns,282
Logistic Regression,Linfa,,,,56766493.0,ns,288
Logistic Regression,Linfa,,,,57947002.0,ns,294
Logistic Regression,Linfa,,,,59106809.0,ns,300
Logistic Regression,Linfa,,,,60310508.0,ns,306
Logistic Regression,Linfa,,,,61477038.0,ns,312
Logistic Regression,Linfa,,,,62678639.0,ns,318
Logistic Regression,Linfa,,,,63862340.0,ns,324
Logistic Regression,Linfa,,,,65029441.0,ns,330
Logistic Regression,Linfa,,,,66179841.0,ns,336
Logistic Regression,Linfa,,,,67368642.0,ns,342
Logistic Regression,Linfa,,,,68591243.0,ns,348
Logistic Regression,Linfa,,,,69764543.0,ns,354
Logistic Regression,Linfa,,,,70991144.0,ns,360
Logistic Regression,Linfa,,,,72126245.0,ns,366
Logistic Regression,Linfa,,,,73337446.0,ns,372
Logistic Regression,Linfa,,,,74504246.0,ns,378
Logistic Regression,Linfa,,,,75717648.0,ns,384
Logistic Regression,Linfa,,,,76857348.0,ns,390
Logistic Regression,Linfa,,,,78049848.0,ns,396
Logistic Regression,Linfa,,,,79212750.0,ns,402
Logistic Regression,Linfa,,,,80404850.0,ns,408
Logistic Regression,Linfa,,,,81579551.0,ns,414
Logistic Regression,Linfa,,,,82785451.0,ns,420
Logistic Regression,Linfa,,,,83956653.0,ns,426
Logistic Regression,Linfa,,,,85143453.0,ns,432
Logistic Regression,Linfa,,,,86331353.0,ns,438
Logistic Regression,Linfa,,,,87653755.0,ns,444
Logistic Regression,Linfa,,,,88659855.0,ns,450
Logistic Regression,Linfa,,,,89871656.0,ns,456
Logistic Regression,Linfa,,,,91060657.0,ns,462
Logistic Regression,Linfa,,,,92242858.0,ns,468
Logistic Regression,Linfa,,,,93383258.0,ns,474
Logistic Regression,Linfa,,,,94645159.0,ns,480
Logistic Regression,Linfa,,,,95744260.0,ns,486
Logistic Regression,Linfa,,,,97090060.0,ns,492
Logistic Regression,Linfa,,,,98137861.0,ns,498
Logistic Regression,Linfa,,,,99353262.0,ns,504
Logistic Regression,Linfa,,,,100520863.0,ns,510
Logistic Regression,Linfa,,,,101728763.0,ns,516
Logistic Regression,Linfa,,,,102892864.0,ns,522
Logistic Regression,Linfa,,,,104071365.0,ns,528
Logistic Regression,Linfa,,,,105194466.0,ns,534
Logistic Regression,Linfa,,,,106377766.0,ns,540
Logistic Regression,Linfa,,,,107649167.0,ns,546
Logistic Regression,Linfa,,,,108901368.0,ns,552
Logistic Regression,Linfa,,,,110038069.0,ns,558
Logistic Regression,Linfa,,,,111208969.0,ns,564
Logistic Regression,Linfa,,,,112308370.0,ns,570
Logistic Regression,Linfa,,,,113561971.0,ns,576
Logistic Regression,Linfa,,,,114719671.0,ns,582
Logistic Regression,Linfa,,,,115914573.0,ns,588
Logistic Regression,Linfa,,,,117144973.0,ns,594
Logistic Regression,Linfa,,,,118348273.0,ns,600
