group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Linfa,,,,995218.0,ns,5
Logistic Regression,Linfa,,,,1984635.0,ns,10
Logistic Regression,Linfa,,,,2962152.0,ns,15
Logistic Regression,Linfa,,,,3955370.0,ns,20
Logistic Regression,Linfa,,,,4951488.0,ns,25
Logistic Regression,Linfa,,,,5929505.0,ns,30
Logistic Regression,Linfa,,,,6920723.0,ns,35
Logistic Regression,Linfa,,,,7926541.0,ns,40
Logistic Regression,Linfa,,,,8916658.0,ns,45
Logistic Regression,Linfa,,,,9883675.0,ns,50
Logistic Regression,Linfa,,,,10872193.0,ns,55
Logistic Regression,Linfa,,,,11861410.0,ns,60
Logistic Regression,Linfa,,,,12825928.0,ns,65
Logistic Regression,Linfa,,,,13866245.0,ns,70
Logistic Regression,Linfa,,,,14848764.0,ns,75
Logistic Regression,Linfa,,,,15816380.0,ns,80
Logistic Regression,Linfa,,,,16790398.0,ns,85
Logistic Regression,Linfa,,,,17802316.0,ns,90
Logistic Regression,Linfa,,,,18843334.0,ns,95
Logistic Regression,Linfa,,,,19812351.0,ns,100
Logistic Regression,Linfa,,,,20763968.0,ns,105
Logistic Regression,Linfa,,,,21778986.0,ns,110
Logistic Regression,Linfa,,,,22747004.0,ns,115
Logistic Regression,Linfa,,,,23744021.0,ns,120
Logistic Regression,Linfa,,,,24698438.0,ns,125
Logistic Regression,Linfa,,,,25672555.0,ns,130
Logistic Regression,Linfa,,,,26614572.0,ns,135
Logistic Regression,Linfa,,,,27692091.0,ns,140
Logistic Regression,Linfa,,,,28676208.0,ns,145
Logistic Regression,Linfa,,,,29660526.0,ns,150
Logistic Regression,Linfa,,,,30629143.0,ns,155
Logistic Regression,Linfa,,,,31738063.0,ns,160
Logistic Regression,Linfa,,,,32897384.0,ns,165
Logistic Regression,Linfa,,,,33958602.0,ns,170
Logistic Regression,Linfa,,,,34653114.0,ns,175
Logistic Regression,Linfa,,,,35632432.0,ns,180
Logistic Regression,Linfa,,,,36697651.0,ns,185
Logistic Regression,Linfa,,,,37564266.0,ns,190
Logistic Regression,Linfa,,,,38540683.0,ns,195
Logistic Regression,Linfa,,,,39550402.0,ns,200
Logistic Regression,Linfa,,,,40561619.0,ns,205
Logistic Regression,Linfa,,,,41502636.0,ns,210
Logistic Regression,Linfa,,,,42537154.0,ns,215
Logistic Regression,Linfa,,,,43524972.0,ns,220
Logistic Regression,Linfa,,,,44498789.0,ns,225
Logistic Regression,Linfa,,,,45558908.0,ns,230
Logistic Regression,Linfa,,,,46443323.0,ns,235
Logistic Regression,Linfa,,,,47422541.0,ns,240
Logistic Regression,Linfa,,,,48406458.0,ns,245
Logistic Regression,Linfa,,,,49417777.0,ns,250
Logistic Regression,Linfa,,,,50431494.0,ns,255
Logistic Regression,Linfa,,,,51374111.0,ns,260
Logistic Regression,Linfa,,,,52423929.0,ns,265
Logistic Regression,Linfa,,,,53402447.0,ns,270
Logistic Regression,Linfa,,,,54381165.0,ns,275
Logistic Regression,Linfa,,,,55433683.0,ns,280
Logistic Regression,Linfa,,,,56318498.0,ns,285
Logistic Regression,Linfa,,,,57345817.0,ns,290
Logistic Regression,Linfa,,,,58382435.0,ns,295
Logistic Regression,Linfa,,,,59315651.0,ns,300
Logistic Regression,Linfa,,,,60127066.0,ns,305
Logistic Regression,Linfa,,,,61333687.0,ns,310
Logistic Regression,Linfa,,,,62267004.0,ns,315
Logistic Regression,Linfa,,,,63186920.0,ns,320
Logistic Regression,Linfa,,,,64156237.0,ns,325
Logistic Regression,Linfa,,,,65293658.0,ns,330
Logistic Regression,Linfa,,,,66422977.0,ns,335
Logistic Regression,Linfa,,,,67191391.0,ns,340
Logistic Regression,Linfa,,,,68150208.0,ns,345
Logistic Regression,Linfa,,,,69216927.0,ns,350
Logistic Regression,Linfa,,,,70236845.0,ns,355
Logistic Regression,Linfa,,,,71134761.0,ns,360
Logistic Regression,Linfa,,,,71975876.0,ns,365
Logistic Regression,Linfa,,,,72916493.0,ns,370
Logistic Regression,Linfa,,,,73932710.0,ns,375
Logistic Regression,Linfa,,,,74921028.0,ns,380
Logistic Regression,Linfa,,,,75989547.0,ns,385
Logistic Regression,Linfa,,,,77043866.0,ns,390
Logistic Regression,Linfa,,,,77865480.0,ns,395
Logistic Regression,Linfa,,,,78977000.0,ns,400
Logistic Regression,Linfa,,,,79939817.0,ns,405
Logistic Regression,Linfa,,,,80887634.0,ns,410
Logistic Regression,Linfa,,,,81757349.0,ns,415
Logistic Regression,Linfa,,,,82902470.0,ns,420
Logistic Regression,Linfa,,,,83750785.0,ns,425
Logistic Regression,Linfa,,,,84742102.0,ns,430
Logistic Regression,Linfa,,,,85734219.0,ns,435
Logistic Regression,Linfa,,,,86719837.0,ns,440
Logistic Regression,Linfa,,,,88068961.0,ns,445
Logistic Regression,Linfa,,,,88849775.0,ns,450
Logistic Regression,Linfa,,,,89723790.0,ns,455
Logistic Regression,Linfa,,,,90723809.0,ns,460
Logistic Regression,Linfa,,,,91783126.0,ns,465
Logistic Regression,Linfa,,,,92931948.0,ns,470
Logistic Regression,Linfa,,,,93739261.0,ns,475
Logistic Regression,Linfa,,,,94649578.0,ns,480
Logistic Regression,Linfa,,,,95616795.0,ns,485
Logistic Regression,Linfa,,,,96599513.0,ns,490
Logistic Regression,Linfa,,,,97519728.0,ns,495
Logistic Regression,Linfa,,,,98565947.0,ns,500
