group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Medium/Linfa,,,,70182906.0,ns,2
Logistic Regression,Medium/Linfa,,,,50778629.0,ns,2
Logistic Regression,Medium/Linfa,,,,71350424.0,ns,2
Logistic Regression,Medium/Linfa,,,,60467167.0,ns,2
Logistic Regression,Medium/Linfa,,,,72693343.0,ns,2
Logistic Regression,Medium/Linfa,,,,61174278.0,ns,2
Logistic Regression,Medium/Linfa,,,,74736472.0,ns,2
Logistic Regression,Medium/Linfa,,,,68622884.0,ns,2
Logistic Regression,Medium/Linfa,,,,72949246.0,ns,2
Logistic Regression,Medium/Linfa,,,,70202607.0,ns,2
Logistic Regression,Medium/Linfa,,,,80279452.0,ns,2
Logistic Regression,Medium/Linfa,,,,71140121.0,ns,2
Logistic Regression,Medium/Linfa,,,,70457710.0,ns,2
Logistic Regression,Medium/Linfa,,,,65401138.0,ns,2
Logistic Regression,Medium/Linfa,,,,85519127.0,ns,2
Logistic Regression,Medium/Linfa,,,,70734615.0,ns,2
Logistic Regression,Medium/Linfa,,,,68970889.0,ns,2
Logistic Regression,Medium/Linfa,,,,59910760.0,ns,2
Logistic Regression,Medium/Linfa,,,,84922718.0,ns,2
Logistic Regression,Medium/Linfa,,,,63087805.0,ns,2
Logistic Regression,Medium/Linfa,,,,64218721.0,ns,2
Logistic Regression,Medium/Linfa,,,,64891831.0,ns,2
Logistic Regression,Medium/Linfa,,,,81363068.0,ns,2
Logistic Regression,Medium/Linfa,,,,61688685.0,ns,2
Logistic Regression,Medium/Linfa,,,,77279609.0,ns,2
Logistic Regression,Medium/Linfa,,,,85227823.0,ns,2
Logistic Regression,Medium/Linfa,,,,70034704.0,ns,2
Logistic Regression,Medium/Linfa,,,,69461596.0,ns,2
Logistic Regression,Medium/Linfa,,,,67698471.0,ns,2
Logistic Regression,Medium/Linfa,,,,61395381.0,ns,2
Logistic Regression,Medium/Linfa,,,,66829758.0,ns,2
Logistic Regression,Medium/Linfa,,,,57734328.0,ns,2
Logistic Regression,Medium/Linfa,,,,58606041.0,ns,2
Logistic Regression,Medium/Linfa,,,,68556083.0,ns,2
Logistic Regression,Medium/Linfa,,,,73680857.0,ns,2
Logistic Regression,Medium/Linfa,,,,75396882.0,ns,2
Logistic Regression,Medium/Linfa,,,,68288580.0,ns,2
Logistic Regression,Medium/Linfa,,,,62909603.0,ns,2
Logistic Regression,Medium/Linfa,,,,76842702.0,ns,2
Logistic Regression,Medium/Linfa,,,,45398251.0,ns,2
Logistic Regression,Medium/Linfa,,,,52522954.0,ns,2
Logistic Regression,Medium/Linfa,,,,65347638.0,ns,2
Logistic Regression,Medium/Linfa,,,,66198050.0,ns,2
Logistic Regression,Medium/Linfa,,,,81375567.0,ns,2
Logistic Regression,Medium/Linfa,,,,72446640.0,ns,2
Logistic Regression,Medium/Linfa,,,,72996748.0,ns,2
Logistic Regression,Medium/Linfa,,,,69532498.0,ns,2
Logistic Regression,Medium/Linfa,,,,85103521.0,ns,2
Logistic Regression,Medium/Linfa,,,,71836430.0,ns,2
Logistic Regression,Medium/Linfa,,,,74355567.0,ns,2
Logistic Regression,Medium/Linfa,,,,62318094.0,ns,2
Logistic Regression,Medium/Linfa,,,,74993976.0,ns,2
Logistic Regression,Medium/Linfa,,,,69036890.0,ns,2
Logistic Regression,Medium/Linfa,,,,59172648.0,ns,2
Logistic Regression,Medium/Linfa,,,,84585713.0,ns,2
Logistic Regression,Medium/Linfa,,,,75600785.0,ns,2
Logistic Regression,Medium/Linfa,,,,59988660.0,ns,2
Logistic Regression,Medium/Linfa,,,,92439626.0,ns,2
Logistic Regression,Medium/Linfa,,,,86211937.0,ns,2
Logistic Regression,Medium/Linfa,,,,54753585.0,ns,2
Logistic Regression,Medium/Linfa,,,,70782215.0,ns,2
Logistic Regression,Medium/Linfa,,,,74715471.0,ns,2
Logistic Regression,Medium/Linfa,,,,79313638.0,ns,2
Logistic Regression,Medium/Linfa,,,,63766315.0,ns,2
Logistic Regression,Medium/Linfa,,,,84319410.0,ns,2
Logistic Regression,Medium/Linfa,,,,89938490.0,ns,2
Logistic Regression,Medium/Linfa,,,,64837730.0,ns,2
Logistic Regression,Medium/Linfa,,,,64724228.0,ns,2
Logistic Regression,Medium/Linfa,,,,59749857.0,ns,2
Logistic Regression,Medium/Linfa,,,,61627884.0,ns,2
Logistic Regression,Medium/Linfa,,,,68305880.0,ns,2
Logistic Regression,Medium/Linfa,,,,73298351.0,ns,2
Logistic Regression,Medium/Linfa,,,,55545396.0,ns,2
Logistic Regression,Medium/Linfa,,,,71965132.0,ns,2
Logistic Regression,Medium/Linfa,,,,77070306.0,ns,2
Logistic Regression,Medium/Linfa,,,,54366780.0,ns,2
Logistic Regression,Medium/Linfa,,,,73211450.0,ns,2
Logistic Regression,Medium/Linfa,,,,74179764.0,ns,2
Logistic Regression,Medium/Linfa,,,,62816601.0,ns,2
Logistic Regression,Medium/Linfa,,,,71320823.0,ns,2
Logistic Regression,Medium/Linfa,,,,80719658.0,ns,2
Logistic Regression,Medium/Linfa,,,,66243951.0,ns,2
Logistic Regression,Medium/Linfa,,,,101433655.0,ns,2
Logistic Regression,Medium/Linfa,,,,53799572.0,ns,2
Logistic Regression,Medium/Linfa,,,,68582084.0,ns,2
Logistic Regression,Medium/Linfa,,,,75973490.0,ns,2
Logistic Regression,Medium/Linfa,,,,84801317.0,ns,2
Logistic Regression,Medium/Linfa,,,,72532841.0,ns,2
Logistic Regression,Medium/Linfa,,,,77791116.0,ns,2
Logistic Regression,Medium/Linfa,,,,66584455.0,ns,2
Logistic Regression,Medium/Linfa,,,,58335136.0,ns,2
Logistic Regression,Medium/Linfa,,,,56417309.0,ns,2
Logistic Regression,Medium/Linfa,,,,63346009.0,ns,2
Logistic Regression,Medium/Linfa,,,,58525340.0,ns,2
Logistic Regression,Medium/Linfa,,,,64726229.0,ns,2
Logistic Regression,Medium/Linfa,,,,79697043.0,ns,2
Logistic Regression,Medium/Linfa,,,,75788087.0,ns,2
Logistic Regression,Medium/Linfa,,,,63251707.0,ns,2
Logistic Regression,Medium/Linfa,,,,65655941.0,ns,2
Logistic Regression,Medium/Linfa,,,,77077506.0,ns,2
