group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Medium/Linfa,,,,65609206.0,ns,2
Logistic Regression,Medium/Linfa,,,,69296062.0,ns,2
Logistic Regression,Medium/Linfa,,,,70371479.0,ns,2
Logistic Regression,Medium/Linfa,,,,87145736.0,ns,2
Logistic Regression,Medium/Linfa,,,,67898041.0,ns,2
Logistic Regression,Medium/Linfa,,,,87328638.0,ns,2
Logistic Regression,Medium/Linfa,,,,39157900.0,ns,2
Logistic Regression,Medium/Linfa,,,,67647237.0,ns,2
Logistic Regression,Medium/Linfa,,,,65424104.0,ns,2
Logistic Regression,Medium/Linfa,,,,75911964.0,ns,2
Logistic Regression,Medium/Linfa,,,,79070312.0,ns,2
Logistic Regression,Medium/Linfa,,,,88453056.0,ns,2
Logistic Regression,Medium/Linfa,,,,87581943.0,ns,2
Logistic Regression,Medium/Linfa,,,,70810786.0,ns,2
Logistic Regression,Medium/Linfa,,,,77885994.0,ns,2
Logistic Regression,Medium/Linfa,,,,68159245.0,ns,2
Logistic Regression,Medium/Linfa,,,,77223984.0,ns,2
Logistic Regression,Medium/Linfa,,,,88579458.0,ns,2
Logistic Regression,Medium/Linfa,,,,69006758.0,ns,2
Logistic Regression,Medium/Linfa,,,,72257608.0,ns,2
Logistic Regression,Medium/Linfa,,,,68364149.0,ns,2
Logistic Regression,Medium/Linfa,,,,74955549.0,ns,2
Logistic Regression,Medium/Linfa,,,,68918157.0,ns,2
Logistic Regression,Medium/Linfa,,,,62260955.0,ns,2
Logistic Regression,Medium/Linfa,,,,64875095.0,ns,2
Logistic Regression,Medium/Linfa,,,,70147475.0,ns,2
Logistic Regression,Medium/Linfa,,,,78263100.0,ns,2
Logistic Regression,Medium/Linfa,,,,72437610.0,ns,2
Logistic Regression,Medium/Linfa,,,,75079651.0,ns,2
Logistic Regression,Medium/Linfa,,,,69196561.0,ns,2
Logistic Regression,Medium/Linfa,,,,65458103.0,ns,2
Logistic Regression,Medium/Linfa,,,,81055843.0,ns,2
Logistic Regression,Medium/Linfa,,,,54633838.0,ns,2
Logistic Regression,Medium/Linfa,,,,60636729.0,ns,2
Logistic Regression,Medium/Linfa,,,,81995057.0,ns,2
Logistic Regression,Medium/Linfa,,,,78967911.0,ns,2
Logistic Regression,Medium/Linfa,,,,63222969.0,ns,2
Logistic Regression,Medium/Linfa,,,,70035074.0,ns,2
Logistic Regression,Medium/Linfa,,,,83275276.0,ns,2
