group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Medium/Smart,,,,1872226.0,ns,1
Logistic Regression,Medium/Smart,,,,3708152.0,ns,2
Logistic Regression,Medium/Smart,,,,5559178.0,ns,3
Logistic Regression,Medium/Smart,,,,7402703.0,ns,4
Logistic Regression,Medium/Smart,,,,9247529.0,ns,5
Logistic Regression,Medium/Smart,,,,10355645.0,ns,6
Logistic Regression,Medium/Smart,,,,12990681.0,ns,7
Logistic Regression,Medium/Smart,,,,14811307.0,ns,8
Logistic Regression,Medium/Smart,,,,16655132.0,ns,9
Logistic Regression,Medium/Smart,,,,18519459.0,ns,10
Logistic Regression,Medium/Smart,,,,20357985.0,ns,11
Logistic Regression,Medium/Smart,,,,22218410.0,ns,12
Logistic Regression,Medium/Smart,,,,24062336.0,ns,13
Logistic Regression,Medium/Smart,,,,25951162.0,ns,14
Logistic Regression,Medium/Smart,,,,27747987.0,ns,15
Logistic Regression,Medium/Smart,,,,29608113.0,ns,16
Logistic Regression,Medium/Smart,,,,31432339.0,ns,17
Logistic Regression,Medium/Smart,,,,33306165.0,ns,18
Logistic Regression,Medium/Smart,,,,32760558.0,ns,19
Logistic Regression,Medium/Smart,,,,34466581.0,ns,20
Logistic Regression,Medium/Smart,,,,36195405.0,ns,21
Logistic Regression,Medium/Smart,,,,40682968.0,ns,22
Logistic Regression,Medium/Smart,,,,42533594.0,ns,23
Logistic Regression,Medium/Smart,,,,44410220.0,ns,24
Logistic Regression,Medium/Smart,,,,46219945.0,ns,25
Logistic Regression,Medium/Smart,,,,48108772.0,ns,26
Logistic Regression,Medium/Smart,,,,49928997.0,ns,27
Logistic Regression,Medium/Smart,,,,51806124.0,ns,28
Logistic Regression,Medium/Smart,,,,53595348.0,ns,29
Logistic Regression,Medium/Smart,,,,51693522.0,ns,30
Logistic Regression,Medium/Smart,,,,53400246.0,ns,31
Logistic Regression,Medium/Smart,,,,55139769.0,ns,32
Logistic Regression,Medium/Smart,,,,61065053.0,ns,33
Logistic Regression,Medium/Smart,,,,58637219.0,ns,34
Logistic Regression,Medium/Smart,,,,64730703.0,ns,35
Logistic Regression,Medium/Smart,,,,66603230.0,ns,36
Logistic Regression,Medium/Smart,,,,68453756.0,ns,37
Logistic Regression,Medium/Smart,,,,70246781.0,ns,38
Logistic Regression,Medium/Smart,,,,72200408.0,ns,39
Logistic Regression,Medium/Smart,,,,73993933.0,ns,40
Logistic Regression,Medium/Smart,,,,75823059.0,ns,41
Logistic Regression,Medium/Smart,,,,77639884.0,ns,42
Logistic Regression,Medium/Smart,,,,79546210.0,ns,43
Logistic Regression,Medium/Smart,,,,81385236.0,ns,44
Logistic Regression,Medium/Smart,,,,77504182.0,ns,45
Logistic Regression,Medium/Smart,,,,85131689.0,ns,46
Logistic Regression,Medium/Smart,,,,86908613.0,ns,47
Logistic Regression,Medium/Smart,,,,88800340.0,ns,48
Logistic Regression,Medium/Smart,,,,90649766.0,ns,49
Logistic Regression,Medium/Smart,,,,92469591.0,ns,50
Logistic Regression,Medium/Smart,,,,94339317.0,ns,51
Logistic Regression,Medium/Smart,,,,96176743.0,ns,52
Logistic Regression,Medium/Smart,,,,91340375.0,ns,53
Logistic Regression,Medium/Smart,,,,100200199.0,ns,54
Logistic Regression,Medium/Smart,,,,101684019.0,ns,55
Logistic Regression,Medium/Smart,,,,103588246.0,ns,56
Logistic Regression,Medium/Smart,,,,105471473.0,ns,57
Logistic Regression,Medium/Smart,,,,107275297.0,ns,58
Logistic Regression,Medium/Smart,,,,109072322.0,ns,59
Logistic Regression,Medium/Smart,,,,110923648.0,ns,60
Logistic Regression,Medium/Smart,,,,112810574.0,ns,61
Logistic Regression,Medium/Smart,,,,114698401.0,ns,62
Logistic Regression,Medium/Smart,,,,116469625.0,ns,63
Logistic Regression,Medium/Smart,,,,110278039.0,ns,64
Logistic Regression,Medium/Smart,,,,120140277.0,ns,65
Logistic Regression,Medium/Smart,,,,122061404.0,ns,66
Logistic Regression,Medium/Smart,,,,123847328.0,ns,67
Logistic Regression,Medium/Smart,,,,125764256.0,ns,68
Logistic Regression,Medium/Smart,,,,127519981.0,ns,69
Logistic Regression,Medium/Smart,,,,129460007.0,ns,70
Logistic Regression,Medium/Smart,,,,131266132.0,ns,71
Logistic Regression,Medium/Smart,,,,124010931.0,ns,72
Logistic Regression,Medium/Smart,,,,135048985.0,ns,73
Logistic Regression,Medium/Smart,,,,127501580.0,ns,74
Logistic Regression,Medium/Smart,,,,138658836.0,ns,75
Logistic Regression,Medium/Smart,,,,140592163.0,ns,76
Logistic Regression,Medium/Smart,,,,142328287.0,ns,77
Logistic Regression,Medium/Smart,,,,144309515.0,ns,78
Logistic Regression,Medium/Smart,,,,146139640.0,ns,79
Logistic Regression,Medium/Smart,,,,147977266.0,ns,80
