group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Medium/Smart,,,,1518121.0,ns,1
Logistic Regression,Medium/Smart,,,,3112743.0,ns,2
Logistic Regression,Medium/Smart,,,,4561564.0,ns,3
Logistic Regression,Medium/Smart,,,,6070485.0,ns,4
Logistic Regression,Medium/Smart,,,,7596006.0,ns,5
Logistic Regression,Medium/Smart,,,,8615021.0,ns,6
Logistic Regression,Medium/Smart,,,,10624949.0,ns,7
Logistic Regression,Medium/Smart,,,,12248572.0,ns,8
Logistic Regression,Medium/Smart,,,,13661792.0,ns,9
Logistic Regression,Medium/Smart,,,,15168613.0,ns,10
Logistic Regression,Medium/Smart,,,,15827922.0,ns,11
Logistic Regression,Medium/Smart,,,,18223055.0,ns,12
Logistic Regression,Medium/Smart,,,,19803777.0,ns,13
Logistic Regression,Medium/Smart,,,,21365600.0,ns,14
Logistic Regression,Medium/Smart,,,,22767820.0,ns,15
Logistic Regression,Medium/Smart,,,,24260940.0,ns,16
Logistic Regression,Medium/Smart,,,,26013864.0,ns,17
Logistic Regression,Medium/Smart,,,,27741489.0,ns,18
Logistic Regression,Medium/Smart,,,,28951805.0,ns,19
Logistic Regression,Medium/Smart,,,,30358226.0,ns,20
Logistic Regression,Medium/Smart,,,,30132122.0,ns,21
Logistic Regression,Medium/Smart,,,,33572070.0,ns,22
Logistic Regression,Medium/Smart,,,,32992162.0,ns,23
Logistic Regression,Medium/Smart,,,,36484611.0,ns,24
Logistic Regression,Medium/Smart,,,,38030833.0,ns,25
Logistic Regression,Medium/Smart,,,,39806858.0,ns,26
Logistic Regression,Medium/Smart,,,,41077976.0,ns,27
Logistic Regression,Medium/Smart,,,,42463996.0,ns,28
Logistic Regression,Medium/Smart,,,,44588925.0,ns,29
Logistic Regression,Medium/Smart,,,,45640840.0,ns,30
Logistic Regression,Medium/Smart,,,,47249763.0,ns,31
Logistic Regression,Medium/Smart,,,,48547980.0,ns,32
Logistic Regression,Medium/Smart,,,,50249604.0,ns,33
Logistic Regression,Medium/Smart,,,,51574923.0,ns,34
Logistic Regression,Medium/Smart,,,,53112545.0,ns,35
Logistic Regression,Medium/Smart,,,,54949271.0,ns,36
Logistic Regression,Medium/Smart,,,,56233289.0,ns,37
Logistic Regression,Medium/Smart,,,,57663909.0,ns,38
Logistic Regression,Medium/Smart,,,,59365332.0,ns,39
Logistic Regression,Medium/Smart,,,,60701651.0,ns,40
Logistic Regression,Medium/Smart,,,,58961627.0,ns,41
Logistic Regression,Medium/Smart,,,,60290946.0,ns,42
Logistic Regression,Medium/Smart,,,,65222915.0,ns,43
Logistic Regression,Medium/Smart,,,,66756536.0,ns,44
Logistic Regression,Medium/Smart,,,,68332758.0,ns,45
Logistic Regression,Medium/Smart,,,,69913980.0,ns,46
Logistic Regression,Medium/Smart,,,,71509702.0,ns,47
Logistic Regression,Medium/Smart,,,,72759720.0,ns,48
Logistic Regression,Medium/Smart,,,,74288241.0,ns,49
Logistic Regression,Medium/Smart,,,,71828707.0,ns,50
Logistic Regression,Medium/Smart,,,,77318084.0,ns,51
Logistic Regression,Medium/Smart,,,,78963506.0,ns,52
Logistic Regression,Medium/Smart,,,,80397127.0,ns,53
Logistic Regression,Medium/Smart,,,,82002349.0,ns,54
Logistic Regression,Medium/Smart,,,,83342068.0,ns,55
Logistic Regression,Medium/Smart,,,,84882290.0,ns,56
Logistic Regression,Medium/Smart,,,,86412912.0,ns,57
Logistic Regression,Medium/Smart,,,,88011733.0,ns,58
Logistic Regression,Medium/Smart,,,,89652157.0,ns,59
Logistic Regression,Medium/Smart,,,,91183179.0,ns,60
Logistic Regression,Medium/Smart,,,,92723599.0,ns,61
Logistic Regression,Medium/Smart,,,,94258521.0,ns,62
Logistic Regression,Medium/Smart,,,,95542739.0,ns,63
Logistic Regression,Medium/Smart,,,,97154762.0,ns,64
Logistic Regression,Medium/Smart,,,,98634282.0,ns,65
Logistic Regression,Medium/Smart,,,,100828713.0,ns,66
Logistic Regression,Medium/Smart,,,,101588024.0,ns,67
Logistic Regression,Medium/Smart,,,,103211747.0,ns,68
Logistic Regression,Medium/Smart,,,,104645866.0,ns,69
Logistic Regression,Medium/Smart,,,,106173289.0,ns,70
Logistic Regression,Medium/Smart,,,,107754311.0,ns,71
Logistic Regression,Medium/Smart,,,,109277732.0,ns,72
Logistic Regression,Medium/Smart,,,,111617865.0,ns,73
Logistic Regression,Medium/Smart,,,,112367575.0,ns,74
Logistic Regression,Medium/Smart,,,,114029398.0,ns,75
Logistic Regression,Medium/Smart,,,,115649521.0,ns,76
Logistic Regression,Medium/Smart,,,,117138742.0,ns,77
Logistic Regression,Medium/Smart,,,,118817266.0,ns,78
Logistic Regression,Medium/Smart,,,,113140186.0,ns,79
Logistic Regression,Medium/Smart,,,,121256700.0,ns,80
Logistic Regression,Medium/Smart,,,,122753620.0,ns,81
Logistic Regression,Medium/Smart,,,,124394144.0,ns,82
Logistic Regression,Medium/Smart,,,,119033368.0,ns,83
Logistic Regression,Medium/Smart,,,,127559988.0,ns,84
Logistic Regression,Medium/Smart,,,,129759419.0,ns,85
Logistic Regression,Medium/Smart,,,,130415128.0,ns,86
Logistic Regression,Medium/Smart,,,,131964650.0,ns,87
Logistic Regression,Medium/Smart,,,,133996879.0,ns,88
Logistic Regression,Medium/Smart,,,,135426599.0,ns,89
