group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Medium/Smartcore,,,,1626307.0,ns,1
Logistic Regression,Medium/Smartcore,,,,3261913.0,ns,2
Logistic Regression,Medium/Smartcore,,,,4848519.0,ns,3
Logistic Regression,Medium/Smartcore,,,,6457925.0,ns,4
Logistic Regression,Medium/Smartcore,,,,8123033.0,ns,5
Logistic Regression,Medium/Smartcore,,,,9694438.0,ns,6
Logistic Regression,Medium/Smartcore,,,,11311745.0,ns,7
Logistic Regression,Medium/Smartcore,,,,12123748.0,ns,8
Logistic Regression,Medium/Smartcore,,,,14534558.0,ns,9
Logistic Regression,Medium/Smartcore,,,,16264365.0,ns,10
Logistic Regression,Medium/Smartcore,,,,17826871.0,ns,11
Logistic Regression,Medium/Smartcore,,,,18334373.0,ns,12
Logistic Regression,Medium/Smartcore,,,,21017284.0,ns,13
Logistic Regression,Medium/Smartcore,,,,22615690.0,ns,14
Logistic Regression,Medium/Smartcore,,,,24185697.0,ns,15
Logistic Regression,Medium/Smartcore,,,,26008903.0,ns,16
Logistic Regression,Medium/Smartcore,,,,27583009.0,ns,17
Logistic Regression,Medium/Smartcore,,,,29129615.0,ns,18
Logistic Regression,Medium/Smartcore,,,,30738622.0,ns,19
Logistic Regression,Medium/Smartcore,,,,32271329.0,ns,20
Logistic Regression,Medium/Smartcore,,,,33889635.0,ns,21
Logistic Regression,Medium/Smartcore,,,,35439241.0,ns,22
Logistic Regression,Medium/Smartcore,,,,34917339.0,ns,23
Logistic Regression,Medium/Smartcore,,,,38884455.0,ns,24
Logistic Regression,Medium/Smartcore,,,,40305361.0,ns,25
Logistic Regression,Medium/Smartcore,,,,41899467.0,ns,26
Logistic Regression,Medium/Smartcore,,,,43521873.0,ns,27
Logistic Regression,Medium/Smartcore,,,,45433181.0,ns,28
Logistic Regression,Medium/Smartcore,,,,44002476.0,ns,29
Logistic Regression,Medium/Smartcore,,,,48402992.0,ns,30
Logistic Regression,Medium/Smartcore,,,,50046099.0,ns,31
Logistic Regression,Medium/Smartcore,,,,51676305.0,ns,32
Logistic Regression,Medium/Smartcore,,,,50119199.0,ns,33
Logistic Regression,Medium/Smartcore,,,,54879519.0,ns,34
Logistic Regression,Medium/Smartcore,,,,56479025.0,ns,35
Logistic Regression,Medium/Smartcore,,,,58447233.0,ns,36
Logistic Regression,Medium/Smartcore,,,,59693738.0,ns,37
Logistic Regression,Medium/Smartcore,,,,61339044.0,ns,38
Logistic Regression,Medium/Smartcore,,,,62831150.0,ns,39
Logistic Regression,Medium/Smartcore,,,,65089359.0,ns,40
Logistic Regression,Medium/Smartcore,,,,66078663.0,ns,41
Logistic Regression,Medium/Smartcore,,,,67641470.0,ns,42
Logistic Regression,Medium/Smartcore,,,,69246476.0,ns,43
Logistic Regression,Medium/Smartcore,,,,70931582.0,ns,44
Logistic Regression,Medium/Smartcore,,,,72546389.0,ns,45
Logistic Regression,Medium/Smartcore,,,,74239196.0,ns,46
Logistic Regression,Medium/Smartcore,,,,75835502.0,ns,47
Logistic Regression,Medium/Smartcore,,,,77406109.0,ns,48
Logistic Regression,Medium/Smartcore,,,,79269115.0,ns,49
Logistic Regression,Medium/Smartcore,,,,80730021.0,ns,50
Logistic Regression,Medium/Smartcore,,,,82493247.0,ns,51
Logistic Regression,Medium/Smartcore,,,,84279691.0,ns,52
Logistic Regression,Medium/Smartcore,,,,85932798.0,ns,53
Logistic Regression,Medium/Smartcore,,,,87011703.0,ns,54
Logistic Regression,Medium/Smartcore,,,,88780611.0,ns,55
Logistic Regression,Medium/Smartcore,,,,90063317.0,ns,56
Logistic Regression,Medium/Smartcore,,,,92174327.0,ns,57
Logistic Regression,Medium/Smartcore,,,,93880535.0,ns,58
Logistic Regression,Medium/Smartcore,,,,89289514.0,ns,59
Logistic Regression,Medium/Smartcore,,,,96608748.0,ns,60
Logistic Regression,Medium/Smartcore,,,,98377856.0,ns,61
Logistic Regression,Medium/Smartcore,,,,94091236.0,ns,62
Logistic Regression,Medium/Smartcore,,,,101960572.0,ns,63
Logistic Regression,Medium/Smartcore,,,,97475552.0,ns,64
Logistic Regression,Medium/Smartcore,,,,104621985.0,ns,65
Logistic Regression,Medium/Smartcore,,,,106690095.0,ns,66
Logistic Regression,Medium/Smartcore,,,,109584408.0,ns,67
Logistic Regression,Medium/Smartcore,,,,110712313.0,ns,68
Logistic Regression,Medium/Smartcore,,,,112392621.0,ns,69
Logistic Regression,Medium/Smartcore,,,,112901623.0,ns,70
Logistic Regression,Medium/Smartcore,,,,114871632.0,ns,71
Logistic Regression,Medium/Smartcore,,,,116001438.0,ns,72
Logistic Regression,Medium/Smartcore,,,,117905346.0,ns,73
Logistic Regression,Medium/Smartcore,,,,112203820.0,ns,74
Logistic Regression,Medium/Smartcore,,,,120921460.0,ns,75
Logistic Regression,Medium/Smartcore,,,,122508268.0,ns,76
Logistic Regression,Medium/Smartcore,,,,124192276.0,ns,77
Logistic Regression,Medium/Smartcore,,,,125980684.0,ns,78
Logistic Regression,Medium/Smartcore,,,,127727292.0,ns,79
Logistic Regression,Medium/Smartcore,,,,129253799.0,ns,80
Logistic Regression,Medium/Smartcore,,,,131197608.0,ns,81
Logistic Regression,Medium/Smartcore,,,,132088712.0,ns,82
Logistic Regression,Medium/Smartcore,,,,133888521.0,ns,83
Logistic Regression,Medium/Smartcore,,,,135748229.0,ns,84
Logistic Regression,Medium/Smartcore,,,,137419536.0,ns,85
Logistic Regression,Medium/Smartcore,,,,139166945.0,ns,86
Logistic Regression,Medium/Smartcore,,,,141204354.0,ns,87
Logistic Regression,Medium/Smartcore,,,,142424660.0,ns,88
Logistic Regression,Medium/Smartcore,,,,144214769.0,ns,89
Logistic Regression,Medium/Smartcore,,,,145623174.0,ns,90
Logistic Regression,Medium/Smartcore,,,,146805881.0,ns,91
Logistic Regression,Medium/Smartcore,,,,148841689.0,ns,92
Logistic Regression,Medium/Smartcore,,,,149863795.0,ns,93
