group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Medium/Smartcore,,,,2027901.0,ns,1
Logistic Regression,Medium/Smartcore,,,,3499401.0,ns,2
Logistic Regression,Medium/Smartcore,,,,5113802.0,ns,3
Logistic Regression,Medium/Smartcore,,,,6623403.0,ns,4
Logistic Regression,Medium/Smartcore,,,,8641704.0,ns,5
Logistic Regression,Medium/Smartcore,,,,10227204.0,ns,6
Logistic Regression,Medium/Smartcore,,,,12018905.0,ns,7
Logistic Regression,Medium/Smartcore,,,,13656905.0,ns,8
Logistic Regression,Medium/Smartcore,,,,14988606.0,ns,9
Logistic Regression,Medium/Smartcore,,,,17563907.0,ns,10
Logistic Regression,Medium/Smartcore,,,,16967306.0,ns,11
Logistic Regression,Medium/Smartcore,,,,19145708.0,ns,12
Logistic Regression,Medium/Smartcore,,,,21862609.0,ns,13
Logistic Regression,Medium/Smartcore,,,,23603310.0,ns,14
Logistic Regression,Medium/Smartcore,,,,31318113.0,ns,15
Logistic Regression,Medium/Smartcore,,,,27337211.0,ns,16
Logistic Regression,Medium/Smartcore,,,,27360611.0,ns,17
Logistic Regression,Medium/Smartcore,,,,31796613.0,ns,18
Logistic Regression,Medium/Smartcore,,,,30293912.0,ns,19
Logistic Regression,Medium/Smartcore,,,,32484413.0,ns,20
Logistic Regression,Medium/Smartcore,,,,34627214.0,ns,21
Logistic Regression,Medium/Smartcore,,,,33617213.0,ns,22
Logistic Regression,Medium/Smartcore,,,,37382915.0,ns,23
Logistic Regression,Medium/Smartcore,,,,39723916.0,ns,24
Logistic Regression,Medium/Smartcore,,,,41714217.0,ns,25
Logistic Regression,Medium/Smartcore,,,,42673717.0,ns,26
Logistic Regression,Medium/Smartcore,,,,42249217.0,ns,27
Logistic Regression,Medium/Smartcore,,,,44082117.0,ns,28
Logistic Regression,Medium/Smartcore,,,,43871517.0,ns,29
Logistic Regression,Medium/Smartcore,,,,49283120.0,ns,30
Logistic Regression,Medium/Smartcore,,,,48416720.0,ns,31
Logistic Regression,Medium/Smartcore,,,,52076521.0,ns,32
Logistic Regression,Medium/Smartcore,,,,58349024.0,ns,33
Logistic Regression,Medium/Smartcore,,,,57852424.0,ns,34
Logistic Regression,Medium/Smartcore,,,,57332223.0,ns,35
Logistic Regression,Medium/Smartcore,,,,57877924.0,ns,36
Logistic Regression,Medium/Smartcore,,,,62989526.0,ns,37
Logistic Regression,Medium/Smartcore,,,,68121828.0,ns,38
Logistic Regression,Medium/Smartcore,,,,64009126.0,ns,39
Logistic Regression,Medium/Smartcore,,,,64770026.0,ns,40
Logistic Regression,Medium/Smartcore,,,,73443729.0,ns,41
Logistic Regression,Medium/Smartcore,,,,69256328.0,ns,42
Logistic Regression,Medium/Smartcore,,,,67194327.0,ns,43
Logistic Regression,Medium/Smartcore,,,,70903028.0,ns,44
Logistic Regression,Medium/Smartcore,,,,77709031.0,ns,45
Logistic Regression,Medium/Smartcore,,,,75572931.0,ns,46
Logistic Regression,Medium/Smartcore,,,,81943133.0,ns,47
Logistic Regression,Medium/Smartcore,,,,71391229.0,ns,48
Logistic Regression,Medium/Smartcore,,,,77328031.0,ns,49
Logistic Regression,Medium/Smartcore,,,,83831634.0,ns,50
Logistic Regression,Medium/Smartcore,,,,87607135.0,ns,51
Logistic Regression,Medium/Smartcore,,,,85198135.0,ns,52
Logistic Regression,Medium/Smartcore,,,,90529637.0,ns,53
Logistic Regression,Medium/Smartcore,,,,90000237.0,ns,54
Logistic Regression,Medium/Smartcore,,,,84435630.0,ns,55
Logistic Regression,Medium/Smartcore,,,,91811931.0,ns,56
Logistic Regression,Medium/Smartcore,,,,97108833.0,ns,57
Logistic Regression,Medium/Smartcore,,,,95735033.0,ns,58
Logistic Regression,Medium/Smartcore,,,,90771331.0,ns,59
Logistic Regression,Medium/Smartcore,,,,100640235.0,ns,60
Logistic Regression,Medium/Smartcore,,,,91434631.0,ns,61
Logistic Regression,Medium/Smartcore,,,,110142738.0,ns,62
Logistic Regression,Medium/Smartcore,,,,115009339.0,ns,63
Logistic Regression,Medium/Smartcore,,,,111041438.0,ns,64
Logistic Regression,Medium/Smartcore,,,,111037838.0,ns,65
Logistic Regression,Medium/Smartcore,,,,112425739.0,ns,66
Logistic Regression,Medium/Smartcore,,,,111018438.0,ns,67
Logistic Regression,Medium/Smartcore,,,,113649839.0,ns,68
Logistic Regression,Medium/Smartcore,,,,115976240.0,ns,69
Logistic Regression,Medium/Smartcore,,,,108449437.0,ns,70
Logistic Regression,Medium/Smartcore,,,,127145544.0,ns,71
Logistic Regression,Medium/Smartcore,,,,111421438.0,ns,72
Logistic Regression,Medium/Smartcore,,,,110419538.0,ns,73
Logistic Regression,Medium/Smartcore,,,,110201037.0,ns,74
Logistic Regression,Medium/Smartcore,,,,124826542.0,ns,75
