group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Small/Linfa,,,,1985400.0,ns,1
Logistic Regression,Small/Linfa,,,,3341002.0,ns,2
Logistic Regression,Small/Linfa,,,,4659502.0,ns,3
Logistic Regression,Small/Linfa,,,,8482204.0,ns,4
Logistic Regression,Small/Linfa,,,,7037503.0,ns,5
Logistic Regression,Small/Linfa,,,,10127404.0,ns,6
Logistic Regression,Small/Linfa,,,,16206707.0,ns,7
Logistic Regression,Small/Linfa,,,,13639106.0,ns,8
Logistic Regression,Small/Linfa,,,,15708507.0,ns,9
Logistic Regression,Small/Linfa,,,,23377510.0,ns,10
Logistic Regression,Small/Linfa,,,,27280612.0,ns,11
Logistic Regression,Small/Linfa,,,,23228810.0,ns,12
Logistic Regression,Small/Linfa,,,,25342711.0,ns,13
Logistic Regression,Small/Linfa,,,,23095211.0,ns,14
Logistic Regression,Small/Linfa,,,,25800211.0,ns,15
Logistic Regression,Small/Linfa,,,,27058512.0,ns,16
Logistic Regression,Small/Linfa,,,,27296212.0,ns,17
Logistic Regression,Small/Linfa,,,,37028016.0,ns,18
Logistic Regression,Small/Linfa,,,,33488414.0,ns,19
Logistic Regression,Small/Linfa,,,,34632815.0,ns,20
Logistic Regression,Small/Linfa,,,,49360422.0,ns,21
Logistic Regression,Small/Linfa,,,,41705918.0,ns,22
Logistic Regression,Small/Linfa,,,,45225020.0,ns,23
Logistic Regression,Small/Linfa,,,,29952213.0,ns,24
Logistic Regression,Small/Linfa,,,,54916624.0,ns,25
Logistic Regression,Small/Linfa,,,,44521720.0,ns,26
Logistic Regression,Small/Linfa,,,,50469922.0,ns,27
Logistic Regression,Small/Linfa,,,,56947924.0,ns,28
Logistic Regression,Small/Linfa,,,,55408225.0,ns,29
Logistic Regression,Small/Linfa,,,,58069025.0,ns,30
Logistic Regression,Small/Linfa,,,,56885325.0,ns,31
Logistic Regression,Small/Linfa,,,,31676214.0,ns,32
