group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Small/Linfa,,,,1857967.0,ns,1
Logistic Regression,Small/Linfa,,,,3852745.0,ns,2
Logistic Regression,Small/Linfa,,,,3948254.0,ns,3
Logistic Regression,Small/Linfa,,,,7056333.0,ns,4
Logistic Regression,Small/Linfa,,,,8012020.0,ns,5
Logistic Regression,Small/Linfa,,,,9147722.0,ns,6
Logistic Regression,Small/Linfa,,,,14396992.0,ns,7
Logistic Regression,Small/Linfa,,,,17782697.0,ns,8
Logistic Regression,Small/Linfa,,,,20592649.0,ns,9
Logistic Regression,Small/Linfa,,,,18049820.0,ns,10
Logistic Regression,Small/Linfa,,,,16174652.0,ns,11
Logistic Regression,Small/Linfa,,,,21426824.0,ns,12
Logistic Regression,Small/Linfa,,,,23926247.0,ns,13
Logistic Regression,Small/Linfa,,,,21509631.0,ns,14
Logistic Regression,Small/Linfa,,,,29488847.0,ns,15
Logistic Regression,Small/Linfa,,,,29981891.0,ns,16
Logistic Regression,Small/Linfa,,,,22040779.0,ns,17
Logistic Regression,Small/Linfa,,,,29094911.0,ns,18
Logistic Regression,Small/Linfa,,,,31737149.0,ns,19
Logistic Regression,Small/Linfa,,,,36131343.0,ns,20
Logistic Regression,Small/Linfa,,,,39560351.0,ns,21
Logistic Regression,Small/Linfa,,,,44414387.0,ns,22
Logistic Regression,Small/Linfa,,,,44137262.0,ns,23
Logistic Regression,Small/Linfa,,,,47480363.0,ns,24
Logistic Regression,Small/Linfa,,,,36472474.0,ns,25
Logistic Regression,Small/Linfa,,,,40166705.0,ns,26
Logistic Regression,Small/Linfa,,,,59966483.0,ns,27
Logistic Regression,Small/Linfa,,,,40099600.0,ns,28
Logistic Regression,Small/Linfa,,,,36667991.0,ns,29
Logistic Regression,Small/Linfa,,,,53507004.0,ns,30
Logistic Regression,Small/Linfa,,,,46112439.0,ns,31
Logistic Regression,Small/Linfa,,,,36399067.0,ns,32
Logistic Regression,Small/Linfa,,,,42792842.0,ns,33
Logistic Regression,Small/Linfa,,,,34447393.0,ns,34
Logistic Regression,Small/Linfa,,,,47197837.0,ns,35
Logistic Regression,Small/Linfa,,,,56340557.0,ns,36
Logistic Regression,Small/Linfa,,,,56529175.0,ns,37
Logistic Regression,Small/Linfa,,,,71502919.0,ns,38
Logistic Regression,Small/Linfa,,,,64522592.0,ns,39
Logistic Regression,Small/Linfa,,,,54409284.0,ns,40
Logistic Regression,Small/Linfa,,,,51219498.0,ns,41
Logistic Regression,Small/Linfa,,,,94714802.0,ns,42
Logistic Regression,Small/Linfa,,,,71814229.0,ns,43
Logistic Regression,Small/Linfa,,,,71515503.0,ns,44
Logistic Regression,Small/Linfa,,,,84151034.0,ns,45
Logistic Regression,Small/Linfa,,,,73508581.0,ns,46
Logistic Regression,Small/Linfa,,,,66931593.0,ns,47
Logistic Regression,Small/Linfa,,,,80537210.0,ns,48
Logistic Regression,Small/Linfa,,,,66322938.0,ns,49
Logistic Regression,Small/Linfa,,,,64760798.0,ns,50
Logistic Regression,Small/Linfa,,,,67937183.0,ns,51
Logistic Regression,Small/Linfa,,,,88332909.0,ns,52
Logistic Regression,Small/Linfa,,,,94106325.0,ns,53
Logistic Regression,Small/Linfa,,,,83581083.0,ns,54
Logistic Regression,Small/Linfa,,,,77406430.0,ns,55
Logistic Regression,Small/Linfa,,,,98910856.0,ns,56
Logistic Regression,Small/Linfa,,,,62946235.0,ns,57
Logistic Regression,Small/Linfa,,,,109115969.0,ns,58
Logistic Regression,Small/Linfa,,,,114105916.0,ns,59
Logistic Regression,Small/Linfa,,,,90614313.0,ns,60
Logistic Regression,Small/Linfa,,,,78249506.0,ns,61
Logistic Regression,Small/Linfa,,,,92697899.0,ns,62
Logistic Regression,Small/Linfa,,,,107110690.0,ns,63
Logistic Regression,Small/Linfa,,,,127679031.0,ns,64
