group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Small/Smart,,,,961086.0,ns,24
Logistic Regression,Small/Smart,,,,1922873.0,ns,48
Logistic Regression,Small/Smart,,,,2883659.0,ns,72
Logistic Regression,Small/Smart,,,,3839745.0,ns,96
Logistic Regression,Small/Smart,,,,4808231.0,ns,120
Logistic Regression,Small/Smart,,,,5758317.0,ns,144
Logistic Regression,Small/Smart,,,,6715502.0,ns,168
Logistic Regression,Small/Smart,,,,7687190.0,ns,192
Logistic Regression,Small/Smart,,,,8613373.0,ns,216
Logistic Regression,Small/Smart,,,,9607962.0,ns,240
Logistic Regression,Small/Smart,,,,10544447.0,ns,264
Logistic Regression,Small/Smart,,,,11520934.0,ns,288
Logistic Regression,Small/Smart,,,,12467419.0,ns,312
Logistic Regression,Small/Smart,,,,13406303.0,ns,336
Logistic Regression,Small/Smart,,,,15543595.0,ns,360
Logistic Regression,Small/Smart,,,,15382781.0,ns,384
Logistic Regression,Small/Smart,,,,17623082.0,ns,408
Logistic Regression,Small/Smart,,,,17261149.0,ns,432
Logistic Regression,Small/Smart,,,,18211035.0,ns,456
Logistic Regression,Small/Smart,,,,19145018.0,ns,480
Logistic Regression,Small/Smart,,,,20112106.0,ns,504
Logistic Regression,Small/Smart,,,,21114595.0,ns,528
Logistic Regression,Small/Smart,,,,22071081.0,ns,552
Logistic Regression,Small/Smart,,,,23067271.0,ns,576
Logistic Regression,Small/Smart,,,,24018956.0,ns,600
Logistic Regression,Small/Smart,,,,90697841.0,ns,624
Logistic Regression,Small/Smart,,,,25919726.0,ns,648
Logistic Regression,Small/Smart,,,,26904115.0,ns,672
Logistic Regression,Small/Smart,,,,1045410939.0,ns,696
Logistic Regression,Small/Smart,,,,28857290.0,ns,720
Logistic Regression,Small/Smart,,,,29821677.0,ns,744
Logistic Regression,Small/Smart,,,,30765862.0,ns,768
Logistic Regression,Small/Smart,,,,31709646.0,ns,792
Logistic Regression,Small/Smart,,,,32589025.0,ns,816
Logistic Regression,Small/Smart,,,,33644120.0,ns,840
Logistic Regression,Small/Smart,,,,34568703.0,ns,864
Logistic Regression,Small/Smart,,,,35609796.0,ns,888
Logistic Regression,Small/Smart,,,,39403937.0,ns,912
Logistic Regression,Small/Smart,,,,37435261.0,ns,936
Logistic Regression,Small/Smart,,,,38397446.0,ns,960
Logistic Regression,Small/Smart,,,,39390536.0,ns,984
Logistic Regression,Small/Smart,,,,40337921.0,ns,1008
Logistic Regression,Small/Smart,,,,41235302.0,ns,1032
Logistic Regression,Small/Smart,,,,42172885.0,ns,1056
Logistic Regression,Small/Smart,,,,43191877.0,ns,1080
Logistic Regression,Small/Smart,,,,44169264.0,ns,1104
Logistic Regression,Small/Smart,,,,45173155.0,ns,1128
Logistic Regression,Small/Smart,,,,46029432.0,ns,1152
Logistic Regression,Small/Smart,,,,47088527.0,ns,1176
Logistic Regression,Small/Smart,,,,50892268.0,ns,1200
Logistic Regression,Small/Smart,,,,48892889.0,ns,1224
Logistic Regression,Small/Smart,,,,49761867.0,ns,1248
