group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Small/Smart,,,,1002713.0,ns,34
Logistic Regression,Small/Smart,,,,2006826.0,ns,68
Logistic Regression,Small/Smart,,,,3008340.0,ns,102
Logistic Regression,Small/Smart,,,,4013954.0,ns,136
Logistic Regression,Small/Smart,,,,5022468.0,ns,170
Logistic Regression,Small/Smart,,,,6012081.0,ns,204
Logistic Regression,Small/Smart,,,,7009294.0,ns,238
Logistic Regression,Small/Smart,,,,8013508.0,ns,272
Logistic Regression,Small/Smart,,,,9015021.0,ns,306
Logistic Regression,Small/Smart,,,,21661090.0,ns,340
Logistic Regression,Small/Smart,,,,11220550.0,ns,374
Logistic Regression,Small/Smart,,,,11989461.0,ns,408
Logistic Regression,Small/Smart,,,,14298892.0,ns,442
Logistic Regression,Small/Smart,,,,14015388.0,ns,476
Logistic Regression,Small/Smart,,,,14972301.0,ns,510
Logistic Regression,Small/Smart,,,,16014015.0,ns,544
Logistic Regression,Small/Smart,,,,16997028.0,ns,578
Logistic Regression,Small/Smart,,,,18004141.0,ns,612
Logistic Regression,Small/Smart,,,,19017055.0,ns,646
Logistic Regression,Small/Smart,,,,19979668.0,ns,680
Logistic Regression,Small/Smart,,,,20961781.0,ns,714
Logistic Regression,Small/Smart,,,,22189998.0,ns,748
Logistic Regression,Small/Smart,,,,22973208.0,ns,782
Logistic Regression,Small/Smart,,,,23974421.0,ns,816
Logistic Regression,Small/Smart,,,,24960935.0,ns,850
Logistic Regression,Small/Smart,,,,25981548.0,ns,884
Logistic Regression,Small/Smart,,,,26942762.0,ns,918
Logistic Regression,Small/Smart,,,,30823413.0,ns,952
Logistic Regression,Small/Smart,,,,29017290.0,ns,986
Logistic Regression,Small/Smart,,,,30003102.0,ns,1020
Logistic Regression,Small/Smart,,,,31056117.0,ns,1054
Logistic Regression,Small/Smart,,,,31992829.0,ns,1088
Logistic Regression,Small/Smart,,,,32991342.0,ns,1122
Logistic Regression,Small/Smart,,,,34105458.0,ns,1156
Logistic Regression,Small/Smart,,,,35005169.0,ns,1190
Logistic Regression,Small/Smart,,,,35981582.0,ns,1224
Logistic Regression,Small/Smart,,,,37130798.0,ns,1258
Logistic Regression,Small/Smart,,,,38181712.0,ns,1292
Logistic Regression,Small/Smart,,,,39091124.0,ns,1326
Logistic Regression,Small/Smart,,,,40079538.0,ns,1360
Logistic Regression,Small/Smart,,,,41064151.0,ns,1394
Logistic Regression,Small/Smart,,,,42151166.0,ns,1428
Logistic Regression,Small/Smart,,,,43149178.0,ns,1462
Logistic Regression,Small/Smart,,,,44228093.0,ns,1496
Logistic Regression,Small/Smart,,,,45197106.0,ns,1530
Logistic Regression,Small/Smart,,,,46117418.0,ns,1564
Logistic Regression,Small/Smart,,,,46952530.0,ns,1598
Logistic Regression,Small/Smart,,,,47964644.0,ns,1632
Logistic Regression,Small/Smart,,,,48954656.0,ns,1666
Logistic Regression,Small/Smart,,,,49945769.0,ns,1700
Logistic Regression,Small/Smart,,,,51076085.0,ns,1734
Logistic Regression,Small/Smart,,,,52146699.0,ns,1768
Logistic Regression,Small/Smart,,,,53157412.0,ns,1802
Logistic Regression,Small/Smart,,,,54077725.0,ns,1836
Logistic Regression,Small/Smart,,,,54990938.0,ns,1870
Logistic Regression,Small/Smart,,,,56112653.0,ns,1904
Logistic Regression,Small/Smart,,,,56963964.0,ns,1938
Logistic Regression,Small/Smart,,,,58026675.0,ns,1972
Logistic Regression,Small/Smart,,,,58978603.0,ns,2006
Logistic Regression,Small/Smart,,,,66204988.0,ns,2040
Logistic Regression,Small/Smart,,,,61078827.0,ns,2074
Logistic Regression,Small/Smart,,,,1979543475.0,ns,2108
Logistic Regression,Small/Smart,,,,63084152.0,ns,2142
Logistic Regression,Small/Smart,,,,64281465.0,ns,2176
Logistic Regression,Small/Smart,,,,65267077.0,ns,2210
Logistic Regression,Small/Smart,,,,66279289.0,ns,2244
Logistic Regression,Small/Smart,,,,67169000.0,ns,2278
Logistic Regression,Small/Smart,,,,68223112.0,ns,2312
Logistic Regression,Small/Smart,,,,69297425.0,ns,2346
Logistic Regression,Small/Smart,,,,70250037.0,ns,2380
Logistic Regression,Small/Smart,,,,71216148.0,ns,2414
Logistic Regression,Small/Smart,,,,72267861.0,ns,2448
Logistic Regression,Small/Smart,,,,73181972.0,ns,2482
Logistic Regression,Small/Smart,,,,74182883.0,ns,2516
Logistic Regression,Small/Smart,,,,75235196.0,ns,2550
Logistic Regression,Small/Smart,,,,76295308.0,ns,2584
Logistic Regression,Small/Smart,,,,77309420.0,ns,2618
Logistic Regression,Small/Smart,,,,78244631.0,ns,2652
Logistic Regression,Small/Smart,,,,79330444.0,ns,2686
Logistic Regression,Small/Smart,,,,80275256.0,ns,2720
Logistic Regression,Small/Smart,,,,81248268.0,ns,2754
Logistic Regression,Small/Smart,,,,82310580.0,ns,2788
Logistic Regression,Small/Smart,,,,83335793.0,ns,2822
Logistic Regression,Small/Smart,,,,84236203.0,ns,2856
Logistic Regression,Small/Smart,,,,85242115.0,ns,2890
Logistic Regression,Small/Smart,,,,86270227.0,ns,2924
Logistic Regression,Small/Smart,,,,87311040.0,ns,2958
Logistic Regression,Small/Smart,,,,88164450.0,ns,2992
Logistic Regression,Small/Smart,,,,89288064.0,ns,3026
Logistic Regression,Small/Smart,,,,90262475.0,ns,3060
Logistic Regression,Small/Smart,,,,91396689.0,ns,3094
Logistic Regression,Small/Smart,,,,92318099.0,ns,3128
Logistic Regression,Small/Smart,,,,93444012.0,ns,3162
Logistic Regression,Small/Smart,,,,94293023.0,ns,3196
Logistic Regression,Small/Smart,,,,95354035.0,ns,3230
Logistic Regression,Small/Smart,,,,96367947.0,ns,3264
Logistic Regression,Small/Smart,,,,97299458.0,ns,3298
Logistic Regression,Small/Smart,,,,98444472.0,ns,3332
Logistic Regression,Small/Smart,,,,99473585.0,ns,3366
Logistic Regression,Small/Smart,,,,100418896.0,ns,3400
