group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Small/Smartcore,,,,1183201.0,ns,35
Logistic Regression,Small/Smartcore,,,,1863301.0,ns,70
Logistic Regression,Small/Smartcore,,,,2560001.0,ns,105
Logistic Regression,Small/Smartcore,,,,3499901.0,ns,140
Logistic Regression,Small/Smartcore,,,,4572002.0,ns,175
Logistic Regression,Small/Smartcore,,,,5054702.0,ns,210
Logistic Regression,Small/Smartcore,,,,6179103.0,ns,245
Logistic Regression,Small/Smartcore,,,,7546804.0,ns,280
Logistic Regression,Small/Smartcore,,,,8082103.0,ns,315
Logistic Regression,Small/Smartcore,,,,10337505.0,ns,350
Logistic Regression,Small/Smartcore,,,,9055404.0,ns,385
Logistic Regression,Small/Smartcore,,,,11739305.0,ns,420
Logistic Regression,Small/Smartcore,,,,12070105.0,ns,455
Logistic Regression,Small/Smartcore,,,,12434006.0,ns,490
Logistic Regression,Small/Smartcore,,,,13044205.0,ns,525
Logistic Regression,Small/Smartcore,,,,14182807.0,ns,560
Logistic Regression,Small/Smartcore,,,,15525006.0,ns,595
Logistic Regression,Small/Smartcore,,,,16133608.0,ns,630
Logistic Regression,Small/Smartcore,,,,17184807.0,ns,665
Logistic Regression,Small/Smartcore,,,,17838408.0,ns,700
Logistic Regression,Small/Smartcore,,,,18937608.0,ns,735
Logistic Regression,Small/Smartcore,,,,19645809.0,ns,770
Logistic Regression,Small/Smartcore,,,,21637510.0,ns,805
Logistic Regression,Small/Smartcore,,,,21379209.0,ns,840
Logistic Regression,Small/Smartcore,,,,26911112.0,ns,875
Logistic Regression,Small/Smartcore,,,,25633311.0,ns,910
Logistic Regression,Small/Smartcore,,,,25847912.0,ns,945
Logistic Regression,Small/Smartcore,,,,29178712.0,ns,980
Logistic Regression,Small/Smartcore,,,,29927914.0,ns,1015
Logistic Regression,Small/Smartcore,,,,27647112.0,ns,1050
Logistic Regression,Small/Smartcore,,,,30761313.0,ns,1085
Logistic Regression,Small/Smartcore,,,,31484514.0,ns,1120
Logistic Regression,Small/Smartcore,,,,31125314.0,ns,1155
Logistic Regression,Small/Smartcore,,,,31911814.0,ns,1190
Logistic Regression,Small/Smartcore,,,,33250915.0,ns,1225
Logistic Regression,Small/Smartcore,,,,32976714.0,ns,1260
Logistic Regression,Small/Smartcore,,,,40366818.0,ns,1295
Logistic Regression,Small/Smartcore,,,,36792616.0,ns,1330
Logistic Regression,Small/Smartcore,,,,37830417.0,ns,1365
Logistic Regression,Small/Smartcore,,,,37836416.0,ns,1400
Logistic Regression,Small/Smartcore,,,,40297618.0,ns,1435
Logistic Regression,Small/Smartcore,,,,41977719.0,ns,1470
Logistic Regression,Small/Smartcore,,,,41742518.0,ns,1505
Logistic Regression,Small/Smartcore,,,,40544618.0,ns,1540
Logistic Regression,Small/Smartcore,,,,41919118.0,ns,1575
Logistic Regression,Small/Smartcore,,,,44226720.0,ns,1610
Logistic Regression,Small/Smartcore,,,,50596922.0,ns,1645
Logistic Regression,Small/Smartcore,,,,45234620.0,ns,1680
Logistic Regression,Small/Smartcore,,,,50769622.0,ns,1715
Logistic Regression,Small/Smartcore,,,,45114520.0,ns,1750
Logistic Regression,Small/Smartcore,,,,45703620.0,ns,1785
Logistic Regression,Small/Smartcore,,,,49116122.0,ns,1820
Logistic Regression,Small/Smartcore,,,,49128822.0,ns,1855
Logistic Regression,Small/Smartcore,,,,51169322.0,ns,1890
Logistic Regression,Small/Smartcore,,,,52016723.0,ns,1925
Logistic Regression,Small/Smartcore,,,,57074825.0,ns,1960
Logistic Regression,Small/Smartcore,,,,58389626.0,ns,1995
Logistic Regression,Small/Smartcore,,,,52809223.0,ns,2030
Logistic Regression,Small/Smartcore,,,,60927527.0,ns,2065
Logistic Regression,Small/Smartcore,,,,55231224.0,ns,2100
Logistic Regression,Small/Smartcore,,,,58533426.0,ns,2135
Logistic Regression,Small/Smartcore,,,,56280625.0,ns,2170
Logistic Regression,Small/Smartcore,,,,62798427.0,ns,2205
Logistic Regression,Small/Smartcore,,,,69050031.0,ns,2240
Logistic Regression,Small/Smartcore,,,,67340729.0,ns,2275
Logistic Regression,Small/Smartcore,,,,62949228.0,ns,2310
Logistic Regression,Small/Smartcore,,,,61391827.0,ns,2345
Logistic Regression,Small/Smartcore,,,,61561027.0,ns,2380
Logistic Regression,Small/Smartcore,,,,63454128.0,ns,2415
Logistic Regression,Small/Smartcore,,,,63034928.0,ns,2450
Logistic Regression,Small/Smartcore,,,,781580544.0,ns,2485
Logistic Regression,Small/Smartcore,,,,64849429.0,ns,2520
Logistic Regression,Small/Smartcore,,,,65090128.0,ns,2555
Logistic Regression,Small/Smartcore,,,,73966633.0,ns,2590
Logistic Regression,Small/Smartcore,,,,76904734.0,ns,2625
Logistic Regression,Small/Smartcore,,,,75298233.0,ns,2660
Logistic Regression,Small/Smartcore,,,,72140631.0,ns,2695
Logistic Regression,Small/Smartcore,,,,72758333.0,ns,2730
Logistic Regression,Small/Smartcore,,,,73834932.0,ns,2765
Logistic Regression,Small/Smartcore,,,,84871437.0,ns,2800
Logistic Regression,Small/Smartcore,,,,72741432.0,ns,2835
Logistic Regression,Small/Smartcore,,,,80892036.0,ns,2870
Logistic Regression,Small/Smartcore,,,,79518835.0,ns,2905
Logistic Regression,Small/Smartcore,,,,80028535.0,ns,2940
Logistic Regression,Small/Smartcore,,,,86358738.0,ns,2975
Logistic Regression,Small/Smartcore,,,,83593337.0,ns,3010
Logistic Regression,Small/Smartcore,,,,82622636.0,ns,3045
Logistic Regression,Small/Smartcore,,,,84370738.0,ns,3080
Logistic Regression,Small/Smartcore,,,,85461537.0,ns,3115
Logistic Regression,Small/Smartcore,,,,85267638.0,ns,3150
Logistic Regression,Small/Smartcore,,,,89959639.0,ns,3185
Logistic Regression,Small/Smartcore,,,,84926838.0,ns,3220
Logistic Regression,Small/Smartcore,,,,92655841.0,ns,3255
Logistic Regression,Small/Smartcore,,,,90762239.0,ns,3290
Logistic Regression,Small/Smartcore,,,,92137741.0,ns,3325
Logistic Regression,Small/Smartcore,,,,92546641.0,ns,3360
Logistic Regression,Small/Smartcore,,,,93100241.0,ns,3395
Logistic Regression,Small/Smartcore,,,,101012844.0,ns,3430
Logistic Regression,Small/Smartcore,,,,108328848.0,ns,3465
Logistic Regression,Small/Smartcore,,,,97686543.0,ns,3500
