group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Smartcore,,,,1136014.0,ns,7
Logistic Regression,Smartcore,,,,2091425.0,ns,14
Logistic Regression,Smartcore,,,,3104738.0,ns,21
Logistic Regression,Smartcore,,,,4012749.0,ns,28
Logistic Regression,Smartcore,,,,4983061.0,ns,35
Logistic Regression,Smartcore,,,,5883571.0,ns,42
Logistic Regression,Smartcore,,,,7009385.0,ns,49
Logistic Regression,Smartcore,,,,7876496.0,ns,56
Logistic Regression,Smartcore,,,,8951709.0,ns,63
Logistic Regression,Smartcore,,,,9799819.0,ns,70
Logistic Regression,Smartcore,,,,11005434.0,ns,77
Logistic Regression,Smartcore,,,,11915145.0,ns,84
Logistic Regression,Smartcore,,,,14885981.0,ns,91
Logistic Regression,Smartcore,,,,14287173.0,ns,98
Logistic Regression,Smartcore,,,,15197285.0,ns,105
Logistic Regression,Smartcore,,,,16489501.0,ns,112
Logistic Regression,Smartcore,,,,17598414.0,ns,119
Logistic Regression,Smartcore,,,,19703339.0,ns,126
Logistic Regression,Smartcore,,,,20058044.0,ns,133
Logistic Regression,Smartcore,,,,19653939.0,ns,140
Logistic Regression,Smartcore,,,,22963179.0,ns,147
Logistic Regression,Smartcore,,,,22652576.0,ns,154
Logistic Regression,Smartcore,,,,23253982.0,ns,161
Logistic Regression,Smartcore,,,,25211107.0,ns,168
Logistic Regression,Smartcore,,,,24929203.0,ns,175
Logistic Regression,Smartcore,,,,26908127.0,ns,182
Logistic Regression,Smartcore,,,,33447207.0,ns,189
Logistic Regression,Smartcore,,,,35934136.0,ns,196
Logistic Regression,Smartcore,,,,38229165.0,ns,203
Logistic Regression,Smartcore,,,,35117127.0,ns,210
Logistic Regression,Smartcore,,,,30679373.0,ns,217
Logistic Regression,Smartcore,,,,31989689.0,ns,224
Logistic Regression,Smartcore,,,,32999801.0,ns,231
Logistic Regression,Smartcore,,,,36429843.0,ns,238
Logistic Regression,Smartcore,,,,41734408.0,ns,245
Logistic Regression,Smartcore,,,,38572968.0,ns,252
Logistic Regression,Smartcore,,,,37744759.0,ns,259
Logistic Regression,Smartcore,,,,45681156.0,ns,266
Logistic Regression,Smartcore,,,,39347478.0,ns,273
Logistic Regression,Smartcore,,,,42003511.0,ns,280
Logistic Regression,Smartcore,,,,40898997.0,ns,287
