group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Logistic Regression,Smartcore,,,,1082314.0,ns,8
Logistic Regression,Smartcore,,,,2150526.0,ns,16
Logistic Regression,Smartcore,,,,3234139.0,ns,24
Logistic Regression,Smartcore,,,,4306553.0,ns,32
Logistic Regression,Smartcore,,,,5382365.0,ns,40
Logistic Regression,Smartcore,,,,6470279.0,ns,48
Logistic Regression,Smartcore,,,,7539592.0,ns,56
Logistic Regression,Smartcore,,,,8619905.0,ns,64
Logistic Regression,Smartcore,,,,9689418.0,ns,72
Logistic Regression,Smartcore,,,,10767532.0,ns,80
Logistic Regression,Smartcore,,,,11842544.0,ns,88
Logistic Regression,Smartcore,,,,12931058.0,ns,96
Logistic Regression,Smartcore,,,,14007671.0,ns,104
Logistic Regression,Smartcore,,,,15082883.0,ns,112
Logistic Regression,Smartcore,,,,16155897.0,ns,120
Logistic Regression,Smartcore,,,,17234411.0,ns,128
Logistic Regression,Smartcore,,,,18288823.0,ns,136
Logistic Regression,Smartcore,,,,19384436.0,ns,144
Logistic Regression,Smartcore,,,,20490650.0,ns,152
Logistic Regression,Smartcore,,,,21546262.0,ns,160
Logistic Regression,Smartcore,,,,22636776.0,ns,168
Logistic Regression,Smartcore,,,,23689789.0,ns,176
Logistic Regression,Smartcore,,,,24782602.0,ns,184
Logistic Regression,Smartcore,,,,25844115.0,ns,192
Logistic Regression,Smartcore,,,,26925829.0,ns,200
Logistic Regression,Smartcore,,,,27999341.0,ns,208
Logistic Regression,Smartcore,,,,29066155.0,ns,216
Logistic Regression,Smartcore,,,,30146867.0,ns,224
Logistic Regression,Smartcore,,,,31222981.0,ns,232
Logistic Regression,Smartcore,,,,32307594.0,ns,240
Logistic Regression,Smartcore,,,,33388207.0,ns,248
Logistic Regression,Smartcore,,,,34468120.0,ns,256
Logistic Regression,Smartcore,,,,35543233.0,ns,264
Logistic Regression,Smartcore,,,,36610947.0,ns,272
Logistic Regression,Smartcore,,,,37673459.0,ns,280
Logistic Regression,Smartcore,,,,38765973.0,ns,288
Logistic Regression,Smartcore,,,,39874586.0,ns,296
Logistic Regression,Smartcore,,,,40918499.0,ns,304
Logistic Regression,Smartcore,,,,42008212.0,ns,312
Logistic Regression,Smartcore,,,,43085725.0,ns,320
Logistic Regression,Smartcore,,,,44190039.0,ns,328
Logistic Regression,Smartcore,,,,45228552.0,ns,336
Logistic Regression,Smartcore,,,,46341565.0,ns,344
Logistic Regression,Smartcore,,,,47376877.0,ns,352
Logistic Regression,Smartcore,,,,48456791.0,ns,360
Logistic Regression,Smartcore,,,,49546004.0,ns,368
Logistic Regression,Smartcore,,,,50631417.0,ns,376
Logistic Regression,Smartcore,,,,51709731.0,ns,384
Logistic Regression,Smartcore,,,,52768143.0,ns,392
Logistic Regression,Smartcore,,,,53896357.0,ns,400
Logistic Regression,Smartcore,,,,54961470.0,ns,408
Logistic Regression,Smartcore,,,,55996483.0,ns,416
Logistic Regression,Smartcore,,,,57092196.0,ns,424
Logistic Regression,Smartcore,,,,58153109.0,ns,432
Logistic Regression,Smartcore,,,,59237423.0,ns,440
Logistic Regression,Smartcore,,,,60320235.0,ns,448
Logistic Regression,Smartcore,,,,61537450.0,ns,456
Logistic Regression,Smartcore,,,,62451062.0,ns,464
Logistic Regression,Smartcore,,,,63549775.0,ns,472
Logistic Regression,Smartcore,,,,64640188.0,ns,480
Logistic Regression,Smartcore,,,,65756001.0,ns,488
Logistic Regression,Smartcore,,,,66784715.0,ns,496
Logistic Regression,Smartcore,,,,67890627.0,ns,504
Logistic Regression,Smartcore,,,,69065343.0,ns,512
Logistic Regression,Smartcore,,,,70025953.0,ns,520
Logistic Regression,Smartcore,,,,71127268.0,ns,528
Logistic Regression,Smartcore,,,,72156379.0,ns,536
Logistic Regression,Smartcore,,,,73223293.0,ns,544
Logistic Regression,Smartcore,,,,74319706.0,ns,552
Logistic Regression,Smartcore,,,,75385919.0,ns,560
Logistic Regression,Smartcore,,,,76523033.0,ns,568
Logistic Regression,Smartcore,,,,77559646.0,ns,576
Logistic Regression,Smartcore,,,,78645659.0,ns,584
Logistic Regression,Smartcore,,,,79761272.0,ns,592
Logistic Regression,Smartcore,,,,80800485.0,ns,600
Logistic Regression,Smartcore,,,,81858999.0,ns,608
Logistic Regression,Smartcore,,,,83296415.0,ns,616
Logistic Regression,Smartcore,,,,84031425.0,ns,624
Logistic Regression,Smartcore,,,,85163438.0,ns,632
Logistic Regression,Smartcore,,,,86205651.0,ns,640
Logistic Regression,Smartcore,,,,87455166.0,ns,648
Logistic Regression,Smartcore,,,,88329677.0,ns,656
Logistic Regression,Smartcore,,,,89433391.0,ns,664
Logistic Regression,Smartcore,,,,90476403.0,ns,672
Logistic Regression,Smartcore,,,,91565816.0,ns,680
Logistic Regression,Smartcore,,,,92678430.0,ns,688
Logistic Regression,Smartcore,,,,93714043.0,ns,696
Logistic Regression,Smartcore,,,,94806656.0,ns,704
Logistic Regression,Smartcore,,,,95855968.0,ns,712
Logistic Regression,Smartcore,,,,96936882.0,ns,720
Logistic Regression,Smartcore,,,,98062996.0,ns,728
Logistic Regression,Smartcore,,,,99129009.0,ns,736
Logistic Regression,Smartcore,,,,100157521.0,ns,744
Logistic Regression,Smartcore,,,,101266834.0,ns,752
Logistic Regression,Smartcore,,,,102336748.0,ns,760
Logistic Regression,Smartcore,,,,103451362.0,ns,768
Logistic Regression,Smartcore,,,,104482773.0,ns,776
Logistic Regression,Smartcore,,,,105575288.0,ns,784
Logistic Regression,Smartcore,,,,106648500.0,ns,792
Logistic Regression,Smartcore,,,,107722213.0,ns,800
