group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
PCA,Large/Linfa,,,,1757984360.0,ns,1
PCA,Large/Linfa,,,,139465652.0,ns,1
PCA,Large/Linfa,,,,642460247.0,ns,1
PCA,Large/Linfa,,,,1758063061.0,ns,1
PCA,Large/Linfa,,,,183102681.0,ns,1
PCA,Large/Linfa,,,,283252137.0,ns,1
PCA,Large/Linfa,,,,133844409.0,ns,1
PCA,Large/Linfa,,,,276337284.0,ns,1
PCA,Large/Linfa,,,,174626017.0,ns,1
PCA,Large/Linfa,,,,151674444.0,ns,1
PCA,Large/Linfa,,,,199006401.0,ns,1
PCA,Large/Linfa,,,,1759010169.0,ns,1
PCA,Large/Linfa,,,,1760531379.0,ns,1
PCA,Large/Linfa,,,,246832462.0,ns,1
PCA,Large/Linfa,,,,206720459.0,ns,1
PCA,Large/Linfa,,,,222662679.0,ns,1
PCA,Large/Linfa,,,,208045669.0,ns,1
PCA,Large/Linfa,,,,257306040.0,ns,1
PCA,Large/Linfa,,,,1357535438.0,ns,1
PCA,Large/Linfa,,,,156691881.0,ns,1
PCA,Large/Linfa,,,,1757635656.0,ns,1
PCA,Large/Linfa,,,,433863272.0,ns,1
PCA,Large/Linfa,,,,167677864.0,ns,1
PCA,Large/Linfa,,,,181334767.0,ns,1
PCA,Large/Linfa,,,,146048302.0,ns,1
PCA,Large/Linfa,,,,159196500.0,ns,1
PCA,Large/Linfa,,,,173830611.0,ns,1
PCA,Large/Linfa,,,,160381710.0,ns,1
PCA,Large/Linfa,,,,195843877.0,ns,1
PCA,Large/Linfa,,,,1798458069.0,ns,1
PCA,Large/Linfa,,,,178548347.0,ns,1
PCA,Large/Linfa,,,,229006028.0,ns,1
PCA,Large/Linfa,,,,158831598.0,ns,1
PCA,Large/Linfa,,,,186511007.0,ns,1
PCA,Large/Linfa,,,,137944641.0,ns,1
PCA,Large/Linfa,,,,1800955890.0,ns,1
PCA,Large/Linfa,,,,189840833.0,ns,1
PCA,Large/Linfa,,,,134054611.0,ns,1
PCA,Large/Linfa,,,,1757895065.0,ns,1
PCA,Large/Linfa,,,,156898084.0,ns,1
PCA,Large/Linfa,,,,209482381.0,ns,1
PCA,Large/Linfa,,,,167685865.0,ns,1
PCA,Large/Linfa,,,,161528219.0,ns,1
PCA,Large/Linfa,,,,220410363.0,ns,1
PCA,Large/Linfa,,,,1757369459.0,ns,1
PCA,Large/Linfa,,,,158877099.0,ns,1
PCA,Large/Linfa,,,,194133365.0,ns,1
PCA,Large/Linfa,,,,151409642.0,ns,1
PCA,Large/Linfa,,,,207776067.0,ns,1
PCA,Large/Linfa,,,,1760424282.0,ns,1
PCA,Large/Linfa,,,,153094055.0,ns,1
PCA,Large/Linfa,,,,160915914.0,ns,1
PCA,Large/Linfa,,,,1760856784.0,ns,1
PCA,Large/Linfa,,,,154944069.0,ns,1
PCA,Large/Linfa,,,,239405506.0,ns,1
PCA,Large/Linfa,,,,171940697.0,ns,1
PCA,Large/Linfa,,,,260940869.0,ns,1
PCA,Large/Linfa,,,,269065630.0,ns,1
PCA,Large/Linfa,,,,262708282.0,ns,1
PCA,Large/Linfa,,,,206084755.0,ns,1
PCA,Large/Linfa,,,,1147888795.0,ns,1
PCA,Large/Linfa,,,,158297303.0,ns,1
PCA,Large/Linfa,,,,162514335.0,ns,1
PCA,Large/Linfa,,,,332965431.0,ns,1
PCA,Large/Linfa,,,,180000068.0,ns,1
PCA,Large/Linfa,,,,1761792487.0,ns,1
PCA,Large/Linfa,,,,158982208.0,ns,1
PCA,Large/Linfa,,,,153545066.0,ns,1
PCA,Large/Linfa,,,,216190543.0,ns,1
PCA,Large/Linfa,,,,207328876.0,ns,1
PCA,Large/Linfa,,,,633979918.0,ns,1
PCA,Large/Linfa,,,,151388350.0,ns,1
PCA,Large/Linfa,,,,1758884366.0,ns,1
PCA,Large/Linfa,,,,186826019.0,ns,1
PCA,Large/Linfa,,,,1766785995.0,ns,1
PCA,Large/Linfa,,,,198873802.0,ns,1
PCA,Large/Linfa,,,,185883404.0,ns,1
PCA,Large/Linfa,,,,203470737.0,ns,1
PCA,Large/Linfa,,,,159658006.0,ns,1
PCA,Large/Linfa,,,,1763486824.0,ns,1
PCA,Large/Linfa,,,,128704973.0,ns,1
PCA,Large/Linfa,,,,147600815.0,ns,1
PCA,Large/Linfa,,,,166539358.0,ns,1
PCA,Large/Linfa,,,,174837221.0,ns,1
PCA,Large/Linfa,,,,168316372.0,ns,1
PCA,Large/Linfa,,,,133853311.0,ns,1
PCA,Large/Linfa,,,,1773181797.0,ns,1
PCA,Large/Linfa,,,,631372770.0,ns,1
PCA,Large/Linfa,,,,211959001.0,ns,1
PCA,Large/Linfa,,,,1766832647.0,ns,1
PCA,Large/Linfa,,,,170600289.0,ns,1
PCA,Large/Linfa,,,,166039054.0,ns,1
PCA,Large/Linfa,,,,1763285016.0,ns,1
PCA,Large/Linfa,,,,460608979.0,ns,1
PCA,Large/Linfa,,,,1769483763.0,ns,1
PCA,Large/Linfa,,,,1762854713.0,ns,1
PCA,Large/Linfa,,,,455730241.0,ns,1
PCA,Large/Linfa,,,,178327947.0,ns,1
PCA,Large/Linfa,,,,152019448.0,ns,1
PCA,Large/Linfa,,,,213033694.0,ns,1
