group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
PCA,Large/Linfa,,,,1726395551.0,ns,1
PCA,Large/Linfa,,,,160909504.0,ns,1
PCA,Large/Linfa,,,,181111181.0,ns,1
PCA,Large/Linfa,,,,1719276254.0,ns,1
PCA,Large/Linfa,,,,151568177.0,ns,1
PCA,Large/Linfa,,,,174627992.0,ns,1
PCA,Large/Linfa,,,,152754992.0,ns,1
PCA,Large/Linfa,,,,134164438.0,ns,1
PCA,Large/Linfa,,,,129580575.0,ns,1
PCA,Large/Linfa,,,,1724006513.0,ns,1
PCA,Large/Linfa,,,,208049450.0,ns,1
PCA,Large/Linfa,,,,233593447.0,ns,1
PCA,Large/Linfa,,,,204511282.0,ns,1
PCA,Large/Linfa,,,,137506977.0,ns,1
PCA,Large/Linfa,,,,163943092.0,ns,1
PCA,Large/Linfa,,,,248765642.0,ns,1
PCA,Large/Linfa,,,,171287634.0,ns,1
PCA,Large/Linfa,,,,153467988.0,ns,1
PCA,Large/Linfa,,,,261714694.0,ns,1
PCA,Large/Linfa,,,,111951779.0,ns,1
PCA,Large/Linfa,,,,176245831.0,ns,1
PCA,Large/Linfa,,,,1727827735.0,ns,1
PCA,Large/Linfa,,,,389749887.0,ns,1
PCA,Large/Linfa,,,,160252178.0,ns,1
PCA,Large/Linfa,,,,164932905.0,ns,1
PCA,Large/Linfa,,,,170954189.0,ns,1
PCA,Large/Linfa,,,,147020355.0,ns,1
PCA,Large/Linfa,,,,1737116576.0,ns,1
PCA,Large/Linfa,,,,1723034422.0,ns,1
PCA,Large/Linfa,,,,165644054.0,ns,1
PCA,Large/Linfa,,,,136344438.0,ns,1
PCA,Large/Linfa,,,,177144117.0,ns,1
PCA,Large/Linfa,,,,1727749148.0,ns,1
PCA,Large/Linfa,,,,1730316084.0,ns,1
PCA,Large/Linfa,,,,169996016.0,ns,1
PCA,Large/Linfa,,,,195232174.0,ns,1
PCA,Large/Linfa,,,,171407335.0,ns,1
PCA,Large/Linfa,,,,1724119497.0,ns,1
PCA,Large/Linfa,,,,1724384397.0,ns,1
PCA,Large/Linfa,,,,184786779.0,ns,1
PCA,Large/Linfa,,,,220777302.0,ns,1
PCA,Large/Linfa,,,,1725616822.0,ns,1
PCA,Large/Linfa,,,,265574051.0,ns,1
PCA,Large/Linfa,,,,1723939398.0,ns,1
PCA,Large/Linfa,,,,1724263602.0,ns,1
PCA,Large/Linfa,,,,169835463.0,ns,1
PCA,Large/Linfa,,,,160069421.0,ns,1
PCA,Large/Linfa,,,,180294414.0,ns,1
PCA,Large/Linfa,,,,1717474599.0,ns,1
PCA,Large/Linfa,,,,1718755897.0,ns,1
PCA,Large/Linfa,,,,516416161.0,ns,1
PCA,Large/Linfa,,,,178452048.0,ns,1
PCA,Large/Linfa,,,,187694784.0,ns,1
PCA,Large/Linfa,,,,1719479109.0,ns,1
PCA,Large/Linfa,,,,171192139.0,ns,1
PCA,Large/Linfa,,,,211199934.0,ns,1
PCA,Large/Linfa,,,,191761044.0,ns,1
PCA,Large/Linfa,,,,1740052814.0,ns,1
PCA,Large/Linfa,,,,375949659.0,ns,1
PCA,Large/Linfa,,,,196547498.0,ns,1
PCA,Large/Linfa,,,,147832205.0,ns,1
PCA,Large/Linfa,,,,180886775.0,ns,1
PCA,Large/Linfa,,,,153770989.0,ns,1
PCA,Large/Linfa,,,,138441871.0,ns,1
PCA,Large/Linfa,,,,167724488.0,ns,1
PCA,Large/Linfa,,,,187072363.0,ns,1
PCA,Large/Linfa,,,,1720609895.0,ns,1
PCA,Large/Linfa,,,,174059678.0,ns,1
PCA,Large/Linfa,,,,120095909.0,ns,1
PCA,Large/Linfa,,,,173807374.0,ns,1
PCA,Large/Linfa,,,,160804289.0,ns,1
PCA,Large/Linfa,,,,130396457.0,ns,1
PCA,Large/Linfa,,,,131590373.0,ns,1
PCA,Large/Linfa,,,,172494455.0,ns,1
PCA,Large/Linfa,,,,137710161.0,ns,1
PCA,Large/Linfa,,,,1721490407.0,ns,1
PCA,Large/Linfa,,,,181415382.0,ns,1
PCA,Large/Linfa,,,,163746031.0,ns,1
PCA,Large/Linfa,,,,564442435.0,ns,1
PCA,Large/Linfa,,,,176487613.0,ns,1
PCA,Large/Linfa,,,,1726846094.0,ns,1
PCA,Large/Linfa,,,,191363527.0,ns,1
PCA,Large/Linfa,,,,1726738701.0,ns,1
PCA,Large/Linfa,,,,170267426.0,ns,1
PCA,Large/Linfa,,,,1724469369.0,ns,1
PCA,Large/Linfa,,,,191017321.0,ns,1
PCA,Large/Linfa,,,,232463512.0,ns,1
PCA,Large/Linfa,,,,1762263807.0,ns,1
PCA,Large/Linfa,,,,923968364.0,ns,1
PCA,Large/Linfa,,,,147943005.0,ns,1
PCA,Large/Linfa,,,,155950418.0,ns,1
PCA,Large/Linfa,,,,380754316.0,ns,1
PCA,Large/Linfa,,,,1725520647.0,ns,1
PCA,Large/Linfa,,,,398420968.0,ns,1
PCA,Large/Linfa,,,,1721660392.0,ns,1
PCA,Large/Linfa,,,,1721622992.0,ns,1
PCA,Large/Linfa,,,,278214558.0,ns,1
PCA,Large/Linfa,,,,201780870.0,ns,1
PCA,Large/Linfa,,,,422039604.0,ns,1
PCA,Large/Linfa,,,,189609997.0,ns,1
