group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
PCA,Medium/Linfa,,,,34623768.0,ns,4
PCA,Medium/Linfa,,,,88036990.0,ns,4
PCA,Medium/Linfa,,,,78048755.0,ns,4
PCA,Medium/Linfa,,,,32645841.0,ns,4
PCA,Medium/Linfa,,,,24300129.0,ns,4
PCA,Medium/Linfa,,,,141818017.0,ns,4
PCA,Medium/Linfa,,,,115415860.0,ns,4
PCA,Medium/Linfa,,,,111663709.0,ns,4
PCA,Medium/Linfa,,,,76663536.0,ns,4
PCA,Medium/Linfa,,,,50408281.0,ns,4
PCA,Medium/Linfa,,,,25478245.0,ns,4
PCA,Medium/Linfa,,,,83303626.0,ns,4
PCA,Medium/Linfa,,,,58472391.0,ns,4
PCA,Medium/Linfa,,,,36213590.0,ns,4
PCA,Medium/Linfa,,,,31024919.0,ns,4
PCA,Medium/Linfa,,,,74390106.0,ns,4
PCA,Medium/Linfa,,,,133623206.0,ns,4
PCA,Medium/Linfa,,,,97831822.0,ns,4
PCA,Medium/Linfa,,,,39424133.0,ns,4
PCA,Medium/Linfa,,,,50417281.0,ns,4
PCA,Medium/Linfa,,,,30016206.0,ns,4
PCA,Medium/Linfa,,,,38890426.0,ns,4
PCA,Medium/Linfa,,,,151683250.0,ns,4
PCA,Medium/Linfa,,,,37179402.0,ns,4
PCA,Medium/Linfa,,,,31229422.0,ns,4
PCA,Medium/Linfa,,,,19373362.0,ns,4
PCA,Medium/Linfa,,,,124357080.0,ns,4
PCA,Medium/Linfa,,,,34746870.0,ns,4
PCA,Medium/Linfa,,,,89631711.0,ns,4
PCA,Medium/Linfa,,,,30108507.0,ns,4
PCA,Medium/Linfa,,,,142264723.0,ns,4
PCA,Medium/Linfa,,,,36616295.0,ns,4
PCA,Medium/Linfa,,,,89944616.0,ns,4
PCA,Medium/Linfa,,,,80297486.0,ns,4
PCA,Medium/Linfa,,,,48063250.0,ns,4
PCA,Medium/Linfa,,,,17369935.0,ns,4
PCA,Medium/Linfa,,,,28391583.0,ns,4
PCA,Medium/Linfa,,,,18664153.0,ns,4
PCA,Medium/Linfa,,,,24825736.0,ns,4
PCA,Medium/Linfa,,,,26816664.0,ns,4
PCA,Medium/Linfa,,,,40840954.0,ns,4
PCA,Medium/Linfa,,,,43902196.0,ns,4
PCA,Medium/Linfa,,,,38034716.0,ns,4
PCA,Medium/Linfa,,,,34467768.0,ns,4
PCA,Medium/Linfa,,,,37568210.0,ns,4
PCA,Medium/Linfa,,,,156420022.0,ns,4
PCA,Medium/Linfa,,,,144969367.0,ns,4
PCA,Medium/Linfa,,,,168491386.0,ns,4
PCA,Medium/Linfa,,,,22530106.0,ns,4
PCA,Medium/Linfa,,,,41190759.0,ns,4
PCA,Medium/Linfa,,,,76308636.0,ns,4
PCA,Medium/Linfa,,,,81117900.0,ns,4
PCA,Medium/Linfa,,,,27890078.0,ns,4
PCA,Medium/Linfa,,,,105090726.0,ns,4
PCA,Medium/Linfa,,,,128164838.0,ns,4
PCA,Medium/Linfa,,,,22668707.0,ns,4
PCA,Medium/Linfa,,,,181902868.0,ns,4
PCA,Medium/Linfa,,,,27517973.0,ns,4
PCA,Medium/Linfa,,,,34034562.0,ns,4
PCA,Medium/Linfa,,,,53643528.0,ns,4
PCA,Medium/Linfa,,,,36476594.0,ns,4
PCA,Medium/Linfa,,,,29846504.0,ns,4
PCA,Medium/Linfa,,,,90168923.0,ns,4
PCA,Medium/Linfa,,,,29777904.0,ns,4
PCA,Medium/Linfa,,,,129729360.0,ns,4
PCA,Medium/Linfa,,,,23304016.0,ns,4
PCA,Medium/Linfa,,,,19825869.0,ns,4
PCA,Medium/Linfa,,,,165460345.0,ns,4
PCA,Medium/Linfa,,,,57749183.0,ns,4
PCA,Medium/Linfa,,,,23819623.0,ns,4
PCA,Medium/Linfa,,,,218130459.0,ns,4
PCA,Medium/Linfa,,,,28066381.0,ns,4
PCA,Medium/Linfa,,,,64291873.0,ns,4
PCA,Medium/Linfa,,,,17798041.0,ns,4
PCA,Medium/Linfa,,,,23865023.0,ns,4
PCA,Medium/Linfa,,,,82667222.0,ns,4
PCA,Medium/Linfa,,,,32805145.0,ns,4
PCA,Medium/Linfa,,,,15759714.0,ns,4
PCA,Medium/Linfa,,,,60401419.0,ns,4
PCA,Medium/Linfa,,,,85525260.0,ns,4
PCA,Medium/Linfa,,,,39621637.0,ns,4
PCA,Medium/Linfa,,,,22577507.0,ns,4
PCA,Medium/Linfa,,,,134672126.0,ns,4
PCA,Medium/Linfa,,,,84102341.0,ns,4
PCA,Medium/Linfa,,,,44139699.0,ns,4
PCA,Medium/Linfa,,,,24176428.0,ns,4
PCA,Medium/Linfa,,,,84419945.0,ns,4
PCA,Medium/Linfa,,,,80632594.0,ns,4
PCA,Medium/Linfa,,,,84085340.0,ns,4
PCA,Medium/Linfa,,,,133277608.0,ns,4
PCA,Medium/Linfa,,,,104368916.0,ns,4
PCA,Medium/Linfa,,,,82922825.0,ns,4
PCA,Medium/Linfa,,,,31615129.0,ns,4
PCA,Medium/Linfa,,,,99967356.0,ns,4
PCA,Medium/Linfa,,,,19272661.0,ns,4
PCA,Medium/Linfa,,,,88231497.0,ns,4
PCA,Medium/Linfa,,,,83783537.0,ns,4
PCA,Medium/Linfa,,,,160496877.0,ns,4
PCA,Medium/Linfa,,,,127810034.0,ns,4
PCA,Medium/Linfa,,,,124885594.0,ns,4
