group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
PCA,Medium/Linfa,,,,19105438.0,ns,3
PCA,Medium/Linfa,,,,19558441.0,ns,3
PCA,Medium/Linfa,,,,106864273.0,ns,3
PCA,Medium/Linfa,,,,13367196.0,ns,3
PCA,Medium/Linfa,,,,156482531.0,ns,3
PCA,Medium/Linfa,,,,80055979.0,ns,3
PCA,Medium/Linfa,,,,81553589.0,ns,3
PCA,Medium/Linfa,,,,15184209.0,ns,3
PCA,Medium/Linfa,,,,79152372.0,ns,3
PCA,Medium/Linfa,,,,54736695.0,ns,3
PCA,Medium/Linfa,,,,175275467.0,ns,3
PCA,Medium/Linfa,,,,136557587.0,ns,3
PCA,Medium/Linfa,,,,14108802.0,ns,3
PCA,Medium/Linfa,,,,22011759.0,ns,3
PCA,Medium/Linfa,,,,110203296.0,ns,3
PCA,Medium/Linfa,,,,134503772.0,ns,3
PCA,Medium/Linfa,,,,20749550.0,ns,3
PCA,Medium/Linfa,,,,24663478.0,ns,3
PCA,Medium/Linfa,,,,44328020.0,ns,3
PCA,Medium/Linfa,,,,33432242.0,ns,3
PCA,Medium/Linfa,,,,33944646.0,ns,3
PCA,Medium/Linfa,,,,14653106.0,ns,3
PCA,Medium/Linfa,,,,20986451.0,ns,3
PCA,Medium/Linfa,,,,51901375.0,ns,3
PCA,Medium/Linfa,,,,13274596.0,ns,3
PCA,Medium/Linfa,,,,21605956.0,ns,3
PCA,Medium/Linfa,,,,13732500.0,ns,3
PCA,Medium/Linfa,,,,26156289.0,ns,3
PCA,Medium/Linfa,,,,70540909.0,ns,3
PCA,Medium/Linfa,,,,13012194.0,ns,3
PCA,Medium/Linfa,,,,48894853.0,ns,3
PCA,Medium/Linfa,,,,63641160.0,ns,3
PCA,Medium/Linfa,,,,69490802.0,ns,3
PCA,Medium/Linfa,,,,27169196.0,ns,3
PCA,Medium/Linfa,,,,49388057.0,ns,3
PCA,Medium/Linfa,,,,60213936.0,ns,3
PCA,Medium/Linfa,,,,18155531.0,ns,3
PCA,Medium/Linfa,,,,21290154.0,ns,3
PCA,Medium/Linfa,,,,75313945.0,ns,3
PCA,Medium/Linfa,,,,75195444.0,ns,3
PCA,Medium/Linfa,,,,109264390.0,ns,3
PCA,Medium/Linfa,,,,67537888.0,ns,3
PCA,Medium/Linfa,,,,20125646.0,ns,3
PCA,Medium/Linfa,,,,48667152.0,ns,3
PCA,Medium/Linfa,,,,18614334.0,ns,3
PCA,Medium/Linfa,,,,15859014.0,ns,3
PCA,Medium/Linfa,,,,32234833.0,ns,3
PCA,Medium/Linfa,,,,26741594.0,ns,3
PCA,Medium/Linfa,,,,84107308.0,ns,3
PCA,Medium/Linfa,,,,99912022.0,ns,3
PCA,Medium/Linfa,,,,75382444.0,ns,3
PCA,Medium/Linfa,,,,47154941.0,ns,3
PCA,Medium/Linfa,,,,38518878.0,ns,3
PCA,Medium/Linfa,,,,119809666.0,ns,3
PCA,Medium/Linfa,,,,64829269.0,ns,3
PCA,Medium/Linfa,,,,25928088.0,ns,3
PCA,Medium/Linfa,,,,18794536.0,ns,3
PCA,Medium/Linfa,,,,74108236.0,ns,3
PCA,Medium/Linfa,,,,28661807.0,ns,3
PCA,Medium/Linfa,,,,125658508.0,ns,3
PCA,Medium/Linfa,,,,127031418.0,ns,3
PCA,Medium/Linfa,,,,54546594.0,ns,3
PCA,Medium/Linfa,,,,19797843.0,ns,3
PCA,Medium/Linfa,,,,35997760.0,ns,3
PCA,Medium/Linfa,,,,25777987.0,ns,3
PCA,Medium/Linfa,,,,16111217.0,ns,3
PCA,Medium/Linfa,,,,29722715.0,ns,3
PCA,Medium/Linfa,,,,64592967.0,ns,3
PCA,Medium/Linfa,,,,67355087.0,ns,3
PCA,Medium/Linfa,,,,13189296.0,ns,3
PCA,Medium/Linfa,,,,18307133.0,ns,3
PCA,Medium/Linfa,,,,70428909.0,ns,3
PCA,Medium/Linfa,,,,16961322.0,ns,3
PCA,Medium/Linfa,,,,23716572.0,ns,3
PCA,Medium/Linfa,,,,48090547.0,ns,3
PCA,Medium/Linfa,,,,20140745.0,ns,3
PCA,Medium/Linfa,,,,60764839.0,ns,3
PCA,Medium/Linfa,,,,127341521.0,ns,3
PCA,Medium/Linfa,,,,22087560.0,ns,3
PCA,Medium/Linfa,,,,63883762.0,ns,3
PCA,Medium/Linfa,,,,70748012.0,ns,3
PCA,Medium/Linfa,,,,79002056.0,ns,3
PCA,Medium/Linfa,,,,13284292.0,ns,3
PCA,Medium/Linfa,,,,98950288.0,ns,3
PCA,Medium/Linfa,,,,15660109.0,ns,3
PCA,Medium/Linfa,,,,12519487.0,ns,3
PCA,Medium/Linfa,,,,57793902.0,ns,3
PCA,Medium/Linfa,,,,22763358.0,ns,3
PCA,Medium/Linfa,,,,28235297.0,ns,3
PCA,Medium/Linfa,,,,79785155.0,ns,3
PCA,Medium/Linfa,,,,59082011.0,ns,3
PCA,Medium/Linfa,,,,69839685.0,ns,3
PCA,Medium/Linfa,,,,18949132.0,ns,3
PCA,Medium/Linfa,,,,24086668.0,ns,3
PCA,Medium/Linfa,,,,51984061.0,ns,3
PCA,Medium/Linfa,,,,27351191.0,ns,3
PCA,Medium/Linfa,,,,70636791.0,ns,3
PCA,Medium/Linfa,,,,117015113.0,ns,3
PCA,Medium/Linfa,,,,66831565.0,ns,3
PCA,Medium/Linfa,,,,12460887.0,ns,3
