group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
PCA,Medium/Smart,,,,49002545.0,ns,2
PCA,Medium/Smart,,,,49796955.0,ns,2
PCA,Medium/Smart,,,,49555652.0,ns,2
PCA,Medium/Smart,,,,49574653.0,ns,2
PCA,Medium/Smart,,,,50028559.0,ns,2
PCA,Medium/Smart,,,,51101873.0,ns,2
PCA,Medium/Smart,,,,49842135.0,ns,2
PCA,Medium/Smart,,,,50178121.0,ns,2
PCA,Medium/Smart,,,,49439522.0,ns,2
PCA,Medium/Smart,,,,48522924.0,ns,2
PCA,Medium/Smart,,,,49581222.0,ns,2
PCA,Medium/Smart,,,,50417820.0,ns,2
PCA,Medium/Smart,,,,49841821.0,ns,2
PCA,Medium/Smart,,,,50140120.0,ns,2
PCA,Medium/Smart,,,,49519622.0,ns,2
PCA,Medium/Smart,,,,50328420.0,ns,2
PCA,Medium/Smart,,,,49950621.0,ns,2
PCA,Medium/Smart,,,,49159422.0,ns,2
PCA,Medium/Smart,,,,49527721.0,ns,2
PCA,Medium/Smart,,,,49390222.0,ns,2
PCA,Medium/Smart,,,,49619821.0,ns,2
PCA,Medium/Smart,,,,50231820.0,ns,2
PCA,Medium/Smart,,,,49500222.0,ns,2
PCA,Medium/Smart,,,,49801921.0,ns,2
PCA,Medium/Smart,,,,49764421.0,ns,2
PCA,Medium/Smart,,,,49567522.0,ns,2
PCA,Medium/Smart,,,,49639522.0,ns,2
PCA,Medium/Smart,,,,49117222.0,ns,2
PCA,Medium/Smart,,,,50071721.0,ns,2
PCA,Medium/Smart,,,,49591522.0,ns,2
PCA,Medium/Smart,,,,50260120.0,ns,2
PCA,Medium/Smart,,,,48919722.0,ns,2
PCA,Medium/Smart,,,,49929721.0,ns,2
PCA,Medium/Smart,,,,50139421.0,ns,2
PCA,Medium/Smart,,,,49719322.0,ns,2
PCA,Medium/Smart,,,,49975320.0,ns,2
PCA,Medium/Smart,,,,49449622.0,ns,2
PCA,Medium/Smart,,,,49646121.0,ns,2
PCA,Medium/Smart,,,,49740921.0,ns,2
PCA,Medium/Smart,,,,50826620.0,ns,2
PCA,Medium/Smart,,,,50117820.0,ns,2
PCA,Medium/Smart,,,,49641921.0,ns,2
PCA,Medium/Smart,,,,50259221.0,ns,2
PCA,Medium/Smart,,,,49451321.0,ns,2
PCA,Medium/Smart,,,,49411022.0,ns,2
PCA,Medium/Smart,,,,50011121.0,ns,2
PCA,Medium/Smart,,,,49405222.0,ns,2
PCA,Medium/Smart,,,,50002721.0,ns,2
PCA,Medium/Smart,,,,49450121.0,ns,2
PCA,Medium/Smart,,,,48723923.0,ns,2
PCA,Medium/Smart,,,,50143821.0,ns,2
PCA,Medium/Smart,,,,50773120.0,ns,2
PCA,Medium/Smart,,,,50269320.0,ns,2
PCA,Medium/Smart,,,,50501520.0,ns,2
PCA,Medium/Smart,,,,48948923.0,ns,2
PCA,Medium/Smart,,,,49799022.0,ns,2
PCA,Medium/Smart,,,,49684822.0,ns,2
PCA,Medium/Smart,,,,49719821.0,ns,2
PCA,Medium/Smart,,,,50096920.0,ns,2
PCA,Medium/Smart,,,,49497822.0,ns,2
PCA,Medium/Smart,,,,50280720.0,ns,2
PCA,Medium/Smart,,,,49476122.0,ns,2
PCA,Medium/Smart,,,,49790021.0,ns,2
PCA,Medium/Smart,,,,49833121.0,ns,2
PCA,Medium/Smart,,,,50006021.0,ns,2
PCA,Medium/Smart,,,,50680620.0,ns,2
PCA,Medium/Smart,,,,49643821.0,ns,2
PCA,Medium/Smart,,,,50341121.0,ns,2
PCA,Medium/Smart,,,,49733522.0,ns,2
PCA,Medium/Smart,,,,49924321.0,ns,2
PCA,Medium/Smart,,,,49503622.0,ns,2
PCA,Medium/Smart,,,,50275920.0,ns,2
PCA,Medium/Smart,,,,49319322.0,ns,2
PCA,Medium/Smart,,,,50348020.0,ns,2
PCA,Medium/Smart,,,,49523022.0,ns,2
PCA,Medium/Smart,,,,50021921.0,ns,2
PCA,Medium/Smart,,,,49716222.0,ns,2
PCA,Medium/Smart,,,,49717822.0,ns,2
PCA,Medium/Smart,,,,49960821.0,ns,2
PCA,Medium/Smart,,,,49996821.0,ns,2
PCA,Medium/Smart,,,,49309122.0,ns,2
PCA,Medium/Smart,,,,49003922.0,ns,2
PCA,Medium/Smart,,,,50329721.0,ns,2
PCA,Medium/Smart,,,,50155121.0,ns,2
PCA,Medium/Smart,,,,50013021.0,ns,2
PCA,Medium/Smart,,,,49811421.0,ns,2
PCA,Medium/Smart,,,,49211722.0,ns,2
PCA,Medium/Smart,,,,50462720.0,ns,2
PCA,Medium/Smart,,,,49930967.0,ns,2
PCA,Medium/Smart,,,,49179189.0,ns,2
PCA,Medium/Smart,,,,50427401.0,ns,2
PCA,Medium/Smart,,,,50800805.0,ns,2
PCA,Medium/Smart,,,,49191289.0,ns,2
PCA,Medium/Smart,,,,50126198.0,ns,2
PCA,Medium/Smart,,,,49239889.0,ns,2
PCA,Medium/Smart,,,,50335101.0,ns,2
PCA,Medium/Smart,,,,49603993.0,ns,2
PCA,Medium/Smart,,,,49999797.0,ns,2
PCA,Medium/Smart,,,,50572003.0,ns,2
PCA,Medium/Smart,,,,49622594.0,ns,2
