group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
PCA,Medium/Smart,,,,55275066.0,ns,2
PCA,Medium/Smart,,,,54843061.0,ns,2
PCA,Medium/Smart,,,,54882961.0,ns,2
PCA,Medium/Smart,,,,56081978.0,ns,2
PCA,Medium/Smart,,,,54885161.0,ns,2
PCA,Medium/Smart,,,,55072464.0,ns,2
PCA,Medium/Smart,,,,54700759.0,ns,2
PCA,Medium/Smart,,,,55221066.0,ns,2
PCA,Medium/Smart,,,,55054463.0,ns,2
PCA,Medium/Smart,,,,54530057.0,ns,2
PCA,Medium/Smart,,,,54361054.0,ns,2
PCA,Medium/Smart,,,,55801373.0,ns,2
PCA,Medium/Smart,,,,54483255.0,ns,2
PCA,Medium/Smart,,,,54895962.0,ns,2
PCA,Medium/Smart,,,,54921662.0,ns,2
PCA,Medium/Smart,,,,54977462.0,ns,2
PCA,Medium/Smart,,,,55145565.0,ns,2
PCA,Medium/Smart,,,,54503456.0,ns,2
PCA,Medium/Smart,,,,55017563.0,ns,2
PCA,Medium/Smart,,,,55563271.0,ns,2
PCA,Medium/Smart,,,,55126065.0,ns,2
PCA,Medium/Smart,,,,55204166.0,ns,2
PCA,Medium/Smart,,,,55472669.0,ns,2
PCA,Medium/Smart,,,,54686359.0,ns,2
PCA,Medium/Smart,,,,54004749.0,ns,2
PCA,Medium/Smart,,,,55077264.0,ns,2
PCA,Medium/Smart,,,,54278153.0,ns,2
PCA,Medium/Smart,,,,55198266.0,ns,2
PCA,Medium/Smart,,,,53792462.0,ns,2
PCA,Medium/Smart,,,,54754221.0,ns,2
PCA,Medium/Smart,,,,55623729.0,ns,2
PCA,Medium/Smart,,,,55138525.0,ns,2
PCA,Medium/Smart,,,,55277025.0,ns,2
PCA,Medium/Smart,,,,54593719.0,ns,2
PCA,Medium/Smart,,,,53993913.0,ns,2
PCA,Medium/Smart,,,,55224625.0,ns,2
PCA,Medium/Smart,,,,55929532.0,ns,2
PCA,Medium/Smart,,,,55412927.0,ns,2
PCA,Medium/Smart,,,,54868122.0,ns,2
PCA,Medium/Smart,,,,54768721.0,ns,2
PCA,Medium/Smart,,,,55470028.0,ns,2
PCA,Medium/Smart,,,,54944923.0,ns,2
PCA,Medium/Smart,,,,54974922.0,ns,2
PCA,Medium/Smart,,,,55519028.0,ns,2
PCA,Medium/Smart,,,,55768230.0,ns,2
PCA,Medium/Smart,,,,55238026.0,ns,2
PCA,Medium/Smart,,,,55091324.0,ns,2
PCA,Medium/Smart,,,,55785931.0,ns,2
PCA,Medium/Smart,,,,54173815.0,ns,2
PCA,Medium/Smart,,,,55059924.0,ns,2
PCA,Medium/Smart,,,,55236425.0,ns,2
PCA,Medium/Smart,,,,54602219.0,ns,2
PCA,Medium/Smart,,,,54452118.0,ns,2
PCA,Medium/Smart,,,,55061524.0,ns,2
PCA,Medium/Smart,,,,55680729.0,ns,2
PCA,Medium/Smart,,,,54818522.0,ns,2
PCA,Medium/Smart,,,,54893722.0,ns,2
PCA,Medium/Smart,,,,53583810.0,ns,2
PCA,Medium/Smart,,,,55496928.0,ns,2
PCA,Medium/Smart,,,,55693329.0,ns,2
PCA,Medium/Smart,,,,55061024.0,ns,2
PCA,Medium/Smart,,,,54640119.0,ns,2
PCA,Medium/Smart,,,,55585729.0,ns,2
PCA,Medium/Smart,,,,55311126.0,ns,2
PCA,Medium/Smart,,,,55592128.0,ns,2
PCA,Medium/Smart,,,,54690620.0,ns,2
PCA,Medium/Smart,,,,54554819.0,ns,2
PCA,Medium/Smart,,,,55065023.0,ns,2
PCA,Medium/Smart,,,,55917131.0,ns,2
PCA,Medium/Smart,,,,54785121.0,ns,2
PCA,Medium/Smart,,,,53740711.0,ns,2
PCA,Medium/Smart,,,,54956523.0,ns,2
PCA,Medium/Smart,,,,55386927.0,ns,2
PCA,Medium/Smart,,,,54965623.0,ns,2
PCA,Medium/Smart,,,,55550228.0,ns,2
PCA,Medium/Smart,,,,54256716.0,ns,2
PCA,Medium/Smart,,,,54589819.0,ns,2
PCA,Medium/Smart,,,,54924722.0,ns,2
PCA,Medium/Smart,,,,55209325.0,ns,2
PCA,Medium/Smart,,,,54571519.0,ns,2
PCA,Medium/Smart,,,,54866222.0,ns,2
PCA,Medium/Smart,,,,54105715.0,ns,2
PCA,Medium/Smart,,,,55414427.0,ns,2
PCA,Medium/Smart,,,,55334726.0,ns,2
PCA,Medium/Smart,,,,54930323.0,ns,2
PCA,Medium/Smart,,,,56317536.0,ns,2
PCA,Medium/Smart,,,,55579328.0,ns,2
PCA,Medium/Smart,,,,54898422.0,ns,2
PCA,Medium/Smart,,,,54528619.0,ns,2
PCA,Medium/Smart,,,,55613629.0,ns,2
PCA,Medium/Smart,,,,54130815.0,ns,2
PCA,Medium/Smart,,,,55254525.0,ns,2
PCA,Medium/Smart,,,,54805622.0,ns,2
PCA,Medium/Smart,,,,54811621.0,ns,2
PCA,Medium/Smart,,,,55219225.0,ns,2
PCA,Medium/Smart,,,,54737820.0,ns,2
PCA,Medium/Smart,,,,54665420.0,ns,2
PCA,Medium/Smart,,,,55410927.0,ns,2
PCA,Medium/Smart,,,,54949923.0,ns,2
PCA,Medium/Smart,,,,54580319.0,ns,2
