group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
PCA,Small/Linfa,,,,585808.0,ns,7
PCA,Small/Linfa,,,,1153215.0,ns,14
PCA,Small/Linfa,,,,3743850.0,ns,21
PCA,Small/Linfa,,,,3483246.0,ns,28
PCA,Small/Linfa,,,,5825176.0,ns,35
PCA,Small/Linfa,,,,10856742.0,ns,42
PCA,Small/Linfa,,,,5465772.0,ns,49
PCA,Small/Linfa,,,,6446885.0,ns,56
PCA,Small/Linfa,,,,9278622.0,ns,63
PCA,Small/Linfa,,,,7613900.0,ns,70
PCA,Small/Linfa,,,,12325661.0,ns,77
PCA,Small/Linfa,,,,13767180.0,ns,84
PCA,Small/Linfa,,,,7360896.0,ns,91
PCA,Small/Linfa,,,,10700940.0,ns,98
PCA,Small/Linfa,,,,25297733.0,ns,105
PCA,Small/Linfa,,,,22253192.0,ns,112
PCA,Small/Linfa,,,,16187713.0,ns,119
PCA,Small/Linfa,,,,14024284.0,ns,126
PCA,Small/Linfa,,,,18399641.0,ns,133
PCA,Small/Linfa,,,,20839074.0,ns,140
PCA,Small/Linfa,,,,22647298.0,ns,147
PCA,Small/Linfa,,,,19540057.0,ns,154
PCA,Small/Linfa,,,,24491422.0,ns,161
PCA,Small/Linfa,,,,23219605.0,ns,168
PCA,Small/Linfa,,,,34342751.0,ns,175
PCA,Small/Linfa,,,,19483256.0,ns,182
PCA,Small/Linfa,,,,30535601.0,ns,189
PCA,Small/Linfa,,,,28831778.0,ns,196
PCA,Small/Linfa,,,,38131300.0,ns,203
PCA,Small/Linfa,,,,26661150.0,ns,210
PCA,Small/Linfa,,,,34425052.0,ns,217
PCA,Small/Linfa,,,,27865866.0,ns,224
PCA,Small/Linfa,,,,33263937.0,ns,231
PCA,Small/Linfa,,,,32599228.0,ns,238
PCA,Small/Linfa,,,,34879858.0,ns,245
PCA,Small/Linfa,,,,29677690.0,ns,252
PCA,Small/Linfa,,,,38313903.0,ns,259
PCA,Small/Linfa,,,,36141274.0,ns,266
PCA,Small/Linfa,,,,48270134.0,ns,273
PCA,Small/Linfa,,,,35707569.0,ns,280
PCA,Small/Linfa,,,,30165996.0,ns,287
PCA,Small/Linfa,,,,38118601.0,ns,294
PCA,Small/Linfa,,,,39022513.0,ns,301
PCA,Small/Linfa,,,,35802570.0,ns,308
PCA,Small/Linfa,,,,57012549.0,ns,315
PCA,Small/Linfa,,,,40729741.0,ns,322
PCA,Small/Linfa,,,,38462319.0,ns,329
PCA,Small/Linfa,,,,52162404.0,ns,336
PCA,Small/Linfa,,,,34869770.0,ns,343
PCA,Small/Linfa,,,,53091016.0,ns,350
PCA,Small/Linfa,,,,50673684.0,ns,357
PCA,Small/Linfa,,,,46792431.0,ns,364
PCA,Small/Linfa,,,,49714271.0,ns,371
PCA,Small/Linfa,,,,42372971.0,ns,378
PCA,Small/Linfa,,,,62277240.0,ns,385
PCA,Small/Linfa,,,,53621224.0,ns,392
PCA,Small/Linfa,,,,55423148.0,ns,399
PCA,Small/Linfa,,,,69162633.0,ns,406
PCA,Small/Linfa,,,,57810380.0,ns,413
PCA,Small/Linfa,,,,62468843.0,ns,420
PCA,Small/Linfa,,,,56275359.0,ns,427
PCA,Small/Linfa,,,,62701446.0,ns,434
PCA,Small/Linfa,,,,70441150.0,ns,441
PCA,Small/Linfa,,,,79343971.0,ns,448
PCA,Small/Linfa,,,,65452083.0,ns,455
PCA,Small/Linfa,,,,76425132.0,ns,462
PCA,Small/Linfa,,,,70669754.0,ns,469
PCA,Small/Linfa,,,,71548966.0,ns,476
PCA,Small/Linfa,,,,64734874.0,ns,483
PCA,Small/Linfa,,,,70313649.0,ns,490
PCA,Small/Linfa,,,,59672106.0,ns,497
PCA,Small/Linfa,,,,75127814.0,ns,504
PCA,Small/Linfa,,,,85829659.0,ns,511
PCA,Small/Linfa,,,,81839604.0,ns,518
PCA,Small/Linfa,,,,89549108.0,ns,525
PCA,Small/Linfa,,,,81285897.0,ns,532
PCA,Small/Linfa,,,,82024607.0,ns,539
PCA,Small/Linfa,,,,64489670.0,ns,546
PCA,Small/Linfa,,,,83842931.0,ns,553
PCA,Small/Linfa,,,,68574725.0,ns,560
PCA,Small/Linfa,,,,81499800.0,ns,567
PCA,Small/Linfa,,,,77224842.0,ns,574
PCA,Small/Linfa,,,,89305605.0,ns,581
PCA,Small/Linfa,,,,78232456.0,ns,588
PCA,Small/Linfa,,,,51559996.0,ns,595
PCA,Small/Linfa,,,,68486224.0,ns,602
PCA,Small/Linfa,,,,93561262.0,ns,609
PCA,Small/Linfa,,,,78990266.0,ns,616
PCA,Small/Linfa,,,,81547000.0,ns,623
PCA,Small/Linfa,,,,82566914.0,ns,630
PCA,Small/Linfa,,,,95910695.0,ns,637
PCA,Small/Linfa,,,,103270494.0,ns,644
PCA,Small/Linfa,,,,106728541.0,ns,651
PCA,Small/Linfa,,,,92296646.0,ns,658
PCA,Small/Linfa,,,,94923781.0,ns,665
PCA,Small/Linfa,,,,102796687.0,ns,672
PCA,Small/Linfa,,,,92609250.0,ns,679
PCA,Small/Linfa,,,,92911354.0,ns,686
PCA,Small/Linfa,,,,110180787.0,ns,693
PCA,Small/Linfa,,,,83434126.0,ns,700
