group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
PCA,Small/Linfa,,,,672409.0,ns,7
PCA,Small/Linfa,,,,1894326.0,ns,14
PCA,Small/Linfa,,,,1813626.0,ns,21
PCA,Small/Linfa,,,,5309374.0,ns,28
PCA,Small/Linfa,,,,3440449.0,ns,35
PCA,Small/Linfa,,,,8263815.0,ns,42
PCA,Small/Linfa,,,,7638507.0,ns,49
PCA,Small/Linfa,,,,11677864.0,ns,56
PCA,Small/Linfa,,,,9759836.0,ns,63
PCA,Small/Linfa,,,,12340273.0,ns,70
PCA,Small/Linfa,,,,12106069.0,ns,77
PCA,Small/Linfa,,,,12908380.0,ns,84
PCA,Small/Linfa,,,,12629077.0,ns,91
PCA,Small/Linfa,,,,15262413.0,ns,98
PCA,Small/Linfa,,,,9926639.0,ns,105
PCA,Small/Linfa,,,,18477258.0,ns,112
PCA,Small/Linfa,,,,13028782.0,ns,119
PCA,Small/Linfa,,,,20562187.0,ns,126
PCA,Small/Linfa,,,,19102567.0,ns,133
PCA,Small/Linfa,,,,19642174.0,ns,140
PCA,Small/Linfa,,,,28448098.0,ns,147
PCA,Small/Linfa,,,,28725401.0,ns,154
PCA,Small/Linfa,,,,26863975.0,ns,161
PCA,Small/Linfa,,,,33082062.0,ns,168
PCA,Small/Linfa,,,,25750659.0,ns,175
PCA,Small/Linfa,,,,26161265.0,ns,182
PCA,Small/Linfa,,,,22714018.0,ns,189
PCA,Small/Linfa,,,,20567087.0,ns,196
PCA,Small/Linfa,,,,39380150.0,ns,203
PCA,Small/Linfa,,,,29911818.0,ns,210
PCA,Small/Linfa,,,,32482154.0,ns,217
PCA,Small/Linfa,,,,27241781.0,ns,224
PCA,Small/Linfa,,,,34383380.0,ns,231
PCA,Small/Linfa,,,,33086162.0,ns,238
PCA,Small/Linfa,,,,34325780.0,ns,245
PCA,Small/Linfa,,,,31498740.0,ns,252
PCA,Small/Linfa,,,,40674769.0,ns,259
PCA,Small/Linfa,,,,39311549.0,ns,266
PCA,Small/Linfa,,,,37140419.0,ns,273
PCA,Small/Linfa,,,,41566080.0,ns,280
PCA,Small/Linfa,,,,34150977.0,ns,287
PCA,Small/Linfa,,,,49774195.0,ns,294
PCA,Small/Linfa,,,,45548736.0,ns,301
PCA,Small/Linfa,,,,46650052.0,ns,308
PCA,Small/Linfa,,,,44548823.0,ns,315
PCA,Small/Linfa,,,,49068385.0,ns,322
PCA,Small/Linfa,,,,50977412.0,ns,329
PCA,Small/Linfa,,,,47406863.0,ns,336
PCA,Small/Linfa,,,,42067887.0,ns,343
PCA,Small/Linfa,,,,51421518.0,ns,350
PCA,Small/Linfa,,,,52559135.0,ns,357
PCA,Small/Linfa,,,,45516136.0,ns,364
PCA,Small/Linfa,,,,69132266.0,ns,371
PCA,Small/Linfa,,,,69488671.0,ns,378
PCA,Small/Linfa,,,,64367500.0,ns,385
PCA,Small/Linfa,,,,57683006.0,ns,392
PCA,Small/Linfa,,,,66675532.0,ns,399
PCA,Small/Linfa,,,,55936982.0,ns,406
PCA,Small/Linfa,,,,66585030.0,ns,413
PCA,Small/Linfa,,,,72240710.0,ns,420
PCA,Small/Linfa,,,,63527888.0,ns,427
PCA,Small/Linfa,,,,64293498.0,ns,434
PCA,Small/Linfa,,,,79349009.0,ns,441
PCA,Small/Linfa,,,,51414019.0,ns,448
PCA,Small/Linfa,,,,72240609.0,ns,455
PCA,Small/Linfa,,,,69079066.0,ns,462
PCA,Small/Linfa,,,,71171994.0,ns,469
PCA,Small/Linfa,,,,78269994.0,ns,476
PCA,Small/Linfa,,,,73841232.0,ns,483
PCA,Small/Linfa,,,,72894719.0,ns,490
PCA,Small/Linfa,,,,81324536.0,ns,497
PCA,Small/Linfa,,,,73377025.0,ns,504
PCA,Small/Linfa,,,,72527613.0,ns,511
PCA,Small/Linfa,,,,60995652.0,ns,518
PCA,Small/Linfa,,,,74971347.0,ns,525
PCA,Small/Linfa,,,,91005972.0,ns,532
PCA,Small/Linfa,,,,87699425.0,ns,539
PCA,Small/Linfa,,,,93939012.0,ns,546
PCA,Small/Linfa,,,,101665821.0,ns,553
PCA,Small/Linfa,,,,73197423.0,ns,560
PCA,Small/Linfa,,,,77637885.0,ns,567
PCA,Small/Linfa,,,,97426161.0,ns,574
PCA,Small/Linfa,,,,94374519.0,ns,581
PCA,Small/Linfa,,,,92650795.0,ns,588
PCA,Small/Linfa,,,,76280066.0,ns,595
PCA,Small/Linfa,,,,93934012.0,ns,602
PCA,Small/Linfa,,,,83090460.0,ns,609
PCA,Small/Linfa,,,,96342546.0,ns,616
PCA,Small/Linfa,,,,83282664.0,ns,623
PCA,Small/Linfa,,,,88787140.0,ns,630
PCA,Small/Linfa,,,,93963113.0,ns,637
PCA,Small/Linfa,,,,104844764.0,ns,644
PCA,Small/Linfa,,,,90069858.0,ns,651
PCA,Small/Linfa,,,,95762838.0,ns,658
PCA,Small/Linfa,,,,113692689.0,ns,665
PCA,Small/Linfa,,,,110378642.0,ns,672
PCA,Small/Linfa,,,,101261114.0,ns,679
PCA,Small/Linfa,,,,111913363.0,ns,686
PCA,Small/Linfa,,,,107202198.0,ns,693
PCA,Small/Linfa,,,,113150981.0,ns,700
