group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
PCA,Small/Smart,,,,1111215.0,ns,9
PCA,Small/Smart,,,,2160029.0,ns,18
PCA,Small/Smart,,,,3363446.0,ns,27
PCA,Small/Smart,,,,4373260.0,ns,36
PCA,Small/Smart,,,,5321372.0,ns,45
PCA,Small/Smart,,,,6689491.0,ns,54
PCA,Small/Smart,,,,7831406.0,ns,63
PCA,Small/Smart,,,,8600317.0,ns,72
PCA,Small/Smart,,,,9997136.0,ns,81
PCA,Small/Smart,,,,11090051.0,ns,90
PCA,Small/Smart,,,,12746173.0,ns,99
PCA,Small/Smart,,,,13106778.0,ns,108
PCA,Small/Smart,,,,14213393.0,ns,117
PCA,Small/Smart,,,,16610126.0,ns,126
PCA,Small/Smart,,,,17171234.0,ns,135
PCA,Small/Smart,,,,17633439.0,ns,144
PCA,Small/Smart,,,,18963057.0,ns,153
PCA,Small/Smart,,,,21409190.0,ns,162
PCA,Small/Smart,,,,20990785.0,ns,171
PCA,Small/Smart,,,,23404618.0,ns,180
PCA,Small/Smart,,,,23142315.0,ns,189
PCA,Small/Smart,,,,24014326.0,ns,198
PCA,Small/Smart,,,,25160141.0,ns,207
PCA,Small/Smart,,,,26836664.0,ns,216
PCA,Small/Smart,,,,27832178.0,ns,225
PCA,Small/Smart,,,,27891279.0,ns,234
PCA,Small/Smart,,,,29641403.0,ns,243
PCA,Small/Smart,,,,31675231.0,ns,252
PCA,Small/Smart,,,,31462727.0,ns,261
PCA,Small/Smart,,,,32245138.0,ns,270
PCA,Small/Smart,,,,33302852.0,ns,279
PCA,Small/Smart,,,,36859900.0,ns,288
PCA,Small/Smart,,,,37037103.0,ns,297
PCA,Small/Smart,,,,38422122.0,ns,306
PCA,Small/Smart,,,,37389508.0,ns,315
PCA,Small/Smart,,,,40501150.0,ns,324
PCA,Small/Smart,,,,40262047.0,ns,333
PCA,Small/Smart,,,,41614365.0,ns,342
PCA,Small/Smart,,,,44318102.0,ns,351
PCA,Small/Smart,,,,44431303.0,ns,360
PCA,Small/Smart,,,,45724121.0,ns,369
PCA,Small/Smart,,,,46203128.0,ns,378
PCA,Small/Smart,,,,45989025.0,ns,387
PCA,Small/Smart,,,,49582474.0,ns,396
PCA,Small/Smart,,,,48095754.0,ns,405
PCA,Small/Smart,,,,53104921.0,ns,414
PCA,Small/Smart,,,,50361684.0,ns,423
PCA,Small/Smart,,,,53700230.0,ns,432
PCA,Small/Smart,,,,53765231.0,ns,441
PCA,Small/Smart,,,,56989874.0,ns,450
PCA,Small/Smart,,,,58894701.0,ns,459
PCA,Small/Smart,,,,55902660.0,ns,468
PCA,Small/Smart,,,,56505068.0,ns,477
PCA,Small/Smart,,,,59884913.0,ns,486
PCA,Small/Smart,,,,60964728.0,ns,495
PCA,Small/Smart,,,,61762039.0,ns,504
PCA,Small/Smart,,,,62735452.0,ns,513
PCA,Small/Smart,,,,62363848.0,ns,522
PCA,Small/Smart,,,,65948696.0,ns,531
PCA,Small/Smart,,,,66791508.0,ns,540
PCA,Small/Smart,,,,66380602.0,ns,549
PCA,Small/Smart,,,,65695893.0,ns,558
PCA,Small/Smart,,,,70777362.0,ns,567
PCA,Small/Smart,,,,70582059.0,ns,576
PCA,Small/Smart,,,,72276282.0,ns,585
PCA,Small/Smart,,,,72431084.0,ns,594
PCA,Small/Smart,,,,73857604.0,ns,603
PCA,Small/Smart,,,,79244577.0,ns,612
PCA,Small/Smart,,,,75262922.0,ns,621
PCA,Small/Smart,,,,76087834.0,ns,630
PCA,Small/Smart,,,,78054360.0,ns,639
PCA,Small/Smart,,,,79395578.0,ns,648
PCA,Small/Smart,,,,78629668.0,ns,657
PCA,Small/Smart,,,,82265018.0,ns,666
PCA,Small/Smart,,,,84517349.0,ns,675
PCA,Small/Smart,,,,83838839.0,ns,684
PCA,Small/Smart,,,,82486621.0,ns,693
PCA,Small/Smart,,,,84714052.0,ns,702
PCA,Small/Smart,,,,92077951.0,ns,711
PCA,Small/Smart,,,,85060156.0,ns,720
PCA,Small/Smart,,,,88376601.0,ns,729
PCA,Small/Smart,,,,86707478.0,ns,738
PCA,Small/Smart,,,,89760319.0,ns,747
PCA,Small/Smart,,,,93323268.0,ns,756
PCA,Small/Smart,,,,96795815.0,ns,765
PCA,Small/Smart,,,,93558271.0,ns,774
PCA,Small/Smart,,,,98445537.0,ns,783
PCA,Small/Smart,,,,97908731.0,ns,792
PCA,Small/Smart,,,,96427210.0,ns,801
PCA,Small/Smart,,,,96460711.0,ns,810
PCA,Small/Smart,,,,98594940.0,ns,819
PCA,Small/Smart,,,,101440579.0,ns,828
PCA,Small/Smart,,,,104928626.0,ns,837
PCA,Small/Smart,,,,104293217.0,ns,846
PCA,Small/Smart,,,,105287131.0,ns,855
PCA,Small/Smart,,,,106163742.0,ns,864
PCA,Small/Smart,,,,103095500.0,ns,873
PCA,Small/Smart,,,,109311485.0,ns,882
PCA,Small/Smart,,,,110277599.0,ns,891
PCA,Small/Smart,,,,109410086.0,ns,900
