group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
PCA,Small/Smart,,,,1011508.0,ns,8
PCA,Small/Smart,,,,2006415.0,ns,16
PCA,Small/Smart,,,,3048523.0,ns,24
PCA,Small/Smart,,,,4065431.0,ns,32
PCA,Small/Smart,,,,5037839.0,ns,40
PCA,Small/Smart,,,,5865144.0,ns,48
PCA,Small/Smart,,,,6901052.0,ns,56
PCA,Small/Smart,,,,8153363.0,ns,64
PCA,Small/Smart,,,,9041369.0,ns,72
PCA,Small/Smart,,,,9981976.0,ns,80
PCA,Small/Smart,,,,11233386.0,ns,88
PCA,Small/Smart,,,,11553288.0,ns,96
PCA,Small/Smart,,,,12859698.0,ns,104
PCA,Small/Smart,,,,13632904.0,ns,112
PCA,Small/Smart,,,,15098916.0,ns,120
PCA,Small/Smart,,,,15665019.0,ns,128
PCA,Small/Smart,,,,17009930.0,ns,136
PCA,Small/Smart,,,,18400641.0,ns,144
PCA,Small/Smart,,,,18786843.0,ns,152
PCA,Small/Smart,,,,19241647.0,ns,160
PCA,Small/Smart,,,,21210962.0,ns,168
PCA,Small/Smart,,,,22096469.0,ns,176
PCA,Small/Smart,,,,23804380.0,ns,184
PCA,Small/Smart,,,,24644785.0,ns,192
PCA,Small/Smart,,,,25245889.0,ns,200
PCA,Small/Smart,,,,26431998.0,ns,208
PCA,Small/Smart,,,,27364305.0,ns,216
PCA,Small/Smart,,,,27392605.0,ns,224
PCA,Small/Smart,,,,28584114.0,ns,232
PCA,Small/Smart,,,,30988732.0,ns,240
PCA,Small/Smart,,,,31417435.0,ns,248
PCA,Small/Smart,,,,31940939.0,ns,256
PCA,Small/Smart,,,,32894847.0,ns,264
PCA,Small/Smart,,,,34418558.0,ns,272
PCA,Small/Smart,,,,35259564.0,ns,280
PCA,Small/Smart,,,,35438566.0,ns,288
PCA,Small/Smart,,,,36377873.0,ns,296
PCA,Small/Smart,,,,36658374.0,ns,304
PCA,Small/Smart,,,,39337494.0,ns,312
PCA,Small/Smart,,,,39937800.0,ns,320
PCA,Small/Smart,,,,40020800.0,ns,328
PCA,Small/Smart,,,,42321117.0,ns,336
PCA,Small/Smart,,,,42856422.0,ns,344
PCA,Small/Smart,,,,43573026.0,ns,352
PCA,Small/Smart,,,,44411633.0,ns,360
PCA,Small/Smart,,,,44896137.0,ns,368
PCA,Small/Smart,,,,46994652.0,ns,376
PCA,Small/Smart,,,,47697658.0,ns,384
PCA,Small/Smart,,,,49434470.0,ns,392
PCA,Small/Smart,,,,49069268.0,ns,400
PCA,Small/Smart,,,,53120998.0,ns,408
PCA,Small/Smart,,,,52407692.0,ns,416
PCA,Small/Smart,,,,52840096.0,ns,424
PCA,Small/Smart,,,,54460608.0,ns,432
PCA,Small/Smart,,,,54303107.0,ns,440
PCA,Small/Smart,,,,55060713.0,ns,448
PCA,Small/Smart,,,,56244521.0,ns,456
PCA,Small/Smart,,,,56791226.0,ns,464
PCA,Small/Smart,,,,57843734.0,ns,472
PCA,Small/Smart,,,,58535139.0,ns,480
PCA,Small/Smart,,,,58866641.0,ns,488
PCA,Small/Smart,,,,62343767.0,ns,496
PCA,Small/Smart,,,,62803671.0,ns,504
PCA,Small/Smart,,,,64672485.0,ns,512
PCA,Small/Smart,,,,63747178.0,ns,520
PCA,Small/Smart,,,,63381775.0,ns,528
PCA,Small/Smart,,,,65666692.0,ns,536
PCA,Small/Smart,,,,70227227.0,ns,544
PCA,Small/Smart,,,,67563706.0,ns,552
PCA,Small/Smart,,,,69110318.0,ns,560
PCA,Small/Smart,,,,69180619.0,ns,568
PCA,Small/Smart,,,,71786238.0,ns,576
PCA,Small/Smart,,,,75861068.0,ns,584
PCA,Small/Smart,,,,72289441.0,ns,592
PCA,Small/Smart,,,,75925669.0,ns,600
PCA,Small/Smart,,,,76890176.0,ns,608
PCA,Small/Smart,,,,77059978.0,ns,616
PCA,Small/Smart,,,,78059785.0,ns,624
PCA,Small/Smart,,,,83494826.0,ns,632
PCA,Small/Smart,,,,78108785.0,ns,640
PCA,Small/Smart,,,,77291680.0,ns,648
PCA,Small/Smart,,,,81777613.0,ns,656
PCA,Small/Smart,,,,80530703.0,ns,664
PCA,Small/Smart,,,,82105916.0,ns,672
PCA,Small/Smart,,,,84148430.0,ns,680
PCA,Small/Smart,,,,84978436.0,ns,688
PCA,Small/Smart,,,,87776457.0,ns,696
PCA,Small/Smart,,,,87151253.0,ns,704
PCA,Small/Smart,,,,89347569.0,ns,712
PCA,Small/Smart,,,,86429547.0,ns,720
PCA,Small/Smart,,,,92983597.0,ns,728
PCA,Small/Smart,,,,89858474.0,ns,736
PCA,Small/Smart,,,,89236769.0,ns,744
PCA,Small/Smart,,,,92067790.0,ns,752
PCA,Small/Smart,,,,93625702.0,ns,760
PCA,Small/Smart,,,,97294529.0,ns,768
PCA,Small/Smart,,,,95965719.0,ns,776
PCA,Small/Smart,,,,99471645.0,ns,784
PCA,Small/Smart,,,,98937542.0,ns,792
PCA,Small/Smart,,,,101549661.0,ns,800
