group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Classification,Medium/Linfa,,,,70590558.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70309454.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70772561.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70634559.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70375956.0,ns,1
Support Vector Classification,Medium/Linfa,,,,69811547.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70514758.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70601359.0,ns,1
Support Vector Classification,Medium/Linfa,,,,71042265.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70251354.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70486357.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70156053.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70979163.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70490957.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70699860.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70554258.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70557458.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70270754.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70932263.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70184853.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70931263.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70524658.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70384956.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70433657.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70195153.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70430457.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70854362.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70775461.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70437257.0,ns,1
Support Vector Classification,Medium/Linfa,,,,69933149.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70819261.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70603058.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70488357.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70440656.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70879462.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70364155.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70263054.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70039551.0,ns,1
Support Vector Classification,Medium/Linfa,,,,71168667.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70514758.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70851762.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70274754.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70345655.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70134052.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70252854.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70548958.0,ns,1
Support Vector Classification,Medium/Linfa,,,,71957677.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70466157.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70682459.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70263254.0,ns,1
Support Vector Classification,Medium/Linfa,,,,71146566.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70222754.0,ns,1
Support Vector Classification,Medium/Linfa,,,,71113865.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70227553.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70489057.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70239954.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70734761.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70713560.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70244453.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70329555.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70333855.0,ns,1
Support Vector Classification,Medium/Linfa,,,,69687546.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70598259.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70206553.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70732561.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70461957.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70648551.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70435933.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70188329.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70276930.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70294430.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70134028.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70468433.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70214830.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70335331.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70361132.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70290031.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70184429.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70581535.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70465333.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70683836.0,ns,1
Support Vector Classification,Medium/Linfa,,,,69997726.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70642536.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70124828.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70226730.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70310231.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70310031.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70304831.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70604335.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70847338.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70257430.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70237430.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70783037.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70426233.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70460933.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70134229.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70101328.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70105429.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70180329.0,ns,1
Support Vector Classification,Medium/Linfa,,,,70105628.0,ns,1
