group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Classification,Medium/Linfa,,,,79642698.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79559598.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80159705.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79705999.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79523597.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80083105.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79874002.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79555897.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79485396.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80333208.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79596598.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79746600.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79776000.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79478296.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79534797.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79797801.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79617298.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79741900.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79854101.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79819100.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79866202.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79780600.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79743300.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79890502.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79632998.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80131706.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79425496.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79559797.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79704200.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79361195.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80068305.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79807001.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79976303.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79562297.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79608298.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79853502.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80219107.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80155306.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79857402.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79810301.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79462596.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79640399.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80786415.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79926502.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79602497.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79817601.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79633999.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80075204.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80395608.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79469095.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79486895.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79784499.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80305107.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80515110.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80583810.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79654897.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79780499.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79709498.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80049103.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79707998.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79655197.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79663098.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79794900.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80637311.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79578596.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79679298.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80118203.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79238292.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79918402.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80140604.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80295407.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79619397.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79793600.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79882401.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79810300.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79865100.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79443194.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79869301.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79945401.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79861600.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79953202.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79673298.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79344994.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80234906.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79765799.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79803400.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80391407.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79263592.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79794199.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80264806.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80098504.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79805599.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79453795.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79432295.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79691898.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79912301.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79852701.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79920902.0,ns,1
Support Vector Classification,Medium/Linfa,,,,79468495.0,ns,1
Support Vector Classification,Medium/Linfa,,,,80325907.0,ns,1
