group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Classification,Medium/Smart,,,,147524732.0,ns,5
Support Vector Classification,Medium/Smart,,,,129617785.0,ns,5
Support Vector Classification,Medium/Smart,,,,93318685.0,ns,5
Support Vector Classification,Medium/Smart,,,,116908210.0,ns,5
Support Vector Classification,Medium/Smart,,,,98233752.0,ns,5
Support Vector Classification,Medium/Smart,,,,160709613.0,ns,5
Support Vector Classification,Medium/Smart,,,,116315501.0,ns,5
Support Vector Classification,Medium/Smart,,,,58743409.0,ns,5
Support Vector Classification,Medium/Smart,,,,92594475.0,ns,5
Support Vector Classification,Medium/Smart,,,,87505305.0,ns,5
Support Vector Classification,Medium/Smart,,,,68021936.0,ns,5
Support Vector Classification,Medium/Smart,,,,138524008.0,ns,5
Support Vector Classification,Medium/Smart,,,,109797612.0,ns,5
Support Vector Classification,Medium/Smart,,,,126953748.0,ns,5
Support Vector Classification,Medium/Smart,,,,99639172.0,ns,5
Support Vector Classification,Medium/Smart,,,,81707825.0,ns,5
Support Vector Classification,Medium/Smart,,,,146720221.0,ns,5
Support Vector Classification,Medium/Smart,,,,96430127.0,ns,5
Support Vector Classification,Medium/Smart,,,,80766712.0,ns,5
Support Vector Classification,Medium/Smart,,,,107853885.0,ns,5
Support Vector Classification,Medium/Smart,,,,95535815.0,ns,5
Support Vector Classification,Medium/Smart,,,,168190716.0,ns,5
Support Vector Classification,Medium/Smart,,,,67341528.0,ns,5
Support Vector Classification,Medium/Smart,,,,68266940.0,ns,5
Support Vector Classification,Medium/Smart,,,,169417233.0,ns,5
Support Vector Classification,Medium/Smart,,,,68742946.0,ns,5
Support Vector Classification,Medium/Smart,,,,107740883.0,ns,5
Support Vector Classification,Medium/Smart,,,,119552146.0,ns,5
Support Vector Classification,Medium/Smart,,,,87930111.0,ns,5
Support Vector Classification,Medium/Smart,,,,151303684.0,ns,5
Support Vector Classification,Medium/Smart,,,,103022218.0,ns,5
Support Vector Classification,Medium/Smart,,,,30576621.0,ns,5
Support Vector Classification,Medium/Smart,,,,174573403.0,ns,5
Support Vector Classification,Medium/Smart,,,,116776408.0,ns,5
Support Vector Classification,Medium/Smart,,,,75153335.0,ns,5
Support Vector Classification,Medium/Smart,,,,146835222.0,ns,5
Support Vector Classification,Medium/Smart,,,,78121775.0,ns,5
Support Vector Classification,Medium/Smart,,,,53120132.0,ns,5
Support Vector Classification,Medium/Smart,,,,79859700.0,ns,5
Support Vector Classification,Medium/Smart,,,,92391373.0,ns,5
Support Vector Classification,Medium/Smart,,,,159955503.0,ns,5
Support Vector Classification,Medium/Smart,,,,86256688.0,ns,5
Support Vector Classification,Medium/Smart,,,,159615798.0,ns,5
Support Vector Classification,Medium/Smart,,,,47206250.0,ns,5
Support Vector Classification,Medium/Smart,,,,147668434.0,ns,5
Support Vector Classification,Medium/Smart,,,,140363633.0,ns,5
