group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Support Vector Classification,Medium/Smart,,,,75950717.0,ns,2
Support Vector Classification,Medium/Smart,,,,88183314.0,ns,2
Support Vector Classification,Medium/Smart,,,,41618435.0,ns,2
Support Vector Classification,Medium/Smart,,,,29107113.0,ns,2
Support Vector Classification,Medium/Smart,,,,71417909.0,ns,2
Support Vector Classification,Medium/Smart,,,,82475202.0,ns,2
Support Vector Classification,Medium/Smart,,,,53064762.0,ns,2
Support Vector Classification,Medium/Smart,,,,88004098.0,ns,2
Support Vector Classification,Medium/Smart,,,,90892757.0,ns,2
Support Vector Classification,Medium/Smart,,,,94551986.0,ns,2
Support Vector Classification,Medium/Smart,,,,78227621.0,ns,2
Support Vector Classification,Medium/Smart,,,,76293646.0,ns,2
Support Vector Classification,Medium/Smart,,,,26263557.0,ns,2
Support Vector Classification,Medium/Smart,,,,45504683.0,ns,2
Support Vector Classification,Medium/Smart,,,,104778102.0,ns,2
Support Vector Classification,Medium/Smart,,,,80936362.0,ns,2
Support Vector Classification,Medium/Smart,,,,73371984.0,ns,2
Support Vector Classification,Medium/Smart,,,,22340805.0,ns,2
Support Vector Classification,Medium/Smart,,,,27375556.0,ns,2
Support Vector Classification,Medium/Smart,,,,90537724.0,ns,2
Support Vector Classification,Medium/Smart,,,,58136616.0,ns,2
Support Vector Classification,Medium/Smart,,,,100444712.0,ns,2
Support Vector Classification,Medium/Smart,,,,73432088.0,ns,2
Support Vector Classification,Medium/Smart,,,,70092989.0,ns,2
Support Vector Classification,Medium/Smart,,,,80152592.0,ns,2
Support Vector Classification,Medium/Smart,,,,71018072.0,ns,2
Support Vector Classification,Medium/Smart,,,,39879878.0,ns,2
Support Vector Classification,Medium/Smart,,,,75602183.0,ns,2
Support Vector Classification,Medium/Smart,,,,42544517.0,ns,2
Support Vector Classification,Medium/Smart,,,,112588102.0,ns,2
Support Vector Classification,Medium/Smart,,,,73794222.0,ns,2
Support Vector Classification,Medium/Smart,,,,60845760.0,ns,2
Support Vector Classification,Medium/Smart,,,,32459912.0,ns,2
Support Vector Classification,Medium/Smart,,,,84258161.0,ns,2
Support Vector Classification,Medium/Smart,,,,77345040.0,ns,2
Support Vector Classification,Medium/Smart,,,,49472739.0,ns,2
Support Vector Classification,Medium/Smart,,,,55832609.0,ns,2
Support Vector Classification,Medium/Smart,,,,105649079.0,ns,2
Support Vector Classification,Medium/Smart,,,,30198709.0,ns,2
Support Vector Classification,Medium/Smart,,,,104386666.0,ns,2
Support Vector Classification,Medium/Smart,,,,123819610.0,ns,2
Support Vector Classification,Medium/Smart,,,,75009831.0,ns,2
Support Vector Classification,Medium/Smart,,,,87696369.0,ns,2
Support Vector Classification,Medium/Smart,,,,89980374.0,ns,2
Support Vector Classification,Medium/Smart,,,,99928366.0,ns,2
Support Vector Classification,Medium/Smart,,,,82255580.0,ns,2
Support Vector Classification,Medium/Smart,,,,56373158.0,ns,2
Support Vector Classification,Medium/Smart,,,,64613797.0,ns,2
Support Vector Classification,Medium/Smart,,,,118975875.0,ns,2
Support Vector Classification,Medium/Smart,,,,61095882.0,ns,2
Support Vector Classification,Medium/Smart,,,,29643260.0,ns,2
Support Vector Classification,Medium/Smart,,,,46586380.0,ns,2
Support Vector Classification,Medium/Smart,,,,82801230.0,ns,2
Support Vector Classification,Medium/Smart,,,,31957568.0,ns,2
Support Vector Classification,Medium/Smart,,,,96044518.0,ns,2
Support Vector Classification,Medium/Smart,,,,31556132.0,ns,2
Support Vector Classification,Medium/Smart,,,,67246334.0,ns,2
Support Vector Classification,Medium/Smart,,,,79178705.0,ns,2
Support Vector Classification,Medium/Smart,,,,85011628.0,ns,2
Support Vector Classification,Medium/Smart,,,,88126708.0,ns,2
Support Vector Classification,Medium/Smart,,,,61366106.0,ns,2
Support Vector Classification,Medium/Smart,,,,67444752.0,ns,2
Support Vector Classification,Medium/Smart,,,,86541765.0,ns,2
Support Vector Classification,Medium/Smart,,,,40563740.0,ns,2
Support Vector Classification,Medium/Smart,,,,100049478.0,ns,2
Support Vector Classification,Medium/Smart,,,,112211969.0,ns,2
Support Vector Classification,Medium/Smart,,,,83292473.0,ns,2
Support Vector Classification,Medium/Smart,,,,72408197.0,ns,2
Support Vector Classification,Medium/Smart,,,,88578647.0,ns,2
Support Vector Classification,Medium/Smart,,,,112531697.0,ns,2
Support Vector Classification,Medium/Smart,,,,80824352.0,ns,2
Support Vector Classification,Medium/Smart,,,,107264424.0,ns,2
Support Vector Classification,Medium/Smart,,,,87246328.0,ns,2
Support Vector Classification,Medium/Smart,,,,84530884.0,ns,2
Support Vector Classification,Medium/Smart,,,,97174219.0,ns,2
Support Vector Classification,Medium/Smart,,,,105913303.0,ns,2
Support Vector Classification,Medium/Smart,,,,46692690.0,ns,2
Support Vector Classification,Medium/Smart,,,,112221970.0,ns,2
Support Vector Classification,Medium/Smart,,,,85390961.0,ns,2
Support Vector Classification,Medium/Smart,,,,45008938.0,ns,2
Support Vector Classification,Medium/Smart,,,,111216179.0,ns,2
Support Vector Classification,Medium/Smart,,,,84307365.0,ns,2
Support Vector Classification,Medium/Smart,,,,65345763.0,ns,2
Support Vector Classification,Medium/Smart,,,,100822147.0,ns,2
Support Vector Classification,Medium/Smart,,,,63826227.0,ns,2
Support Vector Classification,Medium/Smart,,,,54235666.0,ns,2
Support Vector Classification,Medium/Smart,,,,81248291.0,ns,2
Support Vector Classification,Medium/Smart,,,,61481916.0,ns,2
Support Vector Classification,Medium/Smart,,,,46150941.0,ns,2
Support Vector Classification,Medium/Smart,,,,62067569.0,ns,2
Support Vector Classification,Medium/Smart,,,,95880903.0,ns,2
Support Vector Classification,Medium/Smart,,,,62018165.0,ns,2
Support Vector Classification,Medium/Smart,,,,52640023.0,ns,2
Support Vector Classification,Medium/Smart,,,,76090728.0,ns,2
Support Vector Classification,Medium/Smart,,,,75371563.0,ns,2
Support Vector Classification,Medium/Smart,,,,32437710.0,ns,2
Support Vector Classification,Medium/Smart,,,,52907248.0,ns,2
Support Vector Classification,Medium/Smart,,,,60463025.0,ns,2
Support Vector Classification,Medium/Smart,,,,97364036.0,ns,2
Support Vector Classification,Medium/Smart,,,,53762024.0,ns,2
